"partner","gender","province","coconut_growing","hectares_under_coconut_farming","whole_nut_kilos_harvested"
"PBC","Male","Davao_del_Sur","Main crop","0.5","750"
"PBC","Male","Davao_del_Sur","Main crop","3.5","8000"
"PBC","Female","Davao_del_Sur","Secondary crop","2","8000"
"Franklin Baker","Female","Davao_del_Norte","Main crop","0.75","6000"
"PBC","Female","Davao_del_Sur","Main crop","1","10"
"PBC","Female","Davao_del_Sur","Main crop","0.25","900"
"PBC","Female","Davao_del_Sur","Main crop","1","5200"
"PBC","Female","Davao_del_Sur","Main crop","2","8800"
"Franklin Baker","Male","Davao_Oriental","Main crop","3.1","20000"
"Franklin Baker","Female","Davao_Oriental","Main crop","2.5","15000"
"Franklin Baker","Female","Davao_del_Norte","Main crop","0.5","1200"
"Franklin Baker","Male","Davao_del_Norte","Main crop","1.2","7000"
"PBC","Female","Davao_del_Sur","Main crop","1.5","12000"
"Franklin Baker","Male","Davao_del_Norte","Main crop","1.5","12000"
"PBC","Male","Davao_del_Sur","Main crop","1","6000"
"PBC","Male","Davao_del_Sur","Main crop","3","20000"
"Franklin Baker","Female","Davao_del_Norte","Main crop","3","19200"
"Franklin Baker","Female","Davao_del_Norte","Main crop","1.5","9000"
"PBC","Female","Davao_del_Sur","Secondary crop","1","528"
"PBC","Female","Davao_del_Sur","Main crop","5","12000"
"PBC","Female","Davao_del_Sur","Main crop","2","8200"
"PBC","Female","Davao_del_Sur","Main crop","3","24000"
"PBC","Female","Davao_del_Sur","Secondary crop","0.25","1200"
"PBC","Female","Davao_del_Sur","Main crop","3","28000"
"PBC","Female","Davao_del_Sur","Main crop","1.2","800"
"PBC","Male","Davao_del_Sur","Secondary crop","0.5","0"
"PBC","Female","Davao_del_Sur","Secondary crop","0.5","4000"
"Franklin Baker","Female","Davao_del_Norte","Main crop","1","6000"
"Franklin Baker","Male","Davao_del_Norte","Main crop","2","1400"
"Franklin Baker","Female","Davao_del_Norte","Main crop","0.4","6400"
"Franklin Baker","Female","Davao_del_Norte","Main crop","2","4000"
"Franklin Baker","Male","Davao_del_Norte","Main crop","1.8","8500"
"Franklin Baker","Female","Davao_del_Norte","Main crop","1.8","6000"
"Franklin Baker","Male","Davao_del_Norte","Main crop","3","12000"
"Franklin Baker","Male","Davao_del_Norte","Main crop","1","6240"
"Franklin Baker","Female","Davao_del_Norte","Main crop","1","13200"
"Franklin Baker","Male","Davao_del_Norte","Main crop","0.25","1800"
"Franklin Baker","Female","Davao_del_Norte","Main crop","3.5","16000"
"Franklin Baker","Male","Davao_del_Norte","Main crop","1","9000"
"Franklin Baker","Female","Davao_del_Norte","Main crop","0.5","3500"
"Franklin Baker","Female","Davao_del_Norte","Main crop","0.16","5000"
"Franklin Baker","Male","Davao_del_Norte","Main crop","1.8","15000"
"PBC","Female","Davao_del_Sur","Secondary crop","0.5","80"
"PBC","Female","Davao_del_Sur","Secondary crop","0.5","2400"
"Franklin Baker","Female","Davao_del_Norte","Main crop","1.8","4800"
"Franklin Baker","Male","Davao_del_Norte","Main crop","2.6","2400"
"Franklin Baker","Male","Davao_del_Sur","Main crop","3.5","14000"
"Franklin Baker","Female","Davao_del_Norte","Main crop","2","4800"
"PBC","Male","Davao_del_Sur","Main crop","3","24000"
"PBC","Female","Davao_del_Sur","Secondary crop","1","400"
"PBC","Male","Davao_del_Sur","Secondary crop","1.5","224"
"Franklin Baker","Female","Davao_del_Norte","Main crop","1.5","20000"
"Franklin Baker","Male","Davao_del_Norte","Main crop","2","5000"
"Franklin Baker","Female","Davao_del_Norte","Main crop","1.5","2500"
"Franklin Baker","Male","Davao_del_Sur","Main crop","5","23000"
"Franklin Baker","Female","Davao_del_Norte","Main crop","3","15000"
"PBC","Male","Davao_del_Sur","Main crop","1","4100"
"PBC","Female","Davao_del_Sur","Main crop","1","2000"
"PBC","Male","Davao_del_Sur","Main crop","0.25","240"
"PBC","Female","Davao_del_Sur","Main crop","1","3600"
"PBC","Female","Davao_del_Sur","Secondary crop","1.25","1000"
"PBC","Male","Davao_del_Sur","Secondary crop","0.5","6000"
"PBC","Female","Davao_del_Sur","Main crop","5","24000"
"PBC","Female","Davao_del_Sur","Main crop","1.5","600"
"PBC","Female","Davao_del_Sur","Main crop","3.5","28000"
"PBC","Male","Davao_del_Sur","Main crop","1","12000"
"Franklin Baker","Male","Davao_del_Norte","Main crop","1.7","10000"
"Franklin Baker","Male","Davao_del_Norte","Main crop","1","6000"
"PBC","Female","Davao_del_Sur","Secondary crop","0.4","56"
"Franklin Baker","Female","Davao_del_Sur","Main crop","1.68","7500"
"PBC","Male","Davao_del_Sur","Secondary crop","0.5","400"
"PBC","Male","Davao_del_Sur","Secondary crop","0.25","400"
"PBC","Female","Davao_del_Sur","Secondary crop","0.25","2304"
"Franklin Baker","Female","Davao_del_Norte","Main crop","1.1","9000"
"Franklin Baker","Female","Davao_del_Norte","Main crop","0.25","3200"
"Franklin Baker","Female","Davao_del_Norte","Main crop","1.8","9000"
"Franklin Baker","Male","Davao_del_Sur","Main crop","1","5600"
"Franklin Baker","Female","Davao_del_Sur","Main crop","0.88","4900"
"PBC","Male","Davao_del_Sur","Main crop","3","36000"
"PBC","Male","Davao_del_Sur","Main crop","1.4","750"
"PBC","Male","Davao_del_Sur","Main crop","1","8000"
"PBC","Male","Davao_del_Sur","Main crop","0.25","800"
"PBC","Male","Davao_del_Sur","Main crop","0.25","600"
"PBC","Male","Davao_del_Sur","Secondary crop","0.75","400"
"PBC","Male","Davao_del_Sur","Main crop","1","12000"
"PBC","Female","Davao_del_Sur","Main crop","3","828"
"PBC","Male","Davao_del_Sur","Main crop","0.75","4800"
"Franklin Baker","Female","Davao_del_Norte","Main crop","0.75","600"
"Franklin Baker","Male","Davao_del_Norte","Main crop","1","5000"
"PBC","Male","Davao_del_Sur","Main crop","1","7200"
"PBC","Male","Davao_del_Sur","Main crop","0.5","3200"
"Franklin Baker","Male","Davao_del_Norte","Main crop","1.2","12000"
"PBC","Male","Davao_del_Sur","Main crop","0.5","1000"
