"unique_id","gender","interview_start_time_hh","interview_start_time_min","interview_date_dd","interview_date_mm","interview_date_yy","constituency","a1","a2_a","a2_b","a2_c","a2_d","a3","b1","b2a","b2b","b3a","b3b","c1","c2","c2_other","c3","c3_other","c4","c5","c6","c6_other","c7a","c7b","c8","c9","interview_end_time_hh","interview_end_time_min"
"11201","1","15","38","26","9","19","Mohmand","3","0","1","0","0","2","3","1",,"1",,"1",,,"1",,"1","2","4","Done by Coordinator","1",,"2","1","15","44"
"11204","1","15","48","26","9","19","Mohmand","2","0","1","0","0","2","3","1",,"1",,"1",,,"1",,"1","2","4","Doesn't know who did it","1",,"2","2","15","52"
"11205","1","15","25","25","9","19","Mohmand","3","0","0","0","1","2","3","1",,"1",,"1",,,"1",,"1","2","4","The were given hardcopy and someone else did online work","1",,"2","1","15","35"
"11206","1","10","6","26","9","19","Mohmand","3","0","1","0","0","2","3","1",,"1",,"1",,,"1",,"1","2","4","Done by Coordinator","1",,"2","1","11","22"
"11208","1","16","5","25","9","19","Mohmand","2","0","1","0","0","1","1","2",,"2",,"1",,,"1",,"1","4",,,"1",,"1","2","16","13"
"11209","1","13","35","26","9","19","Mohmand","2","0","1","0","0","2","3","1",,"1",,"1",,,"3",,"1","1",,,"1",,"2","1","13","43"
"11210","1","16","23","25","9","19","Mohmand","3","0","1","0","0","2","3","2",,"1",,"1",,,"1",,"1","2","4","Done by Coordinator","1",,"2","1","16","30"
"11211","1","12","0","30","9","19","Mohmand","4","0","0","1","0","2","3","1",,"1",,"1",,,"1",,"1","4",,,"1",,"2","1","12","4"
"11212","1","11","0","26","9","19","Mohmand","3","0","0","0","1","2","1","2",,"3",,"2","3","Did not have the knowlegde",,,,,,,,,,,"11","3"
"11215","1","12","23","30","9","19","Mohmand","3","0","1","0","0","2","3","1",,"1",,"1",,,"1",,"1","2","4","Done by Coordinator","1",,"2","1","12","27"
"11216","1","11","30","26","9","19","Mohmand","4","0","0","0","1","2","2",,,"1",,"1",,,"1",,"1","4",,,"2","The Male did not allow to observe","2","2","11","39"
"11217","1","16","25","26","9","19","Mohmand","5","0","1","0","0","2","4",,,"3",,"1",,,"1",,"1","2","5",,"1",,"2","4","16","33"
"11218","1","16","54","26","9","19","Mohmand","2","1","0","0","0","2","3","2",,"2",,"1",,,"1",,"1","1",,,"1",,"2","1","17","0"
"11219","1","12","41","30","9","19","Mohmand","3","0","1","0","0","2","3","1",,"1",,"1",,,"1",,"1","2","3",,"1",,"2","1","12","45"
"11220","1","11","57","26","9","19","Mohmand","2","0","1","0","0","2","3","1",,"1",,"1",,,"1",,"1","2","4","FAFEN agent did online work","1",,"2","2","12","3"
"12401","1","9","24","26","9","19","Kurram","3","0","0","1","0","2","3","1",,"1",,"1",,,"2",,"1","2","4","Did not know about it","1",,"2","1","9","31"
