"id","country","sex","sector","date_of_appraisal_showing"
"1","CAM","Female","GO","Mar-15"
"2","CAM","Female","GO","Mar-15"
"3","LAO","Female","GO","Mar-15"
"4","MAL","Female","CSO","Mar-15"
"5","CAM","Female","GO","Jun-15"
"6","CAM","Female","GO","Jun-15"
"7","LAO","Female","GO","Jun-15"
"8","THA","Female","CSO","Jun-15"
"9","LAO","Female","GO","Jun-15"
"10","CAM","Female","GO","Jun-15"
"11","VIE","Female","GO","Jun-15"
"12","VIE","Female","GO","Jun-15"
"13","LAO","Female","GO","Sep-15"
"14","PNG","Female","GO","Sep-15"
"15","VIE","Male","GO","Sep-15"
"16","CAM","Female","GO","Sep-15"
"17","LAO","Female","CSO","Sep-15"
"18","LAO","Female","GO","Dec-15"
"19","CAM","Male","GO","Dec-15"
"20","PNG","Female","GO","Dec-15"
