"village","country","guinea","senegal","householdsincommunity","timetoclosestmarket","hasmotorizedtransport","costtoclosestmarket","roadquality","transportearnings","ispeul","isdjallonke","isbedik","isbassari","istanda","isdiakhanke","ismalinke","ismandingo","ismende","pplinhh","agworkersinhh","kidsinschool","workoutsideag","ismason","iswelldigger","ischauffeur","issmallbusiness","issellstrees","iswoodworker","isblacksmith","ismechanic","istailor","isgriot","isgardener","ismarabout","ispensioner","isinvolvedingold","monthlyearnings","age","grewcorn","grewfonio","grewrice","grewsorghum","grewpeanuts","grewpotatoes","grewcabbage","grewcotton","grewsweetpotato","grewbeans","grewcassava","grewtarot","grewokra","grewbissap","grewtiguagelen","grewjakatu","numbercropsgrown","areacorn","areafonio","arearice","areasorghum","areapeanuts","areapotatoes","areacabbage","areacotton","areabeans","areacassava","areaokra","areabissap","areatiguagelen","boughtfertilizer","wasofferedfertilizer","usedurea","usednpk","ureaamt","npkamt","ureaprice","npkprice","fertilizedpotatoes","fertilizedcabbage","fertilizedcorn","fertilizedrice","fertilizedcotton","fertilizedpeanuts","fertilizedbissap","fertilizedjakatu","fertilizedmillet","fertilizedfonio","fertilizedcassava","mulch","manure","leavebranches","gathercompost","usedherbicide","herbicidepricebottle","herbicidepricesack","herbicidesacks","herbicidebottle","herbicidecorn","herbicidepeanuts","herbiciderice","herbicidecotton","herbicidebeans","herbicidefonio","herbicidemillet","herbicidebissap","herbicidejakatu","boughtinsecticide","insecticidepricepacket","insecticidepricebottle","insecticidebottles","insecticidepackets","insecticidecabbage","insecticidepotatoes","insecticidetrees","insecticidecotton","insecticidepeanuts","usedplow","plowedcorn","plowedpeanuts","plowedfonio","plowedpotatoes","plowedrice","plowedmillet","plowedcotton","cattleowned","cattlerented","paidtorentcattle","trainedcattle","daystrainedcattle","plowowned","plowcost","plowyearsowned","paytoborrowplow","farmonhill","cornonslope","riceonslope","fonioonslope","potatoesonslope","beansonslope","peanutsonslope","milletonslope","cottononslope","erosionispositive","erosionseverity","hiredlabor","dayslaborworked","amtlaborpaid","wagerateearly","wageratelate","helpedothers","dayshelpedothers","foniovarsknown","foniovarsgrown","foniosacs","foniosoilkansa","foniosoilsand","foniosoilndantaari","foniosoilkoccu","foniosoildounkiire","foniodaysseeding","foniodaysweeding","foniodaysharvesting","foniototaldays","foniokile","foniokileppl","foniokilespent","foniounpoundedsacssold","foniounpoundedprice","foniounpoundedsoldmonth","foniounpoundedearned","foniopoundedsoldmeasures","foniopoundedtimetopound","foniopoundedmeasureprice","foniopoundedmonthsold","foniopoundedearned","foniodaystoeatsack","cornvarsknown","cornvarsgrown","cornsacks","cornsoilkansa","cornsoilsand","cornsoildounkiire","cornsoilkoccu","corndaysseeding","corndaysweeding","corndaysharvesting","cornkile","cornkileppl","cornkilecost","cornsackssold","cornwhensold","cornprice","cornamtearned","milletvarsknown","milletvarsgrown","milletsacks","milletsoildounkiire","milletsoilsand","milletsoilkoccu","milletdaysseeding","milletdaysweeding","milletdaysharvesting","milletkile","milletkileppl","milletkilespent","milletsackssold","milletwhensold","milletprice","milletamtearned","peanutsvarsknown","peanutsvarsgrown","peanutssacs","peanutssoilkansa","peanutssoilndantaari","peanutssoilsand","peanutssoildounkiire","peanutssoilkoccu","peanutsdaysseeding","peanutsdaysweeding","peanutsdaysharvested","peanutskile","peanutskileppl","peanutskilespent","peanutssacssold","peanutswhensold","peanutssoldsacprice","peanutsearned","ricevarsknown","ricevarsgrown","ricesacks","ricesoilkansa","ricesoildounkiire","ricedaysseeding","ricedaysweeding","ricedaysharvesting","ricekile","ricekileppl","ricekilespent","ricesold","ricesoldmonth","ricesoldsacks","riceprice","riceamtearned","cottonamtharvested","cottonpaidseeds","cottonsoilkoccu","cottonsoildounkiire","cottonsoilsand","cottondaysseeding","cottondaysweeding","cottondaysharvesting","cottonkile","cottonkileppl","cottonkilespent","cottonamtearned","cottonlostmoney","putesacks","puteprice","putesoldamt","tarotsacks","tarotsoilkansa","tarotdaysharvesting","tarotsold","tarotwhensold","tarotsackssold","tarotprice","tarotamtearned","cabbagesacks","cabbagesoildounkiire","cabbagedaysplanting","cabbagedaysweeding","cabbagedaysharvesting","cabbagesold","cabbagesoldmonth","cabbagesoldamt","cabbageprice","cabbageamtearned","potatovarsknown","potatovarsgrown","potatopaidseeds","potatoamtharvested","potatosoil","potatodaysplanting","potatodaysweeding","potatodaysharvesting","potatosold","potatowheresold","potatowhensold","potatosoldkg","potatosoldprice","cassavavarsgrown","cassavasoilkansa","cassavasoilndanta","cassavapeople","cassavadaysplanting","cassavasold","cassavasoldamt","cassavaprice","cassavaamtearned","cassavaleavessold","cassavaleavesearned","cowsown","cowsnumber","milkamtearned","cattleinnoculated","cattleinnoculationcost","livestocksold","livestockamtmade","productivetreeshas","productivetreesspecies","mangoesowns","mangoesamtearned","mangoesprice","bananasowns","bananasamtearned","orangesowns","orangetrees","orangesamtearned","orangesprice","avocadosowns","avocadosamtearned","avocadopricesac","monthsofrain","tempforcrops","hotterlongterm","coolerlongterm","drierlongterm","wetterlongterm","changeshuman","needtoplanttrees","changesfromtreeamt","plantothercrops","othernatresourcemgmttechniques","religiouspraygod","precipmoredamaging","moralproblems","meanstationtemp","meanstationprecip","meanartestemp","meanartesprecip","foniopoundedsackssold","foniopoundedsackprice","corntotaldays","millettotaldays","peanutstotaldays","ricetotaldays","cabbagetotaldays","potatosoildounkiire","potatosoilkebele","potatosoilkansa","potatosoilndantaari","rateofinterest","lifetimeofplow","ssmi_win","ssmi_spr","ssmi_sum","ssmi_fall","artesjan","artesfeb","artesmar","artesapr","artesmay","artesjun","artesjul","artesaug","artessep","artesoct","artesnov","artesdec","distance"
"Koumba","Guinea","1","0","53","90","1","500","4","1500","1","0","0","0","0","0","0","0","0","14","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56","1","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","5","0.6","0","0.33","0","0.58","0","0","0","0","0","0","0","0","0","1","1","0","50","0","400","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1","0","0","0","650","1000","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2166","0","0","0","0","0","0","0","0","2","2","20","1","0","0","0","6","10","8","4","0","0","0","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10000","0","2","2","37","1","0","0","0","0","10","5","30","0","0","0","2",,"5550","11100","1","1","23","1","0","3","7","15","2","24","13000","1","0","0.5","5000","2500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5","1","0","0","2","1","9","2.5","6000","15000","1","1","0","300",,"0","0","0","0",,"0","0","260","0","0","0","0","0","0","0","5000","0","0","0","0","0","0","0","0","0","0",,,"0","0","0","0","0","0","0","0","0","0","0","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","18.83","1509.99","27.85","960.54","0","0","24","0","45","25","2","0","0","0","0","0.04","30","20.3961","27.2773","24.1783","22.2339","0.10787","0.436826","3.64557","8.84396","53.8918","131.291","217.795","258.132","210.124","85.1046","7.9923","0.614913","177475.2"
"Koumba","Guinea","1","0","53","90","1","500","4","1500","1","0","0","0","0","0","0","0","0","5","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","71","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","4","0.24","0","0","0","0.34","0.17","0.05","0","0","0","0","0","0","1","0","1","0","8","0","400","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",,,"1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2166","0","0","0","0","0","0","0","0","0","0","7","1","0","0","0","5","12.5","7","3","8","45000","0","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10000","0","0","0","4","1","0","0","0","0","2","8","6","0","0","0","0","0","5550","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","9","0","3","1","11","8","6000","48000","0","0","35000","340","dunkiire, ceedu. Water","5","10","7","1","1","12","300","175","0","0","0","0","0","1","3","5000","15000","0","0","0","0","0","0","0","0","0",,,"0","0","0","1",,"1","0","0","0","1","20000","0","6","4","0","0","1","0","1","1","0","0","0","0","0","0","18.83","1509.99","27.85","960.54","0","0","24.5","0","16","0","12","1","0","0","0","0.04","30","20.3961","27.2773","24.1783","22.2339","0.10787","0.436826","3.64557","8.84396","53.8918","131.291","217.795","258.132","210.124","85.1046","7.9923","0.614913","177475.2"
"Koumba","Guinea","1","0","53","90","1","500","4","1500","1","0","0","0","0","0","0","0","0","11","3","7","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","68","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","5","0.24","0.25","0","0","1.43","0.3","0","0","0","0","0","0","0","1","0","1","0","25","0","500","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0",,,"1","4","2",,"15","1","0","0","0","0","20","30","20","70","2","7","8000","0","2166","0","0","0","0","0","0","0","0","1","0","2","1","0","0","0","4","10","3","0","0","0","0","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10000","0","0","0","2","1","0","0","0","0","7","8","10","0","0","0","0","0","5550","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",,"1","0","0","7000","0","0","0","63000","500","dunkiire","0","0","9","1","2","11","400","200","0","0","0","0","0","0","0","5000","0","0","0","0","0","0","0","0","0","0",,,"0","0","0","0","0","1","0","0","0","1","0","0","6","5","0","0","0","0","0","0","0","0","0","0","0","0","18.83","1509.99","27.85","960.54","0","0","17","0","25","0","0","1","0","0","0","0.04","30","20.3961","27.2773","24.1783","22.2339","0.10787","0.436826","3.64557","8.84396","53.8918","131.291","217.795","258.132","210.124","85.1046","7.9923","0.614913","177475.2"
"Koumba","Guinea","1","0","53","90","1","500","4","1500","1","0","0","0","0","0","0","0","0","18","11","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100000","65","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","3","0.83","0","0.47","0","0","0.67","0","0","0","0","0","0","0","0","1","1","0","150","0","425","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","6500","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1000",,"1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2166","0","0","0","0","0","0","0","0","4","2","21","1","0","1","0","6","20","22","5","16","1600","0","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5550","0","6","4","25","1","0","10","16","17","2","8","7000","1","1","1","12000","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","5","2","1","6","3","6000","18000","2","1","0","1200","dounkiire","8","4","2","1","mali market","5","400","400","0","0","0","0","0","0","0","5000","0","0","0","1",,"0","1","5000","1","73000",,,"1","0","0","0","0","0","0","0","0","0","0","0","6","5","1","0","1","0","1","1","1","0","0","0","0","0","18.83","1509.99","27.85","960.54","0","0","48","0","0","43","8","1","0","0","0","0.04","30","20.3961","27.2773","24.1783","22.2339","0.10787","0.436826","3.64557","8.84396","53.8918","131.291","217.795","258.132","210.124","85.1046","7.9923","0.614913","177475.2"
"Koumba","Guinea","1","0","53","90","1","500","4","1500","1","0","0","0","0","0","0","0","0","9","6","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","10000","64","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","3","0.72","0","0","0","0","0.12","0","0","0.69","0","0","0","0","0","0","0","0","0","0","425","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","5","0","0","0","1000","750","1","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2166","0","0","0","0","0","0","0","0","3","1","7","0","0","0","0","12","24","7","2","12","8000","0","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5550","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6250","0","2","1","17500","300","mbumbulde kebele","3","3","2","0",,"0","0","260","0","0","0","0","0","0","0","5000","0","0","0","0","0","0","0","0","0","0",,,"1","7500","500","0","0","1",,"12000","1000","0","0","0","6","4","1","0","1","0","1","1","1","0","0","0","0","0","18.83","1509.99","27.85","960.54","0","0","43","0","0","0","0","0","1","0","0","0.04","30","20.3961","27.2773","24.1783","22.2339","0.10787","0.436826","3.64557","8.84396","53.8918","131.291","217.795","258.132","210.124","85.1046","7.9923","0.614913","177475.2"
"Koumba","Guinea","1","0","53","90","1","500","4","1500","1","0","0","0","0","0","0","0","0","9","5","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","150000","40","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0.2","1.4","0","0","0.74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","425","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","4","1","5","10000","1000","1250","1","4","2","2","6","1","0","0","0","0","25","15","22","62","7","8","10000","0","2166","0","0","0","0","0","0","0","12","3","2","5","1","0","0","0","3","12","8","3","6","5000","0","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10000","0","4","2","8","1","0","0","0","0","5","12","5","3","8","7500","0","0","5550","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6250","0","0","0","0","0",,"0","0","0","0",,"0","0","260","0","0","0","0","0","0","0","5000","0","0","0","0","0","0","0","0","0","0",,,"1","10000","1000","0","0","0","0","0","0","1","15000","7500","6","4","1","0","1","0","1","1","1","0","0","0","0","0","18.83","1509.99","27.85","960.54","0","0","23","0","22","0","0","0","0","0","0","0.04","30","20.3961","27.2773","24.1783","22.2339","0.10787","0.436826","3.64557","8.84396","53.8918","131.291","217.795","258.132","210.124","85.1046","7.9923","0.614913","177475.2"
"Donghol","Guinea","1","0","9","90","1","650","4","570","1","0","0","0","0","0","0","0","0","15","6","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","1","1","0","0","1","1","0","0","0","1","0","0","0","0","0","0","5","0.4","1.5","0","0","0.43","1.33","0","0","0.11","0","0","0","0","1","0","1","0","200","200","400","400","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","50000","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","0","0",,"400","1","4","3","3","11","0","0","1","0","0","20","25","30","75","2","23","13000","0","2166","0","0","0","0","0","0","0","12","3","3","4","1","0","1","0","3","20","6","1","7","3000","0","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10000","0","2",,"20","1","1","0","0","0","9","20","30","2","17","8500","0","0","4810","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","500","2000","0","0","0","0","0","6","8000","48000","0","0","0","0","0","0","0","0","0","0","4","0","0","2000","ndantaari, kansa","20","25","30","1","maali","12","1000","200","0","0","0","0","0","0","0","5000","0","0","0","1","3","0","0","0","0","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","6","1","1","0","1","0","1","0","1","0","0","0","0","0","18.83","1509.99","27.85","960.54","0","0","29","0","59","0","0","0","0","1","1","0.04","30","20.3961","27.2773","24.1783","22.2339","0.10787","0.436826","3.64557","8.84396","53.8918","131.291","217.795","258.132","210.124","85.1046","7.9923","0.614913","218627.1"
"Donghol","Guinea","1","0","9","90","1","650","4","570","1","0","0","0","0","0","0","0","0","14","10","3","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","20000","55","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","3","0.24","0.275","0","0","0","0.1","0","0","0","0","0","0","0","1","0","1","0","75","0","400","400","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2000","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",,,"0","0","1",,"5.5","0","0","1","0","0","7","15","6","28","0","0","0","0","2166","0","0","0","0","0","0","0","0","1","0","20","1","0","1","0","3","25","7","0","0","0","0","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4810","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500","0","0","0","0","0","0","0","8000","0","0","0","0","0","0","0","0","0","0","0","1","1","6000","300","ndantaari","1","2","4","1","kedougou (has car)","12","300","250","0","0","0","0","0","0","0","5000","0","0","0","1","6.5","0","1","3250","0","0",,,"1","0","1000","0","0","1",,"0","0","1","0","7500",,,"0","0","0","0","0","0","0","0","0","0","0","0","18.83","1509.99","27.85","960.54","0","0","35","0","0","0","0","0","0","0","1","0.04","30","20.3961","27.2773","24.1783","22.2339","0.10787","0.436826","3.64557","8.84396","53.8918","131.291","217.795","258.132","210.124","85.1046","7.9923","0.614913","218627.1"
"Donghol","Guinea","1","0","9","90","1","650","4","570","1","0","0","0","0","0","0","0","0","8","6","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","3","0.08","0","0","0","0","0.67","0","0","0.11","0","0","0","0","1","0","1","0","100","50","500","500","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","3000","0","1","0","0","0","3000","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1000","1000","1","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2166","0","0","0","0","0","0","0","0","3","2","2","1","0","0","0","2","7","2","0","0","0","0","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4810","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500","0","0","0","0","0","0","0","8000","0","0","0","0","0","0","0","0","0","0","0","3","1","0","700","dunkiire","8","8","9","1","on site","10","150","200","0","0","0","0","0","0","0","5000","0","0","0","1",,"70000","1","3000","1","70000",,,"1","0","0","0","0","0","0","0","0","1","3000","3000","6","4","1","0","1","0","1","1","1","0","0","0","0","0","18.83","1509.99","27.85","960.54","0","0","11","0","0","0","0","1","0","0","0","0.04","30","20.3961","27.2773","24.1783","22.2339","0.10787","0.436826","3.64557","8.84396","53.8918","131.291","217.795","258.132","210.124","85.1046","7.9923","0.614913","218627.1"
"Donghol","Guinea","1","0","9","90","1","650","4","570","1","0","0","0","0","0","0","0","0","7","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","1","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","4","0.48","0","0","0","2.25","3","0","0","0.32","0","0","0","0","1","0","1","0","550","0","500","500","1","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","9000","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","1","19000","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1","0","0","0","1000","1000","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2166","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10000","0","3","2","17","1","0","0","0","0","1","7","1","2","8","8500","5","1","4810","24050","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500","0","0","0","0","0","0","0","8000","0","0","0","0","0","0","0","0","0","0","0","4","2","0","6000","kansa and ndanta","15","11","22","1","on site","12","4000","200","3","1","1","4","4","0","0","5000","0","1","9000","1",,"0","1","6000","1","140000",,,"1","0","0","0","0","1",,"9000","1000","0","0","0","6","3","1","0","1","0","1","1","1","0","0","0","0","0","18.83","1509.99","27.85","960.54","0","0","0","0","9","0","0","0","0","1","1","0.04","30","20.3961","27.2773","24.1783","22.2339","0.10787","0.436826","3.64557","8.84396","53.8918","131.291","217.795","258.132","210.124","85.1046","7.9923","0.614913","218627.1"
