"pais","idnum","estratopri","estratosec","upm","prov","municipio","cluster","ur","tamano","idiomaq","fecha","wt","q1","q2y","q2","corridor","ls3","a4","soct2","idio2","np1","np2","sgl1","cp4a","cp5m","cp5","cp6","cp7","cp8","cp13","cp20","it1","l1","prot3","y4","bolprot3","haiprot1","jc10","jc13","jc15a","vic1ext","vic1exta","vic2","vic2aa","vic1hogar","pole2n","aoj11","pese1","pese2","aoj17","aoj12","aoj22","b1","b2","b3","b4","b6","b10a","b13","b18","b20","b20a","b21","b21a","haib21b","b32","haib32","b47a","epp1","epp3","n9","n11","n15","mil3","pr3a","pr3b","pr3c","pr4","pr5","m1","haim1","haim2","haiblame1","sd2new2","sd3new2","sd6new2","infrax","ros1","ros4","ing4","eff1","eff2","env1","pn4","w14a","e5","e15","e3","e16","d1","d2","d3","d4","d5","d6","dem2","dem11","exc2","exc6","exc11","exc13","exc14","exc15","exc16","exc18","exc7","vicbar1","vicbar1f","vicbar3","vicbar3f","vicbar4","vicbar4f","vicbar7","vicbar7f","fear10","vic44","vb1","vb2","vb3n","vb4new","vb101","vb10","vb11","pol1","vb20","clien1n","clien1na","for1n","for4","for5","for6","for7","for6b","for7b","mil10a","mil10c","mil10e","wf1","ed","ed2","q3c","q5b","ocup4a","ocup1a","q10new","q10g","q10a","q10b","q10c1","haiq10c","q16","q14","q10d","q10e","q11n","q12c","q12bn","q12","etid","leng1","www1","gi0","gi1","gix4","gi4","gi7","r3","r4","r4a","r5","r6","r7","r8","r12","r14","r15","r18","r1","r16","r26","formatq","colorr","ti","sexi","colori","uniq_id","sex"
"22","294","2201","1","1140","2206","114","11490094518","1","1","14","20feb2014","1","1","1954","60","2","2","3","888888","3","2","988888","2","2","988888","4","1","3","4","4","999999","1","1","2","999999","999999","999999","888888","988888","888888","2","999999","999999","999999","2","2","2","888888","988888","888888","2","2","5","2","5","3","4","4","5","5","6","4","4","6","6","5","5","3","4","4","4","4","5","5","7","6","7","7","2","2","2","3","4","2","2","2","3","6","4","5","4","2","2","4","888888","5","4","4","6","5","4","4","6","2","2","888888","988888","0","0","999999","999999","999999","999999","1","1","2","2","999999","2","999999","2","999999","2","999999","0","0","1","2","999999","988888","999999","2","999999","2","1","888888","888888","12","988888","13","988888","999999","4","999999","888888","888888","2","2","7","0","1","1","988888","999999","0","999999","2","999999","999999","5","999999","888888","4","3","2","6","1","3","4","2201","5","2","1","888888","1","888888","0","0","1","0","0","0","1","0","1","0","0","1","0","0","1","8","50","2","6","HAI14_0294","1"
"22","295","2201","1","1141","2206","114","11490114531","1","1","14","20feb2014","1","2","1986","28","2","3","1","3","3","2","2","4","2","2","4","1","3","4","4","4","3","3","2","999999","999999","999999","2","2","2","2","999999","999999","999999","2","4","3","2","1","3","4","3","4","2","4","4","3","2","6","7","7","5","1","7","7","3","3","1","7","4","5","4","4","5","3","2","1","2","2","2","3","3","888888","3","3","4","2","4","2","3","3","2","3","888888","1","6","6","2","10","6","7","6","3","2","2","888888","2","0","0","999999","999999","999999","0","999999","1","888888","2","999999","2","999999","1","2","1","3","1","0","1","1","2202","999999","999999","2","999999","3","888888","888888","2","4","4","4","1","1","1","1","1","888888","1","2","12","3","1","1","4","999999","5","999999","1","1","2","1","4","2","4","3","1","5","1","0","4","2201","3","3","1","1","1","55","0","0","1","0","0","0","0","1","1","0","0","1","0","0","1","9","47","2","7","HAI14_0295","2"
"22","296","2201","1","1141","2206","114","11490114531","1","1","14","20feb2014","1","2","1972","42","2","2","56","3","2","988888","2","2","988888","988888","4","1","2","4","2","3","2","3","1","1","3","2","2","2","2","2","999999","999999","999999","888888","4","3","2","2","2","2","3","4","5","4","3","4","5","4","6","1","3","4","5","4","5","4","3","2","3","1","2","3","6","4","3","4","5","2","3","3","2","3","3","4","4","2","6","6","3","2","4","3","4","2","6","5","5","6","6","6","4","5","5","6","3","2","0","0","999999","0","999999","1","1","1","1","2","999999","888888","999999","2","999999","888888","999999","1","0","1","1","2204","999999","999999","1","2211","2","2","2","2","4","4","4","1","2","1","1","4","4","1","2","14","2","1","2","4","999999","4","999999","1","2","2","1","4","1","4","888888","4","7","3","1","4","2201","2","2","1","1","1","58","1","0","1","0","0","0","0","0","1","0","0","1","0","0","1","4","40","2","8","HAI14_0296","2"
"22","297","2201","1","1141","2206","114","11490114531","1","1","14","20feb2014","1","2","1954","60","2","1","3","3","2","2","2","3","2","2","4","1","3","4","4","1","3","4","2","999999","999999","999999","2","2","2","2","999999","999999","999999","2","3","3","2","3","888888","3","2","4","2","3","1","5","4","1","6","4","7","1","5","3","1","2","1","1","2","1","3","4","7","5","4","3","2","2","2","3","4","2","3","3","3","4","4","5","2","4","1","2","2","2","2","3","4","5","2","1","3","1","1","1","2","2","0","0","999999","0","999999","1","999999","0","2","2","999999","2","999999","2","999999","2","999999","0","0","2","2","999999","77","999999","2","999999","4","4","2","888888","5","4","11","4","999999","1","2","888888","888888","888888","2","10","0","2","1","1","2","2","2","1","2","2","3","3","1","3","2","2","5","1","1","4","2201","5","1","1","2","1","88","1","0","1","1","0","0","0","1","0","0","0","1","0","0","1","6","43","1","6","HAI14_0297","2"
"22","298","2201","1","1141","2206","114","11490114531","1","1","14","20feb2014","1","1","1990","24","2","3","2","2","3","2","2","3","2","2","4","1","4","4","4","999999","3","3","2","999999","999999","999999","2","2","2","2","999999","999999","999999","1","3","3","2","2","2","2","3","4","3","4","4","5","3","6","6","4","6","3","4","3","4","5","3","3","4","3","4","3","6","3","2","3","4","888888","3","3","2","5","4","4","3","3","6","6","5","5","4","3","3","1","3","2","3","2","4","5","1","2","3","2","2","2","0","0","999999","999999","999999","999999","999999","0","1","2","999999","2","999999","2","999999","2","999999","0","0","1","2","999999","988888","999999","1","2211","1","2","1","1","4","4","4","1","2","1","1","4","4","1","2","12","3","2","1","4","999999","5","999999","2","999999","999999","1","5","1","888888","888888","1","5","0","0","4","2201","1","1","1","2","1","68","1","0","1","0","0","0","0","0","1","0","0","1","0","0","1","6","40","2","8","HAI14_0298","1"
"22","299","2201","1","1141","2206","114","11490114531","1","1","14","20feb2014","1","1","1974","40","2","2","3","3","2","1","2","4","2","2","2","3","2","4","3","999999","3","7","2","999999","999999","999999","2","2","1","2","999999","999999","999999","2","1","2","2","2","888888","2","3","3","2","2","2","4","5","5","7","5","4","2","6","2","3","2","1","3","3","5","5","5","4","2","5","3","2","888888","1","5","3","3","4","3","2","2","4","4","7","7","2","3","2","1","6","6","4","9","7","9","1","1","1","2","3","1","0","0","0","999999","999999","999999","999999","0","2","2","999999","2","999999","2","999999","2","999999","1","0","1","1","2202","999999","999999","2","999999","4","2","2","2","4","4","4","2","2","1","1","2","888888","1","2","7","2","1","2","5","999999","888888","999999","1","1","2","1","3","1","4","3","4","7","0","4","4","2201","5","3","1","2","2","888888","0","0","1","0","0","0","0","1","1","0","0","1","0","0","1","988888","40","2","7","HAI14_0299","1"
"22","300","2201","1","1141","2206","114","11490114531","1","1","14","20feb2014","1","1","1960","54","2","1","1","2","2","2","2","2","2","2","2","2","3","3","4","999999","3","8","2","999999","999999","999999","2","2","1","1","1","1","3","2","3","3","2","2","3","3","3","5","4","4","3","1","4","1","6","7","6","1","5","3","2","1","2","5","2","5","2","1","3","4","3","1","2","2","2","2","4","4","2","2","2","3","5","5","4","4","2","3","4","2","10","8","5","2","9","10","3","4","2","2","2","2","0","1","999999","999999","999999","999999","999999","0","988888","1","3","2","999999","2","999999","2","999999","0","0","1","2","999999","7","999999","2","999999","2","1","2","2","888888","4","888888","2","2","1","2","3","888888","1","2","14","3","1","1","3","999999","888888","999999","1","3","2","1","4","1","3","2","3","8","1","3","4","2201","4","2","1","1","1","96","1","0","1","0","0","0","0","0","0","1","0","1","1","1","1","8","42","1","6","HAI14_0300","1"
"22","301","2201","1","1141","2206","114","11490135535","1","1","14","20feb2014","1","2","1987","27","2","2","4","888888","3","2","2","2","988888","2","4","1","4","4","4","4","1","2","2","999999","999999","999999","1","2","1","2","999999","999999","999999","2","2","988888","888888","888888","988888","2","2","6","5","6","4","5","2","5","5","6","6","4","5","5","4","5","2","5","5","4","5","6","6","6","6","5","6","2","2","3","2","4","2","2","2","3","4","5","6","5","5","2","2","2","5","7","9","9","8","8","5","4","2","1","3","1","0","0","999999","999999","999999","999999","999999","0","2","2","999999","2","999999","2","999999","2","999999","0","0","2","2","999999","999999","999999","2","999999","4","1","888888","888888","1","1","2","1","2","1","2","1","3","1","2","12","1","1","1","4","999999","0","999999","2","999999","999999","888888","999999","888888","988888","3","1","6","0","0","4","2201","1","3","1","1","1","90","1","0","1","0","0","0","0","1","1","0","0","1","0","0","1","7","40","2","6","HAI14_0301","2"
"22","302","2201","1","1141","2206","114","11490135535","1","1","14","20feb2014","1","2","1975","39","2","1","3","3","2","2","2","3","2","2","3","3","4","3","4","3","3","3","2","999999","999999","999999","2","2","2","2","999999","999999","999999","2","3","2","1","2","2","3","3","4","2","2","2","1","4","2","3","3","5","5","5","3","2","2","2","4","2","2","2","1","6","5","2","5","4","2","2","2","3","888888","3","2","2","3","6","5","6","4","4","888888","3","2","8","8","6","2","6","6","5","2","1","2","2","2","0","1","999999","1","999999","999999","999999","0","2","2","999999","2","999999","2","999999","2","999999","0","0","1","1","2202","999999","999999","2","999999","1","1","2","2","888888","888888","4","3","2","1","1","2","888888","1","988888","15","3","2","1","1","4","888888","988888","1","3","1","1","2","1","3","2","2","4","0","1","4","2201","2","2","1","1","1","96","1","0","1","0","0","1","0","1","1","1","0","1","1","0","1","7","45","1","6","HAI14_0302","2"
"22","303","2201","1","1141","2206","114","11490135535","1","1","14","20feb2014","1","2","1944","70","2","3","2","888888","3","2","2","5","1","1","2","1","2","4","4","3","3","5","2","999999","999999","999999","1","1","1","2","999999","999999","999999","2","3","3","888888","888888","888888","888888","3","1","1","3","3","2","3","6","6","1","6","3","4","4","3","4","5","3","4","3","4","5","6","4","3","4","3","2","4","4","4","1","4","4","3","3","5","4","4","3","4","1","3","2","4","3","4","3","6","4","4","5","1","1","2","2","0","0","999999","999999","999999","1","999999","0","1","888888","999999","888888","999999","888888","999999","888888","999999","1","1","1","2","999999","988888","999999","2","999999","4","1","2","2","1","1","4","1","2","1","1","1","1","1","2","7","0","2","1","1","988888","4","7","1","2","2","1","4","1","4","3","1","6","0","4","4","2201","5","3","2","2","1","90","1","0","1","0","0","0","0","1","1","0","0","1","0","0","1","8","50","2","8","HAI14_0303","2"
