"funding_agency_id","funding_agency_acronym","funding_agency_name","funding_acount_id","funding_account_name","country_code","country_name","transaction_type_id","transaction_type_name","fiscal_year","current_amount","constant_amount"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","AFG","Afghanistan","2","Obligations","2004","422500","568717"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","AFG","Afghanistan","2","Obligations","2005","196637","256841"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","AFG","Afghanistan","2","Obligations","2006","1200000","1518795"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","AFG","Afghanistan","2","Obligations","2007","-7861","-9685"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","AFG","Afghanistan","2","Obligations","2008","-19777","-23874"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","AFG","Afghanistan","3","Disbursements","2005","1260","1646"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","AFG","Afghanistan","3","Disbursements","2006","610016","772075"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","AFG","Afghanistan","3","Disbursements","2007","1104303","1360650"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","AFG","Afghanistan","3","Disbursements","2008","75919","91646"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","AGO","Angola","2","Obligations","2013","3138","3508"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","AGO","Angola","2","Obligations","2014","-187","-205"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","AGO","Angola","3","Disbursements","2013","2950","3298"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","ALB","Albania","2","Obligations","2011","16610","19269"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","ALB","Albania","2","Obligations","2012","-2624","-2988"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","ALB","Albania","2","Obligations","2015","18392","19951"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","ALB","Albania","2","Obligations","2017","-3074","-3247"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","ALB","Albania","3","Disbursements","2011","1773","2057"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","ALB","Albania","3","Disbursements","2012","12213","13905"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","ALB","Albania","3","Disbursements","2016","18392","19774"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","ALB","Albania","3","Disbursements","2017","-3074","-3247"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","ASN","Asia Region","2","Obligations","2009","3200000","3819071"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","ASN","Asia Region","2","Obligations","2010","1625500","1923440"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","ASN","Asia Region","2","Obligations","2011","938845","1089147"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","ASN","Asia Region","3","Disbursements","2010","3368616","3986056"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","ASN","Asia Region","3","Disbursements","2011","1474206","1710213"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","BDI","Burundi","2","Obligations","2014","160000","175496"
"1","USAID","U.S. Agency for International Development","72x0300","Agency for International Development, Capital Investment Fund","BDI","Burundi","2","Obligations","2015","-14511","-15740"
