"name","number","horizon","top","bottom","average","clay","silt","sand","ph_h2o","ph_kcl","soc","tn","c_n","brayp","totalp","crop","landuse","position","ri","include","includetop","cec_ac","cecclay","exca_cmolc_kg","exmg_cmolc_kg","exk_cmolc_kg","exna_cmolc_kg","teb","bs","bs_scaled","teb_icraf","soc_umn","tn_umn","wrb_group","usorder","pit","elevation","cultivated","author","p_differenceparent","p_ratioparent","p_ratiobraytotal","teb_all","map_mm","pet_mm","matx10_c","mi","afsis_bdrule","jelinski_bd","aspect","aspectcat"
"GOL-P1","3","4","160","170","165",,,,,"NA",,,,"NA","NA","0","High","Mid","NA","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Acrisol","Ultisol","1","1851","1","MassaweMeliyo","NA","NA","NA","NA","831","1268","149","66","NA",,"109","S"
"GOL-P1","3","5","170","200","185",,,,,"NA",,,,"NA","NA","0","High","Mid","7.8125","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Acrisol","Ultisol","1","1851","1","MassaweMeliyo","NA","NA","NA","NA","831","1268","149","66","NA",,"109","S"
"GOL-P2","4","1","0","33","185","31","20","49","6.2","5.6","6.29","0.49","12","21.73","NA","0","High","Valley","40","0","0","35.99","116.0967742","19.02","6.65","0.39","0.6","26.66","74.07613226","0.740761323","NA","NA","NA","Fluvisol","Mollisol","1","1831","1","MassaweMeliyo","NA","NA","NA","26.66","831","1268","149","66","NA","0.774375524","256","S"
"GOL-P2","4","2","33","75","185","56","22","22","6.3","5.1","4.58","0.39","11","4.85","NA","0","High","Valley","NA","0","0","33.16","59.21428571","14.2","6.68","0.1","0.72","21.7","65.44028951","0.654402895","NA","NA","NA","Fluvisol","Mollisol","1","1831","1","MassaweMeliyo","NA","NA","NA","21.7","831","1268","149","66","NA","0.854116174","256","S"
"GOL-P2","4","3","75","100","185","47","8","45","5.6","4.2","1.11","0.09","11","5.28","NA","0","High","Valley","30","0","0","14.77","31.42553191","4.15","3.1","0.02","0.48","7.75","52.47122546","0.524712255","NA","NA","NA","Fluvisol","Mollisol","1","1831","1","MassaweMeliyo","NA","NA","NA","7.75","831","1268","149","66","NA","1.210350154","256","S"
"GOL-P2","4","4","100","180","185",,,,,"NA",,,,"NA","NA","0","High","Valley","30","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Fluvisol","Mollisol","1","1831","1","MassaweMeliyo","NA","NA","NA","NA","831","1268","149","66","NA",,"256","S"
"VIT-P1","5","1","0","24","12","56","2","42","5","3.9","1.25","0.09","13","4.36","NA","0","High","Lower","5","1","1","11.95","21.33928571","0.1","0.39","0.03","0.27","0.79","6.610878661","0.066108787","NA","NA","NA","Acrisol","Ultisol","1","1780","1","MassaweMeliyo","NA","NA","NA","0.79","810","1295","153","63","NA","1.1804951","57","N"
"VIT-P1","5","2","24","90","57","64","4","32","4.8","3.9","1.17","0.07","16","66.84","NA","0","High","Lower","5","1","0","17.35","27.109375","0.2","0.33","0.01","0.29","0.83","4.783861671","0.047838617","NA","NA","NA","Acrisol","Ultisol","1","1780","1","MassaweMeliyo","NA","NA","NA","0.83","810","1295","153","63","NA","1.197118678","57","N"
"VIT-P1","5","3","90","190","140","71","2","27","4.4","3.9","0.86","0.06","13","53.09","NA","0","High","Lower","3.75","1","0","13","18.30985915","0.21","0.14","0.01","0.3","0.66","5.076923077","0.050769231","NA","NA","NA","Acrisol","Ultisol","1","1780","1","MassaweMeliyo","NA","NA","NA","0.66","810","1295","153","63","NA","1.274487825","57","N"
"VIT-P2","6","1","0","10","5","47","12","41","6.7","5.6","3.79","0.33","11","5.11","NA","0","High","Mid","11.25","1","1","19.96","42.46808511","9.88","3.2","0.22","0.3","13.6","68.13627255","0.681362726","NA","NA","NA","Acrisol","Ultisol","1","1940","1","MassaweMeliyo","NA","NA","NA","13.6","848","1260","148","67","NA","0.901703125","210","S"
"VIT-P2","6","2","10","75","42.5","53","5","42","6.1","4.7","1.06","0.07","15","5.25","NA","0","High","Mid","7.8125","1","0","15.3","28.86792453","4.34","2.66","0.03","0.31","7.34","47.97385621","0.479738562","NA","NA","NA","Acrisol","Ultisol","1","1940","1","MassaweMeliyo","NA","NA","NA","7.34","848","1260","148","67","NA","1.221934693","210","S"
"VIT-P2","6","3","75","110","92.5","70","4","26","4.4","3.7","1.15","0.07","16","4.62","NA","0","High","Mid","7.8125","1","0","13.59","19.41428571","3.09","2.44","0.04","0.37","5.94","43.70860927","0.437086093","NA","NA","NA","Acrisol","Ultisol","1","1940","1","MassaweMeliyo","NA","NA","NA","5.94","848","1260","148","67","NA","1.201452233","210","S"
