"a09","a21","pbs_id","d01","d02","d03","d04","d05","d06","d07","d08","modd_missing","f01","f03","f05","f02","f04","f06","modf_missing","a02","a05","a06","country","c02","c03","c04","zic_literacy","zic_school_cur","zic_school_ever","zic_edu_lvl","hhwght","urbrur","id_code"
"2","1","1",,,,,,,,,"1",,,,,,,"1","69","29","3","Uganda","2","1","78.0","1.0","2.0","2.0",,"1014","2","1"
"2","1","1",,,,,,,,,"1",,,,,,,"1","69","29","3","Uganda","2","3","30.0","4.0","2.0","1.0","11.0","1014","2","2"
"1","1","2","8.0","8.0","9.0","6.0","9.0","18.0","2.0","5.0","0","2.0","2.0","2.0",,,,"0","15","33","1","Uganda","1","1","38.0","4.0","2.0","1.0","14.0","1106","2","1"
"1","1","2","8.0","8.0","9.0","6.0","9.0","18.0","2.0","5.0","0","2.0","2.0","2.0",,,,"0","15","33","1","Uganda","2","3","19.0","4.0","1.0",,"13.0","1106","2","2"
"1","1","2","8.0","8.0","9.0","6.0","9.0","18.0","2.0","5.0","0","2.0","2.0","2.0",,,,"0","15","33","1","Uganda","2","9","20.0","4.0","2.0","1.0","14.0","1106","2","3"
"1","1","2","8.0","8.0","9.0","6.0","9.0","18.0","2.0","5.0","0","2.0","2.0","2.0",,,,"0","15","33","1","Uganda","2","3","12.0","4.0","1.0",,"11.0","1106","2","4"
"1","1","2","8.0","8.0","9.0","6.0","9.0","18.0","2.0","5.0","0","2.0","2.0","2.0",,,,"0","15","33","1","Uganda","1","3","19.0","4.0","2.0","1.0","11.0","1106","2","5"
"1","1","2","8.0","8.0","9.0","6.0","9.0","18.0","2.0","5.0","0","2.0","2.0","2.0",,,,"0","15","33","1","Uganda","1","3","14.0","4.0","1.0",,"11.0","1106","2","6"
"1","1","2","8.0","8.0","9.0","6.0","9.0","18.0","2.0","5.0","0","2.0","2.0","2.0",,,,"0","15","33","1","Uganda","1","3","17.0","4.0","1.0",,"12.0","1106","2","7"
"1","1","2","8.0","8.0","9.0","6.0","9.0","18.0","2.0","5.0","0","2.0","2.0","2.0",,,,"0","15","33","1","Uganda","2","8","14.0","4.0","1.0",,"11.0","1106","2","8"
