"basline_province","gender","exact_total_farm_area_in","coconut_growing","hectares_under_coconut_farming","whole_nut_kilos_harvested"
"Davao_del_Sur","Female","3","Main crop","3","8000"
"Davao_del_Sur","Male","4","Main crop","4","340"
"Davao_del_Sur","Female","2.5","Main crop","2.5","8000"
"Davao_Oriental","Female","5.2","Main crop","5.2","4800"
"Davao_del_Norte","Female","2","Main crop","2","4800"
"Davao_del_Norte","Male","2","Main crop","2","3000"
"Davao_del_Sur","Female","3","Main crop","3","8000"
"Davao_del_Sur","Female","4.75","Main crop","1","7000"
"Davao_del_Sur","Female","3.5","Secondary crop","1.7","20000"
"Davao_del_Sur","Female","0.5","Main crop","0.5","2000"
"Davao_del_Sur","Male","2.9","Main crop","1.25","5000"
"Davao_del_Sur","Male","1.75","Main crop","1","5000"
"Davao_del_Sur","Female","1","Main crop","1","600"
"Davao_del_Sur","Male","3.5","Main crop","3","3000"
"Davao_del_Sur","Female","1.5","Main crop","1.5","8000"
"Davao_del_Sur","Female","5","Secondary crop","1.5","7600"
"Davao_del_Sur","Male","3","Secondary crop","2","0"
"Davao_del_Sur","Female","1","Main crop","0.75","4000"
"Davao_Oriental","Male","1","Main crop","1","2700"
"Davao_Oriental","Female","5","Main crop","5","7400"
"Davao_Oriental","Male","5","Main crop","4.8","12000"
"Davao_Oriental","Male","2.6","Main crop","2.6","4500"
"Davao_Oriental","Female","3","Main crop","2","6000"
"Davao_Oriental","Female","3","Main crop","3","24000"
"Davao_Oriental","Male","2","Main crop","2","3500"
"Davao_Oriental","Female","2","Main crop","1.8","5400"
"Davao_del_Sur","Female","4","Main crop","4","20000"
"Davao_del_Sur","Female","0.9","Main crop","0.7","2284"
"Davao_del_Sur","Male","0.75","Main crop","0.7","2600"
"Davao_del_Sur","Male","2.5","Main crop","2.5","12000"
"Davao_Oriental","Female","3","Main crop","2.5","14000"
"Davao_del_Norte","Female","1.7","Main crop","0.5","5100"
"Davao_del_Norte","Male","7","Main crop","4","21000"
"Davao_del_Sur","Female","5.5","Main crop","4","12000"
"Davao_del_Sur","Male","4","Main crop","0.5","4000"
"Davao_del_Norte","Male","5","Main crop","3","18000"
"Davao_del_Norte","Male","7","Main crop","5","9000"
"Davao_del_Sur","Female","0.5","Main crop","0.5","1233"
"Davao_del_Sur","Female","1.25","Secondary crop","1.25","6000"
"Davao_del_Sur","Male","1.7","Main crop","1.7","20000"
"Davao_del_Sur","Male","0.5","Main crop","0.4","2000"
"Davao_del_Norte","Female","1","Main crop","1","3900"
"Davao_del_Norte","Male","2.5","Main crop","1","1950"
"Davao_del_Norte","Male","2","Main crop","1.5","15000"
"Davao_del_Sur","Female","3","Main crop","1","1500"
"Davao_del_Norte","Female","1","Main crop","1","3000"
"Davao_Oriental","Female","1.75","Main crop","1","3000"
"Davao_Oriental","Male","1.5","Main crop","1.5","1800"
"Davao_Oriental","Female","1.6","Main crop","1.6","6500"
"Davao_Oriental","Male","8","Main crop","6","12000"
"Davao_Oriental","Male","3","Main crop","3","12000"
"Davao_Oriental","Female","1","Main crop","1","1500"
"Davao_Oriental","Male","7","Main crop","6","45000"
"Davao_Oriental","Female","5.5","Main crop","5","14400"
"Davao_del_Norte","Male","2","Main crop","1","900"
"Davao_Oriental","Female","5","Main crop","2.5","6000"
"Davao_Oriental","Male","2","Main crop","1.5","4000"
"Davao_Oriental","Male","3.3","Main crop","3.3","20000"
"Davao_Oriental","Female","1.5","Main crop","1.5","1200"
"Davao_Oriental","Male","2.1","Main crop","2.1","10000"
"Davao_del_Sur","Male","1","Main crop","1","1700"
"Davao_del_Sur","Female","0.9","Main crop","0.9","2643"
"Davao_del_Sur","Female","1","Main crop","1","6000"
"Davao_del_Sur","Female","2","Main crop","2","2700"
"Davao_del_Sur","Female","1","Main crop","1","17000"
"Davao_del_Norte","Female","0.7","Main crop","0.7","2100"
"Davao_Oriental","Male","1","Main crop","1","6400"
"Davao_Oriental","Female","1","Main crop","1","2006"
"Davao_Oriental","Male","0.5","Main crop","0.5","1200"
"Davao_Oriental","Female","1","Main crop","1","4000"
"Davao_del_Sur","Female","1","Secondary crop","1","1900"
"Davao_del_Sur","Female","2","Main crop","2","3600"
"Davao_del_Sur","Male","4.6","Main crop","4","20000"
"Davao_del_Sur","Female","1.5","Main crop","1.5","5100"
"Davao_del_Sur","Female","2.5","Main crop","0.7","840"
"Davao_del_Sur","Female","5","Main crop","4","9000"
"Davao_Oriental","Male","1.5","Main crop","1","4000"
"Davao_del_Sur","Female","0.2","Main crop","0.2","635"
"Davao_del_Sur","Female","1.7","Main crop","1.7","8000"
"Davao_Oriental","Male","3.5","Main crop","3.5","2400"
"Davao_Oriental","Male","1.6","Main crop","0.8","2400"
"Davao_Oriental","Female","3","Main crop","3","5200"
"Davao_Oriental","Male","1.8","Main crop","1.8","0"
"Davao_Oriental","Female","1.8","Main crop","1","4000"
"Davao_Oriental","Female","4.8","Main crop","4.8","6400"
"Davao_Oriental","Female","2.9","Main crop","2.9","620"
"Davao_Oriental","Male","1.5","Main crop","0.75","160"
"Davao_Oriental","Male","1.5","Main crop","1.5","480"
"Davao_Oriental","Female","1.3","Secondary crop","1.3","0"
"Davao_Oriental","Female","2.5","Secondary crop","1.5","0"
"Davao_Oriental","Male","6","Main crop","5","7200"
"Davao_Oriental","Female","3","Main crop","3","24000"
"Davao_Oriental","Male","3","Main crop","1.8","1800"
"Davao_Oriental","Female","7","Main crop","4","9600"
"Davao_Oriental","Female","4","Main crop","4","4500"
"Davao_Oriental","Male","2","Main crop","2","6000"
"Davao_Oriental","Male","7","Main crop","6","9000"
"Davao_Oriental","Female","6","Main crop","5","12000"
"Davao_Oriental","Female","8","Main crop","8","412"
"Davao_Oriental","Male","2","Main crop","2","2800"
"Davao_Oriental","Female","1","Secondary crop","1","0"
"Davao_Oriental","Female","3.45","Secondary crop","2.7","0"
"Davao_Oriental","Male","2","Main crop","2","8200"
"Davao_Oriental","Female","1","Main crop","1","0"
"Davao_Oriental","Female","3.77","Secondary crop","3.77","21000"
"Davao_Oriental","Male","12","Main crop","10","22400"
"Davao_Oriental","Male","4.8","Main crop","3","1950"
"Davao_Oriental","Male","3.5","Main crop","3.5","5800"
"Davao_Oriental","Male","3","Main crop","3","2260"
"Davao_Oriental","Male","2.5","Main crop","2.5","0"
"Davao_Oriental","Female","3","Main crop","3","5780"
"Davao_Oriental","Male","3","Main crop","3","2700"
"Davao_del_Sur","Female","1.3","Main crop","1.3","4300"
"Davao_del_Sur","Female","2","Secondary crop","2","4000"
"Davao_del_Sur","Female","2.4","Main crop","1.4","4000"
"Davao_del_Sur","Male","2.4","Main crop","2","3600"
"Davao_del_Sur","Male","1.5","Secondary crop","1.5","8000"
"Davao_del_Sur","Male","2.5","Main crop","1","2800"
"Davao_del_Sur","Female","2","Main crop","1.75","1800"
"Davao_del_Sur","Female","1","Main crop","1","2800"
"Davao_del_Sur","Female","6","Main crop","5","6800"
"Davao_del_Sur","Male","1.5","Main crop","1","7800"
"Davao_del_Sur","Male","3","Main crop","1","1200"
"Davao_del_Sur","Female","2","Main crop","2","2500"
"Davao_del_Sur","Female","4","Main crop","2","8000"
