"predict_eventid","country","concurrentsamplingsite","stateprov","latitude","longitude","eventdate","eventtype","season","humandensityimpact","diseasetransmissioninterfaces","veterinariancare","samplingareasize","humanspresent","rodentspresent","batspresent","nhppresent","birdspresent","carnivorespresent","ungulatespresent","pangolinspresent","poultrypresent","goatspresent","camelspresent","swinepresent","horsespresent","cattlepresent","dogspresent","catspresent","drinkingwatershared","bathingwatershared","toiletsavailable","drinkingwatersource","averagetriptowater","insectvectors","vectorcontrolmeasures","nbrbeds"
"480","China","Concurrent Site 1","Yunnan","24.46","102.32","2016-05-20T00:00:00.000","animal","Wet","rural","dwellings; natural areas","false","large 3500 - 7000 square meters","true","true","true","false","true","true","true","false","false","false","false","true","missing","true","true","false","no","no","well maintained; used","fully protected: water network with taps, covered well","<5 minutes walking","none observed","true","N/A"
"2939","China","Concurrent Site 1","Yunnan","24.46","102.32","2016-09-10T00:00:00.000","animal","Wet","peri-urban","crop production; natural areas","false","medium 650 - 3500 square meters","true","true","true","false","true","false","false","false","false","false","false","false","no","false","false","false","no","no","used","fully protected: water network with taps, covered well","<5 minutes walking","none observed","false","N/A"
"3330","China","Concurrent Site 1","Yunnan","24.46","102.32","2017-06-11T00:00:00.000","animal","Wet","peri-urban","crop production; natural areas","false","medium 650 - 3500 square meters","true","true","true","false","true","false","false","false","false","false","false","false","no","false","true","false","no","no","used","fully protected: water network with taps, covered well","<5 minutes walking","none observed","false","N/A"
"3466","China","Concurrent Site 1","Yunnan","24.46","102.32","2017-08-21T00:00:00.000","animal","Wet","peri-urban","crop production; natural areas","false","small <650 square meters","true","true","true","false","true","false","false","false","false","false","false","false","no","false","false","false","no","no","used","fully protected: water network with taps, covered well","<5 minutes walking","none observed","false","N/A"
"5172","China","Concurrent Site 1","Yunnan","24.46","102.32","2018-05-10T00:00:00.000","animal","Wet","rural","crop production; natural areas","false","small <650 square meters","true","true","true","false","true","true","false","false","true","true","false","true","yes","true","true","true","no","unknown","used","fully protected: water network with taps, covered well","<5 minutes walking","none observed","false","N/A"
"5908","China","Concurrent Site 1","Yunnan","24.46","102.32","2018-09-06T00:00:00.000","animal","Wet","peri-urban","crop production; dwellings; natural areas","false","large 3500 - 7000 square meters","true","true","true","false","true","false","false","false","false","false","false","false","no","true","false","false","NULL","NULL","used","fully protected: water network with taps, covered well","<5 minutes walking","none observed","false","N/A"
"5535","China","Concurrent Site 2","Yunnan","22.43","100.67","2018-07-02T00:00:00.000","animal","Wet","rural","crop production; dwellings; natural areas","false","small <650 square meters","true","true","true","false","true","true","true","false","true","true","false","true","yes","true","true","true","unknown","unknown","used","fully protected: water network with taps, covered well","<5 minutes walking","none observed","false","N/A"
"5173","China","Concurrent Site 2","Yunnan","22.43","100.67","2018-05-13T00:00:00.000","animal","Wet","peri-urban","crop production; dwellings; natural areas","false","extra large >7000 square meters","true","true","true","false","true","false","false","false","true","true","false","true","no","true","true","true","unknown","unknown","used","fully protected: water network with taps, covered well; rainwater harvesting, water trucking","<5 minutes walking","none observed","false","N/A"
"3467","China","Concurrent Site 2","Yunnan","22.43","100.67","2017-08-22T00:00:00.000","animal","Wet","peri-urban","crop production; natural areas","false","small <650 square meters","true","false","true","false","true","false","false","false","false","false","false","false","no","false","false","false","unknown","no","used","fully protected: water network with taps, covered well; rainwater harvesting, water trucking","<5 minutes walking","none observed","false","N/A"
"3343","China","Concurrent Site 2","Yunnan","22.43","100.67","2017-06-17T00:00:00.000","animal","Wet","peri-urban","crop production; natural areas","false","medium 650 - 3500 square meters","false","true","true","false","true","false","false","false","false","false","false","false","no","false","false","false","no","unknown","used","fully protected: water network with taps, covered well","<5 minutes walking","none observed","false","N/A"
"476","China","Concurrent Site 2","Yunnan","22.43","100.67","2016-05-25T00:00:00.000","animal","Wet","rural","crop production; dwellings; natural areas","false","medium 650 - 3500 square meters","true","true","true","false","true","true","false","false","true","true","false","true","missing","true","true","true","no","no","none observed","none observed","N/A","mosquito","false","N/A"
"481","China","Concurrent Site 3","Yunnan","24.95","102.17","2016-05-19T00:00:00.000","animal","Wet","rural","crop production; dwellings; natural areas","false","large 3500 - 7000 square meters","true","true","true","false","true","true","true","false","true","true","false","true","missing","true","true","true","no","no","not maintained; used","fully protected: water network with taps, covered well","<5 minutes walking","mosquito","false","N/A"
