"gender","province","coconut_growing","hectares_coconut","approx_coconut_trees","approximate_nut_bearing_trees","kilos_harvested_last_12_months"
"Female","Davao_del_Sur","Secondary crop","0.5","36","90","800"
"Female","Davao_del_Sur","Main crop","3","41","15","402"
"Female","Davao_del_Sur","Main crop","1.3","150","15","8000"
"Female","Davao_del_Sur","Main crop","0.2","5","100","448"
"Male","Davao_del_Sur","Main crop","0.38","25","6","1500"
"Male","Davao_del_Sur","Main crop","3.7","330","80","4300"
"Male","Davao_del_Sur","Main crop","0.5","100","65","4000"
"Female","Davao_del_Sur","Main crop","0.8","80","100","6900"
"Male","Davao_del_Sur","Main crop","3.5","90","75","6000"
"Female","Davao_del_Sur","Main crop","2","150","60","1300"
"Male","Davao_del_Sur","Main crop","0.6","20","50","400"
"Male","Davao_del_Sur","Main crop","5","224","95","25000"
"Male","Davao_del_Sur","Do not grow","0","0","0","0"
"Male","Davao_del_Sur","Secondary crop","0.25","50","50","200"
"Male","Davao_del_Sur","Main crop","3","30","10","8000"
"Female","Davao_del_Sur","Main crop","0.5","100","75","2400"
"Female","Davao_Oriental","Main crop","1","100","10","100"
"Female","Davao_Oriental","Main crop","1","150","25","400"
"Female","Davao_Oriental","Main crop","3","300","50","1000"
"Male","Davao_Oriental","Main crop","2.04","200","5","0"
"Female","Davao_Oriental","Main crop","0.5","150","10","1000"
"Female","Davao_Oriental","Main crop","1","100","5","100"
"Male","Davao_Oriental","Main crop","2","30","15","100"
"Male","Davao_Oriental","Main crop","1","100","70","1600"
"Female","Davao_Oriental","Main crop","0.4","73","40","0"
"Male","Davao_Oriental","Main crop","1","150","20","300"
"Female","Davao_Oriental","Main crop","1.5","80","5","0"
"Male","Davao_Oriental","Main crop","1","100","20","0"
"Male","Davao_Oriental","Main crop","1","40","10","0"
"Male","Davao_Oriental","Main crop","3","360","45","500"
"Female","Davao_Oriental","Main crop","1","80","10","0"
"Male","Davao_Oriental","Main crop","2","120","20","50"
"Male","Davao_Oriental","Main crop","0.5","80","0","0"
"Male","Davao_Oriental","Main crop","1","100","0","0"
"Female","Davao_Oriental","Main crop","1.8","100","80","0"
"Female","Davao_Oriental","Main crop","0.75","100","40","0"
"Male","Davao_Oriental","Main crop","1.3","295","75","12000"
"Female","Davao_Oriental","Main crop","0.7","60","25","3400"
"Male","Davao_Oriental","Main crop","3.3","48","90","14000"
"Female","Davao_Oriental","Main crop","3","350","43","1200"
"Female","Davao_Oriental","Main crop","1","132","100","4000"
"Male","Davao_Oriental","Main crop","1.5","150","67","7500"
"Female","Davao_Oriental","Main crop","1.5","180","58","4000"
"Female","Davao_Oriental","Main crop","1.5","175","100","10000"
"Male","Davao_del_Norte","Main crop","0.4","35","90","2100"
"Male","Davao_del_Norte","Secondary crop","0.2","20","30","1030"
"Male","Davao_del_Norte","Main crop","0.5","30","90","1700"
"Female","Davao_del_Norte","Secondary crop","0.9","100","90","6400"
"Male","Davao_Oriental","Main crop","1","120","42","6000"
"Female","Davao_Oriental","Main crop","1.3","60","33","800"
"Female","Davao_del_Norte","Main crop","0.4","45","40","1356"
"Male","Davao_del_Norte","Secondary crop","0.2","25","20","1300"
"Female","Davao_Oriental","Main crop","1.5","60","65","0"
"Male","Davao_Oriental","Main crop","3","120","65","1500"
"Male","Davao_Oriental","Main crop","1.5","200","30","2970"
"Male","Davao_Oriental","Main crop","5","400","35","7900"
"Male","Davao_Oriental","Main crop","2","240","62","3200"
"Male","Davao_Oriental","Main crop","2","240","75","11300"
"Male","Davao_Oriental","Main crop","2.7","336","74","10800"
"Male","Davao_Oriental","Main crop","1","90","77","2250"
"Male","Davao_Oriental","Main crop","1.5","180","50","3320"
"Male","Davao_Oriental","Main crop","1","260","23","2800"
"Male","Davao_Oriental","Main crop","4","320","85","19500"
"Female","Davao_Oriental","Main crop","1.5","150","66","6900"
"Female","Davao_Oriental","Main crop","1.5","180","83","5200"
"Male","Davao_Oriental","Main crop","3","550","36","4920"
"Male","Davao_Oriental","Main crop","3","360","77","8300"
"Male","Davao_Oriental","Main crop","3","300","66","8800"
"Male","Davao_Oriental","Main crop","2","200","45","3080"
"Male","Davao_Oriental","Main crop","3","350","14","2520"
"Male","Davao_Oriental","Main crop","3","300","30","1200"
"Male","Davao_Oriental","Main crop","2","70","50","600"
"Male","Davao_Oriental","Main crop","1.5","70","40","500"
"Female","Davao_Oriental","Main crop","2","370","35","800"
"Male","Davao_Oriental","Main crop","2","20","95","0"
"Male","Davao_Oriental","Main crop","2","160","40","700"
"Female","Davao_Oriental","Main crop","1","70","80","900"
"Male","Davao_Oriental","Main crop","1","150","35","900"
