"enc","pais","idnum","estratopri","upm","perdept","perprov","perdistrito","persegmento","persec","cluster","percluster","ur","tamano","peridioma","fecha","q1","a4","pera4a","pera4b","pera4c","dem13a","dem13b","dem13c","dem13d","a1","a2","a3","a4i","soct1","soct2","idio1","idio2","cp2","cp4a","cp4","prot1","prot2","cp5","cp5a","cp5b","cp5c","cp5d","cp6","cp7","cp8","cp9","cp10","cp13","ls3","it1","l1","np1","np1b","np2","sgl1","sgl2","lgl2","lgl3","muni5","muni6","muni10","muni11","muni15","jc1","jc4","jc10","jc12","jc13","jc15","jc16","pop1","pop2","pop3","pop4","pop5","vic1","vic2","aoj1","aoj1b","aoj8","aoj11","aoj11a","aoj12","aoj16a","aoj17","st1","st2","b1","b2","b3","b4","b6","b10a","b11","b12","b13","b14","b15","b18","b20","b21","b31","perb31a","b32","b43","b17","b37","b40","b47","n1","n3","n9","n10","n11","n12","m1","ing4","pn2","dem23","pn4","pn5","e5","e8","e11","e15","e14","e2","e3","e16","d32","d33","d34","d36","d37","d1","d2","d3","d4","d5","dem2","aut1","pp1","pp2","dc1","dc10","dc13","exc2","exc6","exc11","exc13","exc14","exc15","exc16","exc17","exc18","exc19","exc7","gi1","gi2","gi3","gi4","gi5","pergi6","pergi7","vb1","vb2","pervb3","vb4","vb8","pervb8c","pervb8d","pervb8e","pervb8f","pervb8g","vb6","pervb7","pervb8h","pervb2b","pervb3b","vb10","pervb11","pervb12","pervb13","pervb17","pervb19","pol1","pol2","aa1","aa2","aa3","aa4","dis2","dis3","dis4","dis5","ed","q2","q3","q10","q10a","q10b","q10c","q14","q10d","q11","q12","peretid","peretida","perleng1","perleng1a","perleng4","r1","r3","r4","r4a","r5","r6","r7","r8","r12","r14","r15","ocup1","ocup4","ocup1a","ocup1b1","ocup1c","desoc2","mig1","mig2","mig3","ti","ubipro","ubidis"
"1","11","1","1103","301","15","1","10","2700","39.0","30102700","2700","1","1","1","2306","2","5.0","14.0","6.0","1.0","3.0","17","0.0","17.0","1","1.0","2.0","4","3.0","2.0","3.0","2.0","2.0","2.0","2.0","3.0","9.0","1.0","1.0","1.0","2.0","2.0","1.0","4.0","3.0","4.0","4.0","4.0","3.0","3.0","3.0","1.0","3.0","2.0","3.0","3.0","2.0","2.0","0.0","0.0",,"3.0","1.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","2.0","1","2.0","2.0","1.0","1.0","2.0","1.0",,"1.0","4.0","1.0","4.0","1.0","1.0","4.0","4.0","1.0","4.0","1.0","4.0","3.0","1.0","4.0","4.0","1.0","3.0","4.0","3.0","5.0","4.0","4.0","4.0","4.0","7.0","6.0","5.0","6.0","4.0","2.0","4.0","1.0","2.0","1.0","3.0","3.0","7.0","7.0","7.0","3.0","3.0","2.0","10.0","2.0","1.0","1.0","1.0","1.0","10.0","3.0","2.0","2.0","2.0","1.0","4.0","4.0","3.0","3.0","2.0","2.0","2.0","4.0","2.0","1.0","2.0","1.0","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1","8","1","1","1","1","1","1","1.0","1.0",,"3.0","2.0","2.0","1.0",,"2.0","1.0","1.0","3.0","1.0","1.0","2.0",,,,,,"2.0","2.0","3.0","4.0","2.0","2.0","1.0","1.0","2.0","2.0","11.0","33","1.0","3.0","2.0","2.0","4","1.0","3.0","3.0","3.0","2.0","2.0","1.0","7.0","1.0","1","1","1","1","0","1","0","0","1","1","0","13.0",,,,,,"2.0","1",,"52","1501","150110"
"2","11","2","1103","301","15","1","10","2700","41.0","30102700","2700","1","1","1","2306","1","4.0","11.0","2.0","2.0","17.0","1","0.0","17.0","2","1.0","3.0","3","3.0","2.0","3.0","2.0","2.0","2.0","1.0","3.0","9.0","2.0",,,,,"4.0","2.0","4.0","4.0","4.0","4.0","2.0","3.0",,"2.0","3.0","2.0","3.0",,"3.0","2.0","0.0","1.0",,"4.0","1.0","2.0","2.0","1.0","2.0","1.0","1.0","2.0","2.0","1","2.0","2.0","2.0","2.0",,,,"2.0","3.0","1.0","4.0","2.0","2.0","9.0","9.0","4.0","6.0","3.0","5.0","7.0","6.0","6.0","6.0","4.0","5.0","4.0","6.0","4.0","4.0","6.0","7.0","6.0","7.0","7.0","7.0","7.0","6.0","5.0","4.0","4.0","5.0","6.0","3.0","3.0","3.0","7.0","1.0","3.0","2.0","8.0","8.0","7.0","2.0","5.0","7.0","6.0","4.0","4.0","4.0","3.0","3.0","3.0","4.0","4.0","4.0","4.0","2.0","2.0","2.0","4.0","2.0","1.0","3.0","1.0","0","0.0",,,,,,"0.0","1.0","1.0","2.0","8","8","1","1","8","1","1","1","1.0","1.0",,"3.0","1.0","2.0","2.0",,"2.0","1.0","0.0","3.0","1.0","1.0","2.0",,,,,,"3.0","5.0","2.0","5.0","3.0","3.0","2.0","1.0","2.0","2.0","11.0","20","1.0","3.0","99.0",,"4","1.0","3.0","1.0","0.0","2.0","2.0","1.0","7.0","1.0","1","0","0","0","0","0","0","0","1","1","0","11.0","2.0",,,,"8.0","2.0","2","1.0","46","1501","150110"
"3","11","3","1103","301","15","1","10","2700","38.0","30102700","2700","1","1","1","2306","1","3.0","18.0","6.0","4.0","3.0","0","0.0",,"2","2.0","2.0","4","3.0","2.0","4.0","3.0","2.0","2.0","2.0","3.0","9.0","1.0","1.0","2.0","1.0","2.0","3.0","4.0","3.0","3.0","4.0","4.0","2.0","3.0",,"2.0","2.0","2.0","3.0","3.0","2.0","1.0","0.0","1.0",,"3.0","2.0","2.0","2.0","1.0","2.0","2.0","2.0","2.0","1.0","1","2.0",,"2.0","2.0",,,,"1.0","3.0","1.0","2.0","2.0","1.0","2.0","9.0","3.0","4.0","3.0","4.0","4.0","5.0","4.0","5.0","3.0","3.0","4.0","4.0","3.0","4.0","4.0","3.0","6.0","7.0","5.0","4.0","5.0","6.0","3.0","3.0","2.0","3.0","4.0","2.0","3.0","4.0","5.0","3.0","3.0","2.0","2.0","9.0","9.0","1.0","1.0","3.0","1.0","9.0","2.0","3.0","2.0","2.0","2.0","4.0","3.0","3.0","3.0","2.0","2.0","2.0","4.0","2.0","1.0","1.0","1.0","0","0.0",,,,"1.0",,"0.0","0.0","0.0","2.0","1","8","1","1","8","2","8","1","1.0","1.0",,"3.0","2.0","1.0","2.0",,"2.0","1.0","0.0","3.0","1.0","2.0","2.0",,,,,,"2.0","5.0","2.0","5.0","3.0","4.0","2.0","2.0","2.0","2.0","5.0","67","1.0","3.0","99.0",,"4","2.0","2.0","2.0","4.0","2.0","2.0","1.0","7.0","1.0","1","1","1","0","0","1","0","0","1","1","0","14.0",,,,,,"1.0","1",,"52","1501","150110"
"4","11","4","1103","301","15","1","10","2700","42.0","30102700","2700","1","1","1","2306","1","4.0","24.0","6.0","10.0","80.0","0","0.0",,"2","1.0","3.0","4","5.0","3.0","3.0","3.0","2.0","2.0","2.0","3.0","9.0","1.0","1.0","2.0","1.0","2.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","2.0","5.0","2.0","4.0","2.0","4.0","4.0",,"2.0","0.0","1.0",,"4.0","2.0","2.0","2.0","1.0",,"1.0","1.0","2.0","1.0","1","2.0","2.0","1.0","1.0","1.0","1.0",,"2.0","3.0","1.0","3.0","2.0","1.0","3.0","3.0","2.0","5.0","3.0","2.0","4.0","2.0","4.0","4.0","1.0","3.0","4.0","3.0","4.0","4.0","2.0","4.0","3.0","7.0","4.0","5.0","6.0","4.0","3.0","4.0","1.0","3.0","4.0","2.0","4.0","3.0","6.0","4.0","3.0","2.0","4.0","6.0","3.0","2.0","2.0","3.0","4.0","8.0","3.0","3.0","2.0","2.0","2.0","4.0","5.0","4.0","4.0","1.0","3.0","1.0","4.0","2.0","1.0","1.0","1.0","1","0.0",,"0.0",,,,"0.0","0.0","0.0","1.0","9","8","1","1","9","1","8","1","1.0",,,"3.0","2.0","2.0","2.0",,,"1.0","0.0","3.0","1.0",,"2.0",,,,,,"3.0","4.0","3.0","5.0","4.0","4.0","2.0","2.0","2.0","2.0","9.0","69","2.0",,"99.0",,"4","2.0","2.0","2.0","8.0","2.0","2.0","2.0","1.0","2.0","1","1","1","0","0","1","0","0","1","1","1","9.0","1.0","2.0","5.0","2.0",,"2.0","1",,"43","1501","150110"
"5","11","5","1103","301","15","1","10","2700","38.0","30102700","2700","1","1","1","2306","2","3.0","14.0","2.0","2.0","3.0","17","0.0","17.0","3","1.0","3.0","4","5.0","2.0","3.0","2.0","2.0","2.0","2.0","1.0","3.0","1.0","2.0","2.0","1.0","2.0","4.0","2.0","1.0","4.0","4.0","1.0","3.0","3.0","6.0","2.0","3.0","2.0","3.0","3.0","2.0","2.0","0.0","1.0",,"2.0","1.0","2.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2","2.0","1.0","2.0","2.0",,,,"1.0","2.0","1.0","4.0","1.0","2.0","1.0","9.0","4.0","6.0","4.0","4.0","5.0","5.0","6.0","5.0","6.0","4.0","5.0","6.0","6.0","4.0","5.0","5.0","5.0","5.0","6.0","5.0","5.0","6.0","2.0","3.0","2.0","4.0","4.0","3.0","3.0","2.0","6.0","6.0","3.0","3.0","8.0","9.0","3.0","1.0","1.0","1.0","1.0","8.0","3.0","5.0","1.0","1.0","1.0","6.0","7.0","5.0","5.0","3.0","2.0","2.0","3.0","2.0","1.0","2.0","1.0","0","1.0","0.0","0.0",,"0.0","0.0","0.0","1.0","1.0","2.0","1","1","1","1","8","1","8","1","1.0","2.0",,"3.0","1.0","2.0","2.0",,"2.0","1.0","2.0","3.0","1.0","2.0","2.0",,,,,,"2.0","2.0","2.0","3.0","2.0","4.0","2.0","2.0","2.0","2.0","11.0","36","1.0","4.0","99.0",,"4","1.0","2.0","3.0","2.0","1.0","1.0","1.0","7.0","2.0","1","1","0","0","0","0","0","0","1","1","0","4.0","1.0","4.0","1.0","2.0",,"3.0","1",,"50","1501","150110"
"6","11","6","1103","301","15","1","42","4300","35.0","30104300","4300","1","1","1","2506","2","14.0","14.0","2.0","2.0","80.0","0","0.0",,"2","1.0","1.0","4","5.0","3.0","4.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","2.0","2.0","2.0","3.0","3.0","4.0","4.0","2.0","3.0","10.0","1.0","3.0","2.0","4.0","4.0","2.0","2.0","0.0","1.0",,"3.0","0.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","2","1.0","2.0","2.0","1.0","7.0","1.0",,"1.0","3.0","1.0","3.0","2.0","1.0","2.0","4.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0","1.0","1.0","2.0","2.0","1.0","1.0","1.0","2.0","2.0","2.0","7.0","1.0","3.0","3.0","3.0","1.0","1.0","1.0","1.0","2.0","1.0","4.0","4.0","4.0","3.0","3.0","3.0","5.0","5.0","5.0","1.0","1.0","1.0","1.0","1.0","5.0","4.0","8.0","4.0","8.0","7.0","4.0","4.0","5.0","1.0","2.0","2.0","4.0","2.0","1.0","1.0","1.0","1","1.0",,,,,"0.0","1.0","0.0","1.0",,"1","8","1","1","8","1","1","1","1.0","0.0",,,,"2.0","2.0",,,"1.0","9.0",,"1.0","3.0","2.0",,,,,,"4.0","5.0","2.0","1.0","2.0","6.0","1.0","1.0","2.0","2.0","3.0","45","2.0",,"99.0",,"4","2.0","2.0","2.0","3.0","7.0","2.0","1.0","7.0","1.0","1","1","0","0","0","0","0","0","1","1","0","13.0",,,,,,"1.0","1",,"30","1501","150142"
"1057","11","1057","1101","123","24","1","1","600","1.0","12300600","600","1","3","1","2806","2","13.0","5.0","2.0","2.0","15.0","0","0.0",,"1","3.0","3.0","4","4.0","3.0","4.0","3.0","2.0","2.0","2.0","3.0","9.0","2.0",,,,,"4.0","4.0","3.0","4.0","4.0","4.0","3.0","3.0","4.0",,"4.0","2.0","4.0","3.0",,"2.0","0.0","1.0",,"4.0","1.0",,,"1.0",,"1.0",,,,"8",,,"2.0","2.0",,,,"1.0","4.0","2.0","4.0",,"2.0","4.0","4.0","3.0","3.0","2.0","4.0",,"2.0","4.0","5.0","3.0","4.0","2.0","1.0","5.0","4.0","3.0","4.0","4.0","7.0","3.0","3.0",,"4.0","3.0",,"2.0","3.0","2.0","2.0","4.0","6.0","4.0","3.0","3.0","2.0","8.0","10.0","5.0","9.0","10.0",,"10.0","10.0","1.0","1.0","1.0","1.0","1.0","6.0","5.0","3.0","3.0","1.0",,"2.0","3.0","2.0","1.0","2.0","1.0","0","0.0",,,,"0.0",,"0.0","0.0","1.0","1.0","8","8","8","1","8","1","8","1","1.0","1.0",,"1.0","2.0","2.0",,,,"1.0","1.0","1.0","1.0","1.0","2.0",,,,,,"3.0","2.0","5.0","1.0","1.0","4.0",,,"2.0","2.0","11.0","57","1.0","4.0","99.0",,"4","2.0","4.0","2.0","3.0","2.0","2.0","1.0","7.0","1.0","1","1","0","0","0","0","0","0","0","1","0","13.0",,,,,,"2.0","1",,"65","2401","240101"
"7","11","7","1103","301","15","1","42","4300","37.0","30104300","4300","1","1","1","2506","1","1.0","3.0",,"99.0",,"0","0.0",,"4","3.0","1.0","4","3.0","2.0","3.0","2.0","2.0","2.0","2.0","3.0","9.0","2.0",,,,,"4.0","4.0","4.0","4.0","4.0","4.0","1.0","3.0","9.0","2.0","3.0","2.0","4.0","4.0","2.0","2.0","0.0","1.0",,"3.0","0.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0","2.0","1","1.0","2.0","1.0","2.0",,,,"2.0","1.0","1.0","4.0","2.0","1.0","2.0",,"4.0","3.0","4.0","4.0","3.0","4.0","3.0","2.0","4.0","4.0","4.0","3.0","7.0","1.0","2.0","3.0","4.0","7.0","3.0","4.0","4.0","4.0","1.0","2.0","3.0","4.0","3.0","3.0","2.0","2.0","5.0","3.0","3.0","3.0","6.0","6.0","4.0","2.0","2.0","2.0","2.0","7.0","5.0","10.0","7.0","8.0","4.0","5.0","5.0","5.0","4.0","1.0","1.0","2.0","4.0","2.0","1.0","1.0","1.0","0","0.0",,"0.0",,,"0.0","0.0","0.0","0.0","1.0","1","8","8","1","8","1","8","1","1.0","1.0",,"1.0","2.0","2.0","2.0",,,"1.0","0.0",,"1.0","1.0","2.0",,,,,,"4.0","5.0","1.0","5.0","6.0","5.0","2.0","2.0","2.0","2.0","9.0","28","1.0","6.0","99.0",,"4","1.0","3.0","3.0","2.0","2.0","2.0","1.0","7.0","1.0","1","1","1","1","0","0","0","0","1","1","0","10.0","1.0","4.0","1.0","2.0",,"3.0","1",,"47","1501","150142"
"8","11","8","1103","301","15","1","42","4300","35.0","30104300","4300","1","1","1","2506","2","5.0","5.0","6.0","2.0",,"0","0.0",,"4","1.0","3.0","4","4.0","2.0","3.0","2.0","2.0","1.0","2.0","3.0","9.0","1.0","2.0","1.0","2.0","2.0","1.0","2.0","4.0","4.0","4.0","4.0","1.0","3.0","88.0","2.0",,"2.0","4.0","4.0","2.0","2.0","0.0","0.0",,"4.0","0.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","8",,"1.0","1.0","2.0",,,,"2.0","4.0","1.0","4.0","2.0","2.0","4.0",,"2.0","1.0","1.0","3.0","2.0","3.0","3.0","2.0","2.0","3.0","3.0","3.0","1.0","2.0","2.0","3.0","2.0","3.0","2.0","2.0","3.0","2.0","1.0","2.0",,"3.0","2.0","2.0","4.0","2.0","3.0","3.0",,,"6.0","3.0","1.0","1.0","1.0","1.0","1.0","1.0","4.0","4.0","3.0","4.0","2.0","7.0","4.0","3.0","4.0","1.0","2.0","2.0","4.0","2.0","1.0","1.0","1.0","0","0.0",,"0.0",,"0.0","0.0","0.0","0.0","0.0","1.0","2","8","8","1","2","1","8","1","1.0","3.0",,"3.0","2.0","2.0","2.0",,,"1.0","6.0","1.0","1.0","2.0","2.0",,,,,,"4.0","4.0","2.0","6.0","5.0","5.0","2.0","2.0","2.0","2.0","7.0","46","2.0","2.0","99.0",,"1","1.0","4.0","3.0","3.0","2.0","1.0","2.0","7.0","2.0","1","1","1","0","0","0","0","0","1","1","0","4.0","1.0","4.0","1.0","2.0",,"2.0","2","1.0","35","1501","150142"
"9","11","9","1103","301","15","1","42","4300","40.0","30104300","4300","1","1","1","2506","1","4.0","14.0","6.0","4.0",,"0","0.0",,"3","2.0","3.0","4","4.0","3.0","3.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0",,,,,"3.0","4.0","4.0","4.0","4.0","4.0","1.0","3.0","5.0","2.0","2.0","2.0","2.0","3.0","2.0","2.0","0.0","2.0",,"4.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","1.0","1","2.0","1.0","2.0","1.0","1.0","2.0","4.0","2.0","2.0","3.0","4.0","2.0","2.0","4.0",,"2.0","3.0","2.0","3.0","2.0","2.0","2.0","3.0","2.0","2.0","2.0","2.0","1.0","4.0","3.0","3.0","4.0","6.0","3.0","2.0","2.0","3.0","4.0","4.0","3.0","3.0","2.0","2.0","3.0","3.0","5.0","3.0","2.0","3.0","6.0","3.0","4.0","2.0","2.0","2.0","8.0","6.0","5.0","4.0","5.0","3.0","1.0","3.0","4.0","5.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","2.0","2.0","0","0.0","0.0","0.0","0.0","0.0",,"0.0","0.0","0.0",,"1","2","2","2","2","1","2","1","1.0","4.0",,"1.0","2.0","2.0","2.0",,,"1.0","4.0","3.0","1.0","2.0","1.0","4.0","2.0","3.0","2.0","2.0","3.0","3.0","2.0","2.0","2.0","5.0","2.0","2.0","2.0","2.0","11.0","19","2.0","7.0","99.0",,"1","2.0","3.0","1.0","0.0","2.0","2.0","1.0","7.0","1.0","1","1","1","1","0","0","0","0","1","1","0","9.0","1.0","2.0","5.0","1.0",,"3.0","1",,"32","1501","150142"
