"location","species","variety","type","rep","block","height","fresh_weight","leaf_area_cm2"
"1","Amaranth","1","0","1","1","2","25.1","394.91243"
"2","Amaranth","1","0","2","1","1","37.7","559.70316"
"3","Amaranth","7","1","3","1","2","16","254.73283"
"4","Nightshade","24","1","3","1","2","0.3","1.577"
"5","Amaranth","3","0","1","1","1","4.8","99.571"
"6","Amaranth","10","1","1","1","1","58.8","707.972"
"7","Nightshade","16","0","3","1","3","2.1","40.386"
"8","Amaranth","8","1","4","1","3","1.7","40.803"
"9","Amaranth","9","1","1","1","2",,
"10","Nightshade","13","0","3","1",,,
"11","Amaranth","2","0","2","1","2","25.9","368.233"
"12","Nightshade","16","0","4","1","2",,
"13","Nightshade","14","0","1","1",,,
"14","Amaranth","6","0","2","1",,,
"15","Nightshade","17","0","3","1","2","0.6","7.606"
"16","Amaranth","4","0","1","1","1","6.9","118.689"
"17","Nightshade","15","0","3","1","2","3","59.297"
"18","Nightshade","19","1","4","1",,,
"19","Amaranth","2","0","4","1","3","10.2","154.665"
"20","Amaranth","6","0","4","1",,,
"21","Amaranth","9","1","2","1","2","8.3","144.723"
"22","Nightshade","16","0","2","1",,,
"23","Nightshade","17","0","2","1","2","9.2","75.623"
"24","Amaranth","12","1","3","1","2","25.4","411.972"
"25","Amaranth","11","1","2","1",,,
"26","Nightshade","24","1","2","1","1","2.5","20.592"
"27","Amaranth","12","1","4","1","2","4.1","67.19"
"28","Nightshade","23","1","3","1","3","0.7","10.372"
"29","Nightshade","19","1","2","1","1","0.5","1.745"
"30","Nightshade","13","0","1","1","2","0.8","6.61"
"31","Amaranth","7","1","4","1",,,
"32","Amaranth","4","0","2","1","2","8.6","124.085"
"33","Amaranth","1","0","4","1","2","8.7","135.34"
"34","Nightshade","23","1","2","1","2","2.9","53.088"
"35","Nightshade","19","1","3","1","2","0.3","8.366"
"36","Nightshade","20","1","2","1","2","3.9","63.517"
"37","Amaranth","8","1","3","1","3","1.6","31.15"
"38","Amaranth","12","1","1","1","3","14.4","211.12"
"39","Nightshade","13","0","4","1",,,
"40","Amaranth","5","0","3","1","3","9.8","196.788"
"41","Amaranth","1","0","3","1","2","5.1","104.465"
"42","Nightshade","17","0","1","1","2","0.5","14.861"
"43","Nightshade","15","0","1","1",,,
"44","Nightshade","18","0","2","1","2","4.3","88.952"
"45","Amaranth","9","1","4","1","1","24.6","389.367"
"46","Nightshade","17","0","4","1","3","1.7","37.271"
"47","Amaranth","12","1","2","1","4","11.8","144.353"
"48","Nightshade","21","1","1","1","2","5.9","100.744"
"49","Nightshade","15","0","4","1",,,
"50","Nightshade","20","1","3","1","2","1","21.529"
"51","Nightshade","14","0","4","1",,"0.2","6.072"
"52","Amaranth","10","1","3","1","4","16.4","238.764"
"53","Amaranth","8","1","2","1","2",,
"54","Amaranth","9","1","3","1","4","7.4","112.954"
"55","Nightshade","23","1","4","1","2","6.3","113.25"
"56","Nightshade","13","0","2","1",,,
"57","Nightshade","24","1","1","1","3","6.6","137.696"
"58","Amaranth","8","1","1","1","2","9.1","142.48"
"59","Nightshade","22","1","4","1","3","8.5","161.787"
"60","Nightshade","24","1","4","1","2","37.7","562.009"
"61","Amaranth","2","0","3","1","3","70.9","772.727"
"62","Amaranth","6","0","1","1",,,
"63","Amaranth","6","0","3","1",,,
"64","Amaranth","5","0","1","1","2","13.8","250.162"
"65","Nightshade","18","0","1","1","1","0.8","19.612"
"66","Amaranth","7","1","2","1","1","9.1","175.459"
"67","Nightshade","19","1","1","1","1","8.5","144.219"
"68","Nightshade","22","1","1","1","2","14.8","230.408"
"69","Nightshade","21","1","3","1","2","7.7","133.894"
"70","Nightshade","20","1","4","1","1","1.8","44.33"
"71","Nightshade","21","1","4","1","1","2.5","51.021"
"72","Nightshade","23","1","1","1","2","6.3","115.21"
"73","Nightshade","18","0","3","1","1","0.5","21.457"
"74","Amaranth","4","0","4","1","2","1.6","35.986"
"75","Amaranth","10","1","2","1","4","22.2","376.798"
"76","Amaranth","10","1","4","1","3","8.8","153.342"
"77","Amaranth","3","0","4","1","2","2.3","55.822"
"78","Nightshade","14","0","3","1",,,
"79","Nightshade","22","1","3","1","2","3.3","77.627"
"80","Amaranth","3","0","3","1","1",,
"81","Amaranth","11","1","4","1","2","9.9","186.785"
"82","Nightshade","21","1","2","1","1","4.1","102.238"
"83","Nightshade","14","0","2","1",,,
"84","Amaranth","5","0","4","1","2",,
"85","Amaranth","7","1","1","1","1","5","99.947"
"86","Nightshade","22","1","2","1","2",,
"87","Amaranth","2","0","1","1","3","23.1","369.321"
"88","Nightshade","16","0","1","1","1","1.8","47.766"
"89","Amaranth","4","0","3","1","1","10.6","161.665"
"90","Nightshade","20","1","1","1","1",,
"91","Nightshade","15","0","2","1",,,
"92","Nightshade","18","0","4","1","1",,
"93","Amaranth","3","0","2","1","1",,
"94","Amaranth","11","1","3","1","1","42.7","609.821"
"95","Amaranth","11","1","1","1",,,
"96","Amaranth","5","0","2","1","1","14.6","258.075"
"97","Amaranth","7","1","1","2","2","36.8","567.894"
"98","Amaranth","10","1","1","2","5","40.5","576.71"
"99","Nightshade","14","0","4","2",,,
"100","Amaranth","5","0","3","2","1","19","351.704"
"101","Nightshade","19","1","4","2","1","4.4","88.586"
"102","Nightshade","16","0","1","2","1","1.2","30.313"
