"pais","mov1","td1","td2","td3","td4","td5","inf5a","colconf","colconfotr","q2d","q2m","q2y","q3ca","q5a","q5b","mil8","ocup4a","ocup1a","q10new","q10g","q10a","q14","q10d","q10e","fs2","fs8","q11","gen10","q12c","q12","q12b","etid","leng1","www1","gi0","gi1","gi4","gi7","r1","r3","r4","r4a","r5","r6","r7","r8","r12","r14","r15","r18","r16","r26","ocup1b1","ocup1b2","ocup1anc","depnac","munnac","areanac","colorr","sexi","colori","result","intid","ti","ti3","imp1a","imp1b","imp2","imp2a","edpadre","q12ed","q15a","q15b","annotations","q3c","wt","weight1500","odd","muni10"
"8","5","7","3","2","1","5","1","1","888888","28","12","1940","211","1","1","3","3","999999","3","999999","2","2","4","3","999999","999999","2","1","8","0","999999","2","801","5","1","1","1","120","1","1","0","1","0","0","0","0","1","0","0","999999","0","1","2","1","10","8","8001","1","9","1","6","70","38","13550000000.0","988.0","1","7","2","999999","0","999999","1","3","888888","2","1","0.9920635","1","999999"
"8","999999","7","1","1","1","7","1","1","888888","11","2","1994","403","4","3","3","1","4","7","2","2","2","3","1","0","0","3","999999","7","1","1","2","801","5","2","1","1","888888","1","1","0","1","0","0","0","0","1","1","0","999999","0","1","1","2","4","8","8001","1","6","1","6","70","38","13550000000.0","1311.0","1","7","1","999999","1","2","1","3","888888","4","1","0.9920635","0","999999"
"8","3","2","1","2","3","1","1","2","888888","5","4","1975","403","5","1","2","1","2","10","10","2","1","3","2","999999","999999","3","999999","7","5","4","2","801","4","1","1","1","200","1","1","0","1","0","1","0","0","1","1","0","999999","0","1","1","2","13","8","8001","1","8","1","6","70","38","13550000000.0","986.0","4","6","1","999999","2","2","1","1","888888","4","1","0.9920635","1","999999"
"8","999999","2","1","1","1","1","1","5","888888","15","3","1961","101","2","1","3","5","999999","9","999999","1","1","3","2","0","0","6","999999","6","4","0","7","801","5","1","1","1","888888","1","0","0","1","0","1","0","0","1","1","0","999999","0","1","4","2","4","8","8001","1","7","2","5","70","4","13550000000.0","55926.0","5","4","2","999999","4","999999","1","2","888888","1","1","0.9920635","0","999999"
"8","3","5","2","6","2","6","1","888888","888888","31","10","1976","101","2","1","3","5","999999","7","999999","2","2","2","2","999999","999999","3","999999","5","1","1","1","801","5","1","1","1","888888","1","1","0","1","0","1","0","0","0","0","0","999999","0","1","4","2","7","23","23001","1","4","2","5","70","4","13550000000.0","1730.0","4","2","2","999999","3","2","1","3","888888","1","1","0.9920635","1","999999"
"8","999999","1","1","6","1","4","1","6","888888","22","11","1985","101","5","2","3","5","999999","10","999999","2","2","2","1","0","0","2","1","1","0","999999","1","801","1","1","1","1","888888","1","1","1","1","0","1","1","1","1","1","1","1","1","1","2","1","15","8","8001","1","3","2","5","70","4","13550000000.0","1873.0","1","7","1","999999","4","999999","1","3","888888","1","1","0.9920635","0","999999"
"8","3","6","7","4","2","5","2","5","888888","10","6","1983","403","4","1","3","1","4","3","2","2","1","3","2","999999","999999","3","999999","5","3","3","1","801","5","1","888888","888888","888888","1","1","0","1","0","0","0","1","1","0","0","999999","0","1","3","1","7","70","70708","1","5","1","6","70","38","13550000000.0","1221.0","1","7","3","2","2","1","2","4","888888","4","1","0.9920635","1","999999"
"8","999999","5","3","4","2","4","1","6","888888","16","9","1989","403","3","3","2","4","999999","4","999999","2","1","3","3","0","0","3","999999","2","0","999999","3","801","5","3","888888","888888","888888","1","0","0","1","0","0","0","1","0","0","0","999999","0","1","4","1","14","70","70708","1","5","1","6","70","38","13550000000.0","1751.0","3","4","2","999999","1","999999","1","3","888888","4","1","0.9920635","0","999999"
"8","3","7","7","7","1","1","1","6","888888","10","5","1952","403","4","1","1","1","4","5","1","2","2","2","2","999999","999999","1","999999","988888","0","999999","1","801","5","2","888888","888888","888888","1","1","0","1","0","1","0","0","1","0","0","999999","0","1","3","1","10","54","54245","1","3","1","6","70","38","13550000000.0","1123.0","1","4","2","999999","0","999999","1","3","888888","4","1","0.9920635","1","999999"
"8","999999","2","5","6","2","6","1","6","888888","5","5","1984","509","2","1","3","1","4","4","4","2","1","3","3","1","1","3","999999","3","1","1","4","801","5","1","1","1","3","0","0","0","1","0","0","0","0","1","0","0","999999","0","0","3","2","7","8","8001","1","9","2","5","70","4","13550000000.0","1290.0","2","2","2","999999","888888","1","1","3","888888","5","1","0.9920635","0","999999"
