"gender","basline_province","exact_total_farm_area_in","coconut_growing","grows_cacao","hectares_under_coconut_farming","whole_nut_kilos_harvested"
"Female","Davao_del_Sur","3","Secondary crop","false","3","4400"
"Female","Davao_del_Sur","3","Main crop","false","3","1200"
"Female","Davao_del_Sur","1.3","Main crop","true","0.9","2000"
"Female","Davao_del_Sur","0.2","Main crop","true","0.2","200"
"Male","Davao_del_Sur","0.38","Main crop","false","0.38","2400"
"Male","Davao_del_Sur","3.7","Main crop","false","3.7","12600"
"Male","Davao_del_Sur","0.5","Main crop","false","0.5","3000"
"Female","Davao_del_Sur","0.8","Main crop","false","0.8","5200"
"Male","Davao_del_Sur","3.5","Main crop","false","3.5","6000"
"Female","Davao_del_Sur","3","Main crop","false","2","3600"
"Male","Davao_del_Sur","0.6","Main crop","false","0.6","800"
"Male","Davao_del_Sur","5","Main crop","false","5","5400"
"Male","Davao_del_Sur","0.03","Secondary crop","false","0.03","100"
"Male","Davao_del_Sur","0.5","Main crop","true","0.25","6000"
"Male","Davao_del_Sur","3","Main crop","false","3","900"
"Female","Davao_del_Sur","0.5","Main crop","true","0.5","1500"
"Female","Davao_Oriental","1.3","Main crop","true","1.3","268"
"Female","Davao_Oriental","1.5","Main crop","false","1","360"
"Female","Davao_Oriental","10","Main crop","false","5","928"
"Male","Davao_Oriental","2.04","Main crop","true","2.04","200"
"Female","Davao_Oriental","4","Main crop","true","0.5","1086"
"Female","Davao_Oriental","1.7","Secondary crop","false","0.25","30"
"Male","Davao_Oriental","5","Main crop","true","2","520"
"Male","Davao_Oriental","2","Main crop","true","2","4800"
"Female","Davao_Oriental","0.5","Main crop","false","0.4","268"
"Male","Davao_Oriental","3","Main crop","false","1","620"
"Female","Davao_Oriental","3.5","Do not grow","true","0","0"
"Male","Davao_Oriental","3","Main crop","true","2","800"
"Male","Davao_Oriental","2","Main crop","true","1","300"
"Male","Davao_Oriental","3","Main crop","true","3","1575"
"Female","Davao_Oriental","8","Main crop","true","1","120"
"Male","Davao_Oriental","4","Main crop","true","2","780"
"Male","Davao_Oriental","2.7","Main crop","true","0.5","360"
"Male","Davao_Oriental","1.2","Main crop","false","1","137"
"Female","Davao_Oriental","1.8","Main crop","true","1.8","2400"
"Female","Davao_Oriental","3.3","Secondary crop","true","0.75","1831"
"Male","Davao_Oriental","2.1","Main crop","false","2.1","20000"
"Female","Davao_Oriental","0.7","Main crop","true","0.7","2400"
"Male","Davao_Oriental","3.5","Main crop","true","3.3","13200"
"Female","Davao_Oriental","3","Main crop","false","3","4000"
"Female","Davao_Oriental","2.5","Main crop","false","1","1200"
"Male","Davao_Oriental","1.5","Main crop","true","1.5","6000"
"Female","Davao_Oriental","1.75","Main crop","true","1.5","4200"
"Female","Davao_Oriental","2.5","Main crop","false","1.5","13000"
"Male","Davao_del_Norte","0.4","Main crop","true","0.4","2800"
"Male","Davao_del_Norte","1.3","Main crop","false","0.2","4000"
"Male","Davao_del_Norte","0.5","Secondary crop","false","0.5","1800"
"Female","Davao_del_Norte","1","Secondary crop","false","0.9","15000"
"Male","Davao_Oriental","1.5","Main crop","false","1","4800"
"Female","Davao_Oriental","2","Secondary crop","false","1.3","4000"
"Female","Davao_del_Norte","1","Secondary crop","true","0.4","4800"
"Male","Davao_del_Norte","0.2","Main crop","true","0.2","600"
"Female","Davao_Oriental","1.5","Secondary crop","false","1.5","2400"
"Male","Davao_Oriental","3","Secondary crop","false","3","2400"
"Male","Davao_Oriental","1.5","Secondary crop","false","1.5","2800"
"Male","Davao_Oriental","6","Main crop","false","5","12000"
