"location","variety","rep","block","height"
"261","6","3","3","1"
"262","18","4","3","2"
"263","10","4","3","7"
"264","21","1","3","3"
"265","17","4","3",
"266","12","4","3","8"
"267","23","3","3","3"
"268","7","2","3","3"
"269","4","1","3","5"
"270","2","3","3","4"
"271","10","1","3","6"
"272","4","4","3","3"
"273","13","1","3",
"274","22","1","3","2"
"275","5","1","3","6"
"276","18","2","3","2"
"277","24","4","3","2"
"278","22","3","3","2"
"279","19","2","3","4"
"280","10","3","3","7"
"281","3","3","3","2"
"282","19","4","3","3"
"283","24","2","3","1"
"284","7","1","3","3"
"285","2","1","3","7"
"286","14","2","3","2"
"287","11","3","3",
"288","5","4","3","3"
