"provname","districname","pbs_id","d01","d02","d03","d04","d05","d06","d09","d07","d10","d08","d11","modd_missing","f01","f03","f05","f02","f04","f06","modf_missing","a02","a05","a06","country","urbrur","a09","a21","hhwght","hh_size","zia_location_cd","zia_visit2_yn","zia_visit2_dt","zia_supervisor_cd","zi_start_dt","hungerscale","hhhunger","poverty","poverty_gap","pcc","pcc_usd","hhexp","hhexp_usd","pcc_weight"
"Manica","CIDADE DE CHIMOIO","1","3.0","1.0","1.0","3.0","6.0","3.0",,"2.0",,"5.0",,"0","2.0","2.0","2.0",,,,"0","62","601","6","Mozambique","1","1","1","120.70442479999998","8",,"2",,"6.0","26FEB2013:01:13:04","0.0","0.0","0.0","0.0","37.13","1.89","297.02","15.14","1727.895168"
"Manica","CIDADE DE CHIMOIO","2","3.0","2.0","2.0","3.0","3.0","3.0",,"2.0",,"5.0",,"0","2.0","2.0","2.0",,,,"0","62","601","6","Mozambique","1","1","1","120.70442479999998","2",,"2",,"6.0","25FEB2013:03:11:59","0.0","0.0","0.0","0.0","47.35","2.41","94.7","4.83","431.9737919"
"Manica","CIDADE DE CHIMOIO","3","5.0","1.0","1.0","3.0","6.0","3.0",,"2.0",,"5.0",,"0","1.0","2.0","2.0","1.0",,,"0","62","601","6","Mozambique","1","1","1","120.70442479999998","7",,"2",,"6.0","25FEB2013:06:35:48","1.0","0.0","1.0","6.98","25.48","1.3","178.33","9.09","1511.9082720000001"
"Manica","CIDADE DE CHIMOIO","4","5.0","1.0","1.0","2.0","6.0","3.0",,"2.0",,"5.0",,"0","2.0","2.0","2.0",,,,"0","62","601","6","Mozambique","1","1","1","120.70442479999998","6",,"2",,"6.0","25FEB2013:03:56:37","0.0","0.0","1.0","15.08","23.26","1.19","139.55","7.11","1295.921376"
"Manica","CIDADE DE CHIMOIO","5","5.0","1.0","1.0","2.0","6.0","3.0",,"2.0",,"5.0",,"0","2.0","2.0","2.0",,,,"0","62","601","6","Mozambique","1","1","1","120.70442479999998","7",,"2",,"6.0","25FEB2013:04:49:42","0.0","0.0","1.0","27.67","19.81","1.01","138.67","7.07","1511.9082720000001"
"Manica","CIDADE DE CHIMOIO","6","5.0","1.0","1.0","1.0","6.0","3.0",,"2.0",,"5.0",,"0","2.0","2.0","2.0",,,,"0","62","601","6","Mozambique","1","3","1","120.70442479999998","1",,"2",,"6.0","27FEB2013:01:55:54","0.0","0.0","0.0","0.0","29.02","1.48","29.02","1.48","215.986896"
"Manica","CIDADE DE CHIMOIO","7","5.0","1.0","1.0","3.0","6.0","3.0",,"2.0",,"5.0",,"0","1.0","1.0","1.0","1.0","2.0","2.0","0","62","601","6","Mozambique","1","1","1","120.70442479999998","9",,"2",,"6.0","26FEB2013:02:17:09","3.0","1.0","1.0","54.37","12.5","0.64","112.46","5.73","1943.8820640000001"
"Manica","CIDADE DE CHIMOIO","8","5.0","1.0","1.0","3.0","4.0","3.0",,"2.0",,"5.0",,"0","1.0","1.0","2.0","1.0","1.0",,"0","62","601","6","Mozambique","1","1","1","120.70442479999998","7",,"2",,"6.0","25FEB2013:05:44:22","2.0","1.0","1.0","40.02","16.43","0.84","114.99","5.86","1511.9082720000001"
"Manica","CIDADE DE CHIMOIO","9","5.0","1.0","6.0","1.0","6.0","3.0",,"2.0",,"5.0",,"0","2.0","2.0","2.0",,,,"0","62","601","6","Mozambique","1","1","1","120.70442479999998","2",,"2",,"6.0","25FEB2013:03:17:56","0.0","0.0","1.0","14.2","23.5","1.2","47.0","2.4","431.9737919"
"Manica","CIDADE DE CHIMOIO","10","5.0","1.0","1.0","3.0","6.0","11.0",,"2.0",,"5.0",,"0","2.0","2.0","2.0",,,,"0","62","601","6","Mozambique","1","1","1","120.70442479999998","5",,"2",,"6.0","25FEB2013:04:11:21","0.0","0.0","1.0","45.22","15.0","0.76","75.02","3.82","1079.9344800000001"
