"region","province","district","distid","yq","year","quarter","total_spend","total_spend_ag","total_spend_dem_gov","total_spend_dev","total_spend_dir","total_spend_eco","total_spend_edu","total_spend_food","total_spend_gender","total_spend_hea","total_spend_hum","total_spend_inf","total_spend_pro","total_spend_stab","total_spend_stab2"
"capital","Kabul","Kabul","101","2010q1","2010","1.0","94877576","179186.78","4170115.8","0.0","21754.132999999998","1026752.8","319672.0","0.0","0.0","503276.25","0.0","7241510.0","0.0","603768.38","21423600"
"capital","Kabul","Kabul","101","2010q2","2010","2.0","68299720","131024.0","3574209.8","116.53939","5233.3877","1109076.4","403786.28","0.0","0.0","558555.06","0.0","4996612.0","5318.1816","122184.05","15832276"
"capital","Kabul","Kabul","101","2010q3","2010","3.0","69559664","352608.0","4826590.0","90.406059","2578.7454","1289442.0","438978.0","0.0","0.0","841477.44","0.0","3606561.8","2394.6909","77132.656","25986488"
"capital","Kabul","Kabul","101","2010q4","2010","4.0","64331700","617441.81","5419565.0","0.0","4162.8667","1211733.5","647536.56","0.0","0.0","651954.75","0.0","2175622.0","6113.9272","31870.933999999997","28212512"
"capital","Kabul","Kabul","101","2011q1","2011","1.0","121177360","998470.56","9824199.0","6.781818400000001","4360.7031","1978344.6","416707.09","0.0","0.0","475497.31","0.0","7248196.0","2181.8181","218619.3","42430104"
"capital","Kabul","Kabul","101","2011q2","2011","2.0","91490704","659616.75","8484581.0","0.0","1618.1394","1585705.3","166771.64","0.0","0.0","598528.88","0.0","4197565.5","0.0","331664.63","40736504"
"capital","Kabul","Kabul","101","2011q3","2011","3.0","93264192","964766.94","6828077.5","445.67273","0.0","1963657.3","290089.63","0.0","0.0","646561.44","0.0","4072991.0","0.0","380020.13","39933132"
"capital","Kabul","Kabul","101","2011q4","2011","4.0","87180176","1016215.3","7352272.5","0.0","0.0","1459327.0","436288.09","0.0","0.0","576959.5","0.0","3301823.8","0.0","382255.47","34732404"
"capital","Kabul","Kabul","101","2012q1","2012","1.0","82797096","654015.25","6612472.0","0.0","0.0","2152051.0","494986.72","0.0","0.0","572758.25","0.0","3327282.0","0.0","101393.21","36747556"
"capital","Kabul","Kabul","101","2012q2","2012","2.0","59407996","429667.03","4714912.5","0.0","0.0","1648708.1","518202.28","0.0","0.0","638199.25","0.0","1868984.5","0.0","7078.2544","24966136"
"capital","Kabul","Kabul","101","2012q3","2012","3.0","52271948","489024.72","4058473.8","0.0","341.38181000000003","1734048.4","421355.19","0.0","0.0","486822.63","0.0","1101336.4","36434.363","15145.163999999999","21010348"
