"month","knew_that_el_pueblo_offers_free_tours","local_residents","out_of_state_visitors","international_visitors","visited_a_restaurant","purchased_an_item_on_olvera_st","visited_a_museum","came_for_a_specific_event_exhibit","arrived_on_bus_charter_tour","arrived_by_public_transit","enjoyed_the_visit","would_recommend_el_pueblo_to_a_friend"
"2014-01-01T00:00:00.000","50.0","59.00","17.00","15.00","62.00","62.00","77.00","10.0","11.00","31.00","97.00","97.00"
"2014-02-01T00:00:00.000","35.00","49.00","26.00","8.00","65.00","67.00","78.00","13.00","21.00","35.00","94.00","96.00"
"2014-03-01T00:00:00.000","25.00","58.00","26.00","19.00","77.00","54.00","70.0","14.00","15.00","30.0","95.00","96.00"
"2014-04-01T00:00:00.000","29.00","47.00","17.00","21.00","69.00","56.00","76.00","27.00","21.00","28.00","93.00","83.00"
"2014-05-01T00:00:00.000","22.00","49.00","17.00","7.00","51.00","55.00","85.00","17.00","19.00","32.00","97.00","96.00"
"2014-06-01T00:00:00.000","21.00","61.00","13.00","7.00","55.00","65.00","87.00","9.00","13.00","35.00","97.00","99.00"
"2014-07-01T00:00:00.000","22.00","41.00","28.00","6.00","48.00","72.00","90.0","9.00","9.00","27.00","95.00","93.00"
"2014-08-01T00:00:00.000","15.00","49.00","17.00","15.00","36.00","49.00","73.00","1.00","16.00","24.00","93.00","100"
"2014-10-02T00:00:00.000","27.00","56.00","12.00","14.00","50.0","44.00","87.00","45.00","14.00","34.00","100","100"
"2014-11-01T00:00:00.000","22.00","66.00","16.00","12.00","52.00","53.00","83.00","27.00","18.00","41.00","100","100"
"2014-12-01T00:00:00.000","27.00","61.00","17.00","12.00","52.00","55.00","93.00","29.00","17.00","33.00","98.00","100"
"2015-01-01T00:00:00.000","20.0","56.00","22.00","12.00","52.00","47.00","91.00","13.00","10.0","41.00","100","99.00"
"2015-02-01T00:00:00.000","21.00","61.00","20.0","10.0","50.0","50.0","100","17.00","16.00","41.00","99.00","99.00"
"2015-03-01T00:00:00.000","20.0","71.00","14.00","8.00","53.00","45.00","95.00","17.00","19.00","34.00","100","100"
"2015-04-01T00:00:00.000","18.00","45.00","30.0","19.00","51.00","56.00","83.00","15.00","9.00","46.00","100","100"
"2014-09-01T00:00:00.000","24.00","71.00","16.00","10.0","63.00","64.00","82.00","22.00","20.0","29.00","100","99.00"
"2015-05-01T00:00:00.000","21.00","53.00","20.0","10.0","53.00","59.00","87.00","17.00","10.0","43.00","100","100"
"2015-06-01T00:00:00.000","24.00","54.00","18.00","13.00","46.00","47.00","94.00","17.00","10.0","48.00","99.00","100"
"2015-07-01T00:00:00.000","27.00","53.00","20.0","13.00","55.00","49.00","90.0","48.00","6.00","47.00","100","100"
"2015-08-01T00:00:00.000","20.0","55.00","33.00","22.00","61.00","59.00","95.00","38.00","9.00","55.00","100","100"
"2015-09-01T00:00:00.000","18.00","47.00","38.00","28.00","65.00","69.00","90.0","17.00","12.00","36.00","100","100"
"2015-11-01T00:00:00.000","21.00","62.00","21.00","9.00","81.00","72.00","95.00","45.00","21.00","42.00","100","100"
"2015-12-01T00:00:00.000","20.0","70.0","26.00","10.0","88.00","80.0","97.00","54.00","7.00","51.00","100","100"
"2015-10-01T00:00:00.000","29.00","51.00","20.0","11.00","77.00","76.00","87.00","40.0","10.0","46.00","100","100"
"2016-01-01T00:00:00.000","29.00","55.00","16.00","16.00","58.00","65.00","94.00","34.00","13.00","48.00","100","100"
"2016-03-01T00:00:00.000","29.00","53.00","17.00","8.00","55.00","68.00","93.00","17.00","20.0","42.00","100","100"
"2016-02-01T00:00:00.000","35.00","64.00","17.00","2.00","59.00","57.00","91.00","55.00","14.00","34.00","98.00","98.00"
"2016-04-01T00:00:00.000","23.00","50.0","22.00","14.00","47.00","48.00","89.00","52.00","23.00","38.00","100","100"
"2016-05-01T00:00:00.000","31.00","65.00","13.00","4.00","65.00","75.00","94.00","93.00","16.00","39.00","100","100"
"2016-06-01T00:00:00.000","31.00","67.00","16.00","7.00","66.00","81.00","91.00","38.00","13.00","50.0","100","100"
"2016-07-01T00:00:00.000","30.0","59.00","34.00","20.0","63.00","71.00","96.00","38.00","14.00","38.00","100","100"
"2016-08-01T00:00:00.000","22.00","53.00","30.0","26.00","62.00","59.00","94.00","56.00","7.00","45.00","100","99.00"
"2016-09-01T00:00:00.000","28.00","65.00","22.00","6.00","62.00","68.00","94.00","55.00","9.00","38.00","100","100"
"2016-10-01T00:00:00.000","29.00","70.0","11.00","4.00","65.00","54.00","97.00","81.00","16.00","37.00","100","100"
"2016-11-01T00:00:00.000","28.00","64.00","13.00","10.0","63.00","67.00","97.00","69.00","13.00","42.00","100","100"
"2016-12-01T00:00:00.000","30.0","61.00","19.00","10.0","53.00","56.00","95.00","48.00","10.0","45.00","100","100"
"2017-01-01T00:00:00.000","28.00","63.00","28.00","20.0","44.00","60.0","100","50.0","11.00","48.00","100","100"
"2017-02-01T00:00:00.000","22.00","63.00","20.0","11.00","64.00","66.00","96.00","63.00","14.00","44.00","99.00","100"
"2017-03-01T00:00:00.000","35.00","67.00","11.00","5.00","65.00","59.00","96.00","70.0","16.00","36.00","100","100"
"2017-04-01T00:00:00.000","30.0","58.00","9.00","6.00","68.00","73.00","94.00","59.00","16.00","39.00","100","100"
"2017-05-01T00:00:00.000","21.00","48.00","19.00","7.00","75.00","70.0","98.00","62.00","17.00","43.00","100","100"
"2017-06-01T00:00:00.000","25.00","63.00","9.00","3.00","67.00","70.0","93.00","71.00","13.00","10.0","99.00","100"
"2017-07-01T00:00:00.000","29.00","51.00","18.00","11.00","70.0","65.00","86.00","53.00","10.0","43.00","100","100"
"2017-08-01T00:00:00.000","28.00","61.00","26.00","12.00","66.00","66.00","97.00","44.00","11.00","36.00","98.00","100"
"2017-09-01T00:00:00.000","30.0","76.00","11.00","9.00","65.00","59.00","99.00","77.00","7.00","49.00","99.00","99.00"
"2017-10-01T00:00:00.000","22.00","66.00","14.00","11.00","69.00","71.00","97.00","68.00","5.00","40.0","98.00","100"
"2017-11-01T00:00:00.000","27.00","70.0","18.00","6.00","69.00","83.00","100","85.00","19.00","41.00","99.00","100"
"2017-12-01T00:00:00.000","33.00","59.00","15.00","3.00","62.00","65.00","90.0","63.00","25.00","40.0","100","100"
"2018-01-01T00:00:00.000","24.00","68.00","20.0","13.00","81.00","69.00","99.00","40.0","5.00","36.00","100","99.00"
"2018-02-01T00:00:00.000","26.00","65.00","15.00","6.00","79.00","76.00","99.00","57.00","21.00","40.0","99.00","97.00"
"2018-03-01T00:00:00.000","29.00","63.00","25.00","9.00","81.00","74.00","98.00","55.00","11.00","30.0","100","100"
"2018-04-01T00:00:00.000","31.00","62.00","20.0","15.00","79.00","82.00","98.00","48.00","17.00","45.00","100","99.00"
"2018-05-01T00:00:00.000","33.00","54.00","9.00","9.00","70.0","72.00","100","73.00","18.00","46.00","100","100"
"2018-06-01T00:00:00.000","30.0","60.0","29.00","14.00","78.00","84.00","95.00","52.00","14.00","40.0","100","100"
"2018-07-01T00:00:00.000","23.00","60.0","25.00","15.00","73.00","79.00","96.00","55.00","8.00","40.0","100","100"
"2018-08-01T00:00:00.000","30.0","63.00","23.00","14.00","74.00","71.00","99.00","64.00","10.0","47.00","99.00","99.00"
"2018-09-01T00:00:00.000","30.0","52.00","31.00","17.00","66.00","76.00","96.00","50.0","10.0","48.00","99.00","99.00"
"2018-10-01T00:00:00.000","31.00","65.00","15.00","7.00","78.00","84.00","100","68.00","10.0","46.00","99.00","99.00"
"2018-11-01T00:00:00.000","22.00","52.00","12.00","5.00","81.00","84.00","90.0","58.00","12.00","33.00","99.00","99.00"
"2018-12-01T00:00:00.000","27.00","54.00","19.00","5.00","85.00","77.00","100","61.00","11.00","35.00","100","100"
"2019-01-01T00:00:00.000","29.00","53.00","31.00","16.00","67.00","78.00","98.00","43.00","8.00","45.00","100","99.00"
"2019-02-01T00:00:00.000","28.00","51.00","25.00","15.00","74.00","73.00","99.00","64.00","6.00","51.00","97.00","100"
