"key_value","lotdescription","parkingid","parkingname","totalparkingspaces","occupied","freespaces","fullcapacity","color","dataexportdatetime","long","lat"
"c1000","P1 Occupancy","P1","P-1","1027","471","556","46","Green","2022-09-02T08:55:01.000","-118.400495","33.944751"
"c1001","P1P Occupancy","P1P","P1 Premium","148","110","38","74","Yellow","2022-09-02T08:55:01.000","-118.400495","33.944751"
"c2000","Lot 2A Occupancy","P2A","P-2A","369","325","44","88","Orange","2022-09-02T08:57:00.000","-118.404111","33.944751"
"c2001","LOT 2B Occupancy Input","P2B","P-2B","435","435","0","100","Red","2022-09-02T08:55:01.000","-118.405227","33.944422"
"c3000","LOT 3 Occupancy Input","P3","P-3","964","837","127","87","Orange","2022-09-02T08:55:02.000","-118.407223","33.944306"
"c4000","LOT 4 Occupancy Input","P4","P-4","950","797","153","84","Orange","2022-09-02T08:55:02.000","-118.406998","33.943104"
"c5000","Lot 5 Occupancy","P5","P-5","400","345","55","86","Orange","2022-09-02T08:57:00.000","-118.405185","33.943273"
"c6000","Lot 6 Occupancy","P6","P-6","899","809","90","90","Orange","2022-09-02T08:57:00.000","-118.403672","33.943255"
"c7000","Lot 7 Occupancy Input","P7","P-7","1232","988","244","80","Yellow","2022-09-02T08:55:02.000","-118.399853","33.943851"
"c9002","Lot Eco Occupancy","PECO","LAX Economy Parking","4232","3750","482","89","Orange","2022-09-02T08:55:00.000","-118.389957","33.950419"
