SRNumber,CreatedDate,UpdatedDate,ActionTaken,Owner,RequestType,Status,RequestSource,CreatedByUserOrganization,MobileOS,Anonymous,AssignTo,ServiceDate,ClosedDate,AddressVerified,ApproximateAddress,Address,HouseNumber,Direction,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,TBMColumn,TBMRow,APC,CD,CDMember,NC,NCName,PolicePrecinct,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
1-1523593321,12/31/2019 11:58:00 PM,01/15/2020 10:51:00 AM,SR Created,BSL,Single Streetlight Issue,Closed,Self Service,Self Service,,N,CENTRAL,,01/15/2020 10:51:00 AM,Y,Y,"401 S CITRUS AVE, 90036",401,S,CITRUS,AVE,90036,34.06678948,-118.3397347,"(34.06678948, -118.3397347)",633,E,2,Central APC,4,David Ryu,119,GREATER WILSHIRE NC,WILSHIRE,23667,577,1347,,7,86
1-1523594231,12/31/2019 11:54:00 PM,01/06/2020 08:45:00 PM,SR Created,BOS,Bulky Items,Closed,Mobile App,Self Service,Android,Y,SLA,01/06/2020 12:00:00 AM,01/06/2020 10:46:00 AM,Y,,"738 W 27TH ST, 90007",738,W,27TH,ST,90007,34.0284793508,-118.280124183,"(34.0284793508, -118.280124183)",634,B,7,South Los Angeles APC,9,Curren D. Price Jr.,77,EMPOWERMENT CONGRESS NORTH AREA NDC,SOUTHWEST,22724,701,967,7,13,32
1-1523585166,12/31/2019 11:30:00 PM,01/03/2020 11:36:00 AM,SR Created,ITA,Other,Closed,Mobile App,Self Service,iOS,N,,,01/03/2020 11:36:00 AM,Y,N,"1307 N ORANGE DR, 90028",1307,N,ORANGE,DR,90028,34.0946646291,-118.341728232,"(34.0946646291, -118.341728232)",593,D,5,Central APC,4,David Ryu,32,CENTRAL HOLLYWOOD NC,HOLLYWOOD,23446,414,974,,7,34
1-1523589121,12/31/2019 11:26:00 PM,01/03/2020 04:09:00 PM,SR Created,OCB,Graffiti Removal,Closed,Self Service,Self Service,,Y,CCAC,01/03/2020 04:08:00 PM,01/03/2020 04:09:00 PM,Y,N,"500 S BURLINGTON AVE, 90057",500,S,BURLINGTON,AVE,90057,34.05856646,-118.2705508,"(34.0585664552, -118.270550799)",634,C,3,Central APC,1,Gilbert Cedillo,97,WESTLAKE NORTH NC,RAMPART,24352,563,836,,11,67
1-1523590871,12/31/2019 11:26:00 PM,01/14/2020 07:52:00 AM,SR Created,BOS,Homeless Encampment,Closed,Mobile App,Self Service,iOS,N,WV,01/14/2020 12:00:00 AM,01/14/2020 07:51:00 AM,Y,,"CANOGA AVE AT VANOWEN ST, 91303",,,,,91303,34.1937512753,-118.597510305,"(34.1937512753, -118.597510305)",530,B,6,South Valley APC,3,Bob Blumenfield,13,CANOGA PARK NC,TOPANGA,4278,299,434,2,4,49
1-1523590842,12/31/2019 11:25:00 PM,01/22/2020 10:23:00 AM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Self Service,Android,Y,GAPBH,01/17/2020 12:00:00 AM,01/22/2020 10:23:00 AM,Y,N,"1355 S MAPLE AVE, 90015",1355,S,MAPLE,AVE,90015,34.03320173,-118.2581796,"(34.0332017347, -118.258179605)",634,E,6,Central APC,14,Jose Huizar,52,DOWNTOWN LOS ANGELES,NEWTON,23076,703,1018,,9,76
1-1523589088,12/31/2019 11:19:00 PM,01/02/2020 03:17:00 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Self Service,iOS,N,LACC,01/02/2020 03:17:00 PM,01/02/2020 03:17:00 PM,Y,N,"5189 W ADAMS BLVD, 90016",5189,W,ADAMS,BLVD,90016,34.03265297,-118.3549313,"(34.0326529693, -118.354931273)",633,C,7,South Los Angeles APC,10,Herb J. Wesson Jr.,75,WEST ADAMS NC,SOUTHWEST,23077,665,1361,,12,17
1-1523589926,12/31/2019 11:14:00 PM,01/04/2020 01:07:00 PM,SR Created,BOS,Bulky Items,Closed,Mobile App,Self Service,iOS,N,WV,01/04/2020 12:00:00 AM,01/04/2020 01:07:00 PM,Y,,"7240 N VASSAR AVE, 91303",7240,N,VASSAR,AVE,91303,34.2021420874,-118.604274182,"(34.2021420874, -118.604274182)",530,A,5,South Valley APC,3,Bob Blumenfield,13,CANOGA PARK NC,TOPANGA,4278,288,1465,,4,37
1-1523589071,12/31/2019 11:13:00 PM,01/02/2020 03:21:00 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Self Service,iOS,N,LACC,01/02/2020 03:20:00 PM,01/02/2020 03:21:00 PM,Y,N,"2765 S DU RAY PL, 90016",2765,S,DU RAY,PL,90016,34.029582,-118.3603114,"(34.0295819966, -118.360311363)",633,B,7,South Los Angeles APC,10,Herb J. Wesson Jr.,75,WEST ADAMS NC,SOUTHWEST,23077,666,1118,,12,17
1-1523589897,12/31/2019 11:11:00 PM,01/22/2020 10:14:00 AM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Self Service,Android,Y,GAPBH,01/18/2020 10:13:00 AM,01/22/2020 10:14:00 AM,Y,N,"1624 S HOPE ST, 90015",1624,S,HOPE,ST,90015,34.03574799,-118.2679169,"(34.0357479904, -118.267916928)",634,D,6,Central APC,14,Jose Huizar,52,DOWNTOWN LOS ANGELES,CENTRAL,23076,693,1291,,9,76
