SRNumber,CreatedDate,RequestType,RequestSource,Address,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,APC,CD,CDMember,NC,NCName,PolicePrecinct,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
1-870704814,01/01/2018 12:00:00 AM,Bulky Items,Mobile App,"356 S BERENDO ST, 90020",BERENDO,ST,90020,34.0676390557,-118.294017712,"(34.0676390557, -118.294017712)",634,Central APC,10,Herb J. Wesson Jr.,55,WILSHIRE CENTER - KOREATOWN NC,OLYMPIC,23081,595,1294,,12,89
1-870694601,12/31/2017 11:56:00 PM,Bulky Items,Self Service,"6122 E MESA AVE, 90042",MESA,AVE,90042,34.11597568,-118.190274,"(34.1159756752, -118.190273984)",595,East Los Angeles APC,1,Gilbert Cedillo,41,HISTORIC HIGHLAND PARK NC,NORTHEAST,23673,371,582,,11,93
1-870693641,12/31/2017 11:53:00 PM,Bulky Items,Self Service,"6115 E MESA AVE, 90042",MESA,AVE,90042,34.11613625,-118.1905963,"(34.11613625, -118.190596311)",595,East Los Angeles APC,1,Gilbert Cedillo,41,HISTORIC HIGHLAND PARK NC,NORTHEAST,23673,371,582,,11,93
1-870703871,12/31/2017 11:51:00 PM,Bulky Items,Self Service,"6115 E MESA AVE, 90042",MESA,AVE,90042,34.11613625,-118.1905963,"(34.11613625, -118.190596311)",595,East Los Angeles APC,1,Gilbert Cedillo,41,HISTORIC HIGHLAND PARK NC,NORTHEAST,23673,371,582,,11,93
1-870699049,12/31/2017 11:50:00 PM,Bulky Items,Mobile App,"10739 N FLORALITA AVE, 91040",FLORALITA,AVE,91040,34.26457085,-118.3185919,"(34.2645708471, -118.318591887)",503,North Valley APC,7,Monica Rodriguez,10,SUNLAND-TUJUNGA NC,FOOTHILL,3221,13,531,,1,7
1-870693501,12/31/2017 11:46:00 PM,Bulky Items,Self Service,"6109 E MESA AVE, 90042",MESA,AVE,90042,34.11599557,-118.1908819,"(34.1159955663, -118.190881874)",595,East Los Angeles APC,1,Gilbert Cedillo,41,HISTORIC HIGHLAND PARK NC,NORTHEAST,23673,371,582,,11,93
1-870693311,12/31/2017 11:41:00 PM,Bulky Items,Self Service,"6429 N MONTGOMERY AVE, 91406",MONTGOMERY,AVE,91406,34.18754149,-118.4827214,"(34.1875414878, -118.482721429)",531,South Valley APC,6,Nury Martinez,19,LAKE BALBOA NC,WEST VALLEY,19734,225,298,,3,61
1-870693181,12/31/2017 11:14:00 PM,Bulky Items,Call,"11143 W VENICE BLVD, 90034",VENICE,BLVD,90034,34.01327643,-118.4170768,"(34.0132764326, -118.417076813)",672,West Los Angeles APC,5,Paul Koretz,115,PALMS NC,PACIFIC,23451,896,1239,9,6,74
1-870698801,12/31/2017 10:55:00 PM,Bulky Items,Self Service,"11621 N SWINTON AVE, 91344",SWINTON,AVE,91344,34.28143535,-118.4857765,"(34.2814353542, -118.485776529)",501,North Valley APC,12,Mitchell Englander,4,GRANADA HILLS NORTH NC,DEVONSHIRE,19329,55,1404,,2,78
1-870692381,12/31/2017 10:39:00 PM,Bulky Items,Self Service,"11699 W BROOKHAVEN AVE, 90064",BROOKHAVEN,AVE,90064,34.02600002,-118.4410293,"(34.0260000182, -118.44102929)",672,West Los Angeles APC,11,Mike Bonin,67,MAR VISTA CC,PACIFIC,24029,890,839,9,10,27
1-870692279,12/31/2017 10:38:00 PM,Bulky Items,Mobile App,"654 W REDONDO BEACH BLVD, 90247",REDONDO BEACH,BLVD,90247,33.89242786,-118.2870056,"(33.8924278631, -118.287005635)",734,Harbor APC,15,Joe Buscaino,90,HARBOR GATEWAY NORTH NC,SOUTHEAST,24684,941,901,7,15,53
1-870692171,12/31/2017 10:31:00 PM,Bulky Items,Self Service,"5212 E RANGE VIEW AVE, 90042",RANGE VIEW,AVE,90042,34.12306428,-118.2015401,"(34.123064283, -118.201540117)",595,East Los Angeles APC,14,Jose Huizar,41,HISTORIC HIGHLAND PARK NC,NORTHEAST,23673,365,439,,9,93
1-870686191,12/31/2017 09:45:00 PM,Bulky Items,Mobile App,"2530 N WORKMAN ST, 90031",WORKMAN,ST,90031,34.076242,-118.2143228,"(34.0762419995, -118.214322826)",595,East Los Angeles APC,1,Gilbert Cedillo,47,LINCOLN HEIGHTS NC,HOLLENBECK,23448,488,516,,11,1
1-870686904,12/31/2017 09:22:00 PM,Bulky Items,Mobile App,"921 S BONNIE BRAE ST, 90006",BONNIE BRAE,ST,90006,34.05178066,-118.277116,"(34.0517806569, -118.277115954)",634,Central APC,1,Gilbert Cedillo,121,WESTLAKE SOUTH NC,RAMPART,22723,573,628,,11,68
