"fiscal_year","fnp_retirement_plan","fnp_healthcare_plan","family_death_benefit_plan","fnp_total","retirement_uaal","healthcare_uaal","total_uaal","funded_ratio_retirement_plan","funded_ratio_healthcare_plan","funded_ratio_total","city_contributions_retirement","city_contributions_healthcare","city_contributions_total","actual_employer_retirement_plan_contribution_rate_combined","actual_employer_health_plan_contribution_rate_combined","member_contributions_retirement","member_contributions_healthcare","retirement_investment_net","healthcare_investment_net","net_investment_income_loss_total_lacers_plan","yr_return_gross","yr_return_net","yr3_return_gross","yr3_return_net","yr5_return_gross","yr5_return_net","yr10_return_gross_","yr10_return_net","yr15_return_gross","yr15_return_net","monthly_retirement_allowance_service_retiree","monthly_retirement_allowance_beneficiaries","monthly_retirement_allowance_disability","monthly_retirement_allowance_all","annual_retirement_benefits","monthly_average_health_subsidy_over_65","monthly_average_health_subsidy_under_65_retiree","monthly_average_health_subsidy_under_65_survivor","maximum_monthly_retiree_healthcare_subsidy_under_65_non_medicare","maximum_monthly_survivor_healthcare_subsidy_under_65_non_medicare","annual_healthcare_benefits","active_tier_1","active_tier_2","active_tier_3","active_members_all_tiers","inactive_tier_1","inactive_tier_2","inactive_tier_3","inactive_members_all_tiers","covered_payroll","actuarially_projected_annual_payroll","service_retirees","disability_retirees","beneficiaries","average_retirement_age","average_service_retiree_age","average_beneficiary_age"
"1990",,,,"2743610000","565404621","245146652","810551273","81.8","39.3","76.9","132191924","14200000","146391924","0.1206","0.0173","37084736","0",,,,"0.094",,"0.091",,"0.131",,,,,,"1281",,,"1126","140961000",,,,,,"14434000","23871",,,"23871",,,,,"815767554",,"7638","692","2439","60.99","70","70"
"1991","2835653631","171844023","16804346","3024302000","552296126","322747656","875043782","83.3","34.1","77","141212000","9867000","151293000","0.1146","0.0216","41790035","0",,,,"0.078",,"0.11",,"0.094",,"0.138",,,,"1382",,,"1182","152235000",,,,,,"17403000","23572",,,"23572","260",,,"260","833100000",,"7782","913","2283","61.17",,
"1992","3195875357","202800533","18021110","3416697000","511906957","304937076","816844033","88.8","40.5","82.9","138627000","26009000","164867000","0.116","0.0264","43196687","0",,,,"0.122",,"0.098",,"0.094",,"0.145",,,,"1451",,,"1236","162883000",,,,,,"20893000","23399",,,"23399","275",,,"275","915300000",,"7687","933","2558","61.3",,
"1993","3593660096","233615152","19545752","3846821000","398113954","275832038","673945992","94.5","47","89","138259000","32062000","170545000","0.1226","0.0346","42719604","0",,,,"0.131",,"0.11",,"0.117",,"0.124",,,,"1503",,,"1312","175012000",,,,,,"21387000","22777",,,"22777","287",,,"287","898100000",,"8212","738","2683","61.91","70.8","70.8"
"1994","3736468418","241279906","19231676","3996980000","188117516","238710302","426827818","97.9","51","92.7","143549000","29858000","173632000","0.1307","0.0326","42289767","0",,,,"0.025",,"0.092",,"0.089",,"0.132",,,,,,,"1376","187919000",,,,,,"22176000","22270",,,"22270","325",,,"325","884900000",,,,,,"71.1","71.1"
"1995","4195200306","279402025","21465669","4496068000","140708767","178219962","318928729","102.8","63.4","99","114130000","29065000","144562000","0.1128","0.0318","43570000","0",,,,"0.149",,"0.10",,"0.10",,"0.115",,,,,,,"1429","200025000",,,,,,"21829000","22538",,,"22538","357",,,"357","911300000",,,,,,"71.5","71.5"
"1996","4859597248","309452038","19625778","5188675064","7590852","259142412","266733264","108.6","56.9","103","120660000","28186000","149036489","0.1207","0.0299","47512414","0",,,,"0.167",,"0.112",,"0.118",,"0.106",,"0.131",,"1497",,,"1497","211906000",,,,,,"21185000","22319",,,"22319","342",,,"342","957400000",,,,,,"71.6","71.6"
"1997","5472479594","573520330","20204602","6066204526","83827800","73889152","157716952","112","99.4","110.7","88981922","24280474","113262396","0.0734","0.023","53274812","0","1459938389","273092726","1733031115","0.192",,"0.169",,"0.131",,"0.113",,"0.14",,"1580",,,"1580","227969520",,,,,,"20010324","22219",,,"22219",,,,,"990600000",,,,,,"71.5","71.5"
"1998","5961228255","619495729","19978400","6600702384","-50005186","-5196640","-55201826","112.2","112.2","112.2","85439025","31769553","117208578","0.0651","0.0318","58313955","0","547933833","91462169","639396002","0.105",,"0.154",,"0.126",,"0.121",,"0.125",,,,,"1717","249375043",,,,,,"21388457","22091",,,"22091",,,,,"1011857000",,,,,,"71.5","71.5"
"1999","6467012643","792578451","19472020","7279063114","-226362078","-110335620","-336697698","113.8","129.1","115.3","89863033","19499233","109362266","0.0657","0.0185","62564896","0","659888304","153030851","812919155","0.128",,"0.141",,"0.148",,"0.118",,"0.137",,,,,"1798","268298036",,,,,,"22326434","22504",,,"22504","715",,,"715","1068124000",,,,,,"71.5","71.5"
