"date_name","percentage_of_water_supply_purchased_from_mwd_3_yr_avg"
"1969-70","25.1"
"1970-71","9"
"1971-72","9.9"
"1972-73","5.7"
"1973-74","4.5"
"1974-75","5.7"
"1975-76","4.1"
"1976-77","18.9"
"1977-78","9.2"
"1978-79","3.2"
"1979-80","3.6"
"1980-81","7.3"
"1981-82","5.6"
"1982-83","4.1"
"1983-84","4.3"
"1984-85","7.2"
"1985-86","12"
"1986-87","17.8"
"1987-88","21.6"
"1988-89","33.2"
"1989-90","56.2"
"1990-91","65.1"
"1991-92","51.4"
"1992-93","49.5"
"1993-94","58.9"
"1994-95","34.2"
"1995-96","10.6"
"1996-97","11.7"
"1997-98","16.1"
"1998-99","10.8"
"1999-00","36"
"2000-01","50.7"
"2001-02","54.8"
"2002-03","55.3"
"2003-04","53.5"
"2004-05","40.7"
"2005-06","33.2"
"2006-07","43.8"
"2007-08","64.7"
"2008-09","70.9"
"2009-10","47.7"
"2010-11","31.3"
"2011-12","38.5"
"2012-13","68.6"
"2013-14","76.3"
"2014-15","70.7"
"2015-16","71.2"
