SRNumber,CreatedDate,UpdatedDate,Owner,RequestType,Status,RequestSource,MobileOS,Anonymous,AssignTo,ServiceDate,ClosedDate,AddressVerified,ApproximateAddress,Address,HouseNumber,Direction,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,TBMColumn,TBMRow,APC,CD,CDMember,NC,NCName,PolicePrecinct,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
1-870613041,12/31/2017 04:03:00 PM,01/03/2018 12:15:00 PM,BOS,Bulky Items,Closed,Self Service,,N,WLA,01/03/2018 12:00:00 AM,01/03/2018 12:15:00 PM,Y,N,"16464 W SUNSET BLVD, 90272",16464,W,SUNSET,BLVD,90272,34.0484289,-118.5412685,"(34.0484289016, -118.541268526)",630,H,5,West Los Angeles APC,11,Mike Bonin,,,WEST LOS ANGELES,25066,837,1392,,10,
1-870608561,12/31/2017 03:58:00 PM,01/03/2018 01:38:00 PM,BOS,Bulky Items,Closed,Self Service,,N,WLA,01/03/2018 12:00:00 AM,01/03/2018 01:38:00 PM,Y,N,"16431 W SUNSET BLVD, 90272",16431,W,SUNSET,BLVD,90272,34.049036,-118.5407303,"(34.0490359978, -118.540730305)",630,J,5,West Los Angeles APC,11,Mike Bonin,,,WEST LOS ANGELES,25066,836,1391,,10,
1-870283571,12/30/2017 03:40:00 PM,01/03/2018 09:36:00 AM,BOS,Metal/Household Appliances,Closed,Call,,N,WLA,01/03/2018 12:00:00 AM,01/03/2018 09:36:00 AM,Y,N,"800 N ALMA REAL DR, 90272",800,N,ALMA REAL,DR,90272,34.04283721,-118.5228974,"(34.0428372072, -118.522897362)",631,B,5,West Los Angeles APC,11,Mike Bonin,,,WEST LOS ANGELES,25066,838,1388,,10,
1-869710191,12/29/2017 05:01:00 PM,01/03/2018 12:15:00 PM,BOS,Bulky Items,Closed,Call,,N,WLA,01/03/2018 12:00:00 AM,01/03/2018 12:15:00 PM,Y,N,"16751 W EDGAR ST, 90272",16751,W,EDGAR,ST,90272,34.04652482,-118.5455256,"(34.0465248193, -118.54552555)",630,H,5,West Los Angeles APC,11,Mike Bonin,,,WEST LOS ANGELES,25066,836,1392,,10,
1-869286041,12/29/2017 12:28:00 PM,01/03/2018 11:49:00 AM,BOS,Bulky Items,Closed,Call,,N,WLA,01/03/2018 12:00:00 AM,01/03/2018 11:49:00 AM,Y,N,"1167 N EMBURY ST, 90272",1167,N,EMBURY,ST,90272,34.05069852,-118.5241105,"(34.0506985224, -118.524110532)",631,A,4,West Los Angeles APC,11,Mike Bonin,,,WEST LOS ANGELES,25066,834,784,,10,
1-869283951,12/29/2017 12:27:00 PM,01/03/2018 09:20:00 AM,BOS,Electronic Waste,Closed,Call,,N,WLA,01/03/2018 12:00:00 AM,01/03/2018 09:20:00 AM,Y,N,"1167 N EMBURY ST, 90272",1167,N,EMBURY,ST,90272,34.05069852,-118.5241105,"(34.0506985224, -118.524110532)",631,A,4,West Los Angeles APC,11,Mike Bonin,,,WEST LOS ANGELES,25066,834,784,,10,
1-869272761,12/29/2017 12:23:00 PM,01/03/2018 11:50:00 AM,BOS,Bulky Items,Closed,Call,,N,WLA,01/03/2018 12:00:00 AM,01/03/2018 11:50:00 AM,Y,N,"921 N KAGAWA ST, 90272",921,N,KAGAWA,ST,90272,34.04663069,-118.5180106,"(34.0466306916, -118.518010648)",631,B,5,West Los Angeles APC,11,Mike Bonin,,,WEST LOS ANGELES,25066,834,788,,10,
1-869067796,12/29/2017 10:55:00 AM,01/04/2018 11:49:00 AM,OCB,Graffiti Removal,Closed,Mobile App,iOS,N,PGS,01/04/2018 11:34:00 AM,01/04/2018 11:49:00 AM,Y,N,"867 N SWARTHMORE AVE, 90272",867,N,SWARTHMORE,AVE,90272,34.04663092,-118.5261831,"(34.04663092, -118.526183108)",631,A,5,West Los Angeles APC,11,Mike Bonin,,,WEST LOS ANGELES,25066,838,1386,35,10,
1-868902541,12/29/2017 09:55:00 AM,01/03/2018 12:15:00 PM,BOS,Bulky Items,Closed,Self Service,,N,WLA,01/03/2018 12:00:00 AM,01/03/2018 12:15:00 PM,Y,N,"533 N MUSKINGUM PL, 90272",533,N,MUSKINGUM,PL,90272,34.0428877,-118.5381325,"(34.0428876993, -118.538132543)",630,J,5,West Los Angeles APC,11,Mike Bonin,,,WEST LOS ANGELES,25066,837,787,,10,
1-868354061,12/28/2017 05:02:00 PM,01/03/2018 10:57:00 AM,BOS,Electronic Waste,Closed,Call,,N,WLA,01/03/2018 12:00:00 AM,01/03/2018 10:57:00 AM,Y,N,"648 N JACON WAY, 90272",648,N,JACON,WAY,90272,34.04807892,-118.5474339,"(34.0480789234, -118.547433898)",630,H,5,West Los Angeles APC,11,Mike Bonin,,,WEST LOS ANGELES,25066,836,1390,,10,
