"month","total"
"May-04","130"
"May-05","88"
"May-06","94"
"May-07","96"
"May-08","90"
"May-09","75"
"May-10","53"
"May-11","62"
"May-12","64"
"May-13","79"
"May-14","85"
"May-15","75"
"May-16","83"
"May-17","85"
