"month","mainline_ft_replaced"
"March-13","8615"
"April-13","12629"
"May-13","9527"
"June-13","7770"
"July-13","11399"
"August-13","8168"
"September-13","10837"
"October-13","9590"
"November-13","6059"
"December-13","6210"
"January-14","8615"
"February-14","10244"
"April-16","16620"
"May-16","22721"
"December-14","7275"
"November-15","11276"
"June-16","8579"
"July-16","19546"
"August-16","19529"
"July-14","11237"
"February-15","11840"
"September-16","17991"
"October-16","13730"
"November-16","13941"
"August-14","9200"
"August-15","14425"
"December-16","10277"
"March-14","15123"
"April-14","15000"
"May-14","10896"
"June-14","6670"
"September-14","10527"
"October-14","11809"
"November-14","11237"
"January-15","9466"
"July-15","12950"
"September-15","15891"
"March-15","10533"
"April-15","6307"
"May-15","6959"
"June-15","5279"
"October-15","14584"
"December-15","12575"
"January-16","9212"
"February-16","14585"
"March-16","16618"
"January-17","9912"
"February-17","11534"
"Apr-17","13495"
"May-17","23845"
"Jun-17","15300"
"Mar-17","22379"
"Jul-17","19592"
"August-17","5914"
"September-17","17178"
"October-17","18213"
"November-17","13290"
"December-17","13167"
