"fiscal_year","registered_all","change_prior_year","registered_routine","change_prior_year_1","registered_discovered","change_prior_year_2"
"FY 04-05","60570",,"40704",,"19866",
"FY 05-06","67692","0.12","35838","-0.12","31854","0.6"
"FY 06-07","74113","0.09","37789","0.05","36324","0.14"
"FY 07-08","79107","0.07","38401","0.02","40706","0.12"
"FY 08-09","67222","-0.15","36649","-0.05","30573","-0.25"
"FY 09-10","49905","-0.26","34872","-0.05","15033","-0.51"
"FY 10-11","49825","0","34566","-0.01","15259","0.02"
"FY 11-12","49772","0","34835","0.01","14937","-0.02"
"FY 12-13","54694","0.1","36395","0.04","18299","0.23"
"FY 13-14","52086","-0.05","35192","-0.03","16894","-0.08"
"FY 14-15","47748","-0.08","29349","-0.17","18399","0.09"
"FY 15-16","50858","0.07","30840","0.05","20018","0.09"
"FY 16-17","48060","-0.06","29079","-0.06","18981","-0.05"
"FY 17-18","40882","-0.15","26768","-0.08","14114","-0.26"
"FY 18-19","39239","-0.04","25771","-0.04","13468","-0.05"
"FY 19-20","30778","-0.22","21311","-0.17","15062","0.12"
"FY 20-21","42246","0.37","36151","0.7","15145","0.01"
