"ticket_number","issue_date","issue_time","meter_id","marked_time","rp_state_plate","vin","make","body_style","color","location","route","agency","violation_code","violation_description","fine_amount","latitude","longitude"
"4299516981","2016-12-31T00:00:00.000","1245",,,"CA",,"FORD","PA","GY","10645 PICO BL W","00314","51","80.56E1","WHITE ZONE","58","6433428.794346","1838193.734444"
"4299676006","2016-12-31T00:00:00.000","1650",,,"CA",,"BMW","PA","BL","349 EAST 2ND STREET","00600","56","80.56E2","YELLOW ZONE","58","6488672.040423","1840229.543881"
"4299118541","2016-12-31T00:00:00.000","904","CB272",,"CA",,"VOLK","PA","GY","1361 BROADWAY  S","00600","56","88.13B+","METER EXP.","63","6482254.149592","1835572.022782"
"4299516970","2016-12-31T00:00:00.000","1144","PB344A",,"CA",,"HOND","PA","GY","5210 PICO BL W","00314","51","88.13B+","METER EXP.","63","6455103.04337822","1840097.36699648"
"4299675995","2016-12-31T00:00:00.000","1646","LT274",,"CA",,"BMW","PA","WT","631 CENTRAL AVE S","00600","56","88.13B+","METER EXP.","63","6488941.534115","1836312.137174"
"4297344402","2016-12-31T00:00:00.000","2213",,,"CA",,"CHEV","PA","BK","8701 AQUEDUCT AVE","00317","53","80.69A+","STOP/STAND PROHIBIT","93","6418325.207135","1905809.125285"
"4298979160","2016-12-31T00:00:00.000","1447","BR34",,"CA",,"HOND","PA","BL","11601 SAN VICENTE BL","00304","51","88.13B+","METER EXP.","63","6416068.981018","1841199.579711"
"4298979156","2016-12-31T00:00:00.000","1439","SS74",,"CA",,"TOYT","CM","WT","11521 SANTA MONICA BL","00304","51","88.13B+","METER EXP.","63","6424614.416282","1839191.501345"
"4299137452","2016-12-31T00:00:00.000","1216","HW432A",,"CA",,"LEXS","PA","WT","5601 HOLLYWOOD BL","00441","54","88.13B+","METER EXP.","63","6467376.672303","1859545.759407"
"4299516966","2016-12-31T00:00:00.000","1110",,,"CA",,"HOND","PA","SL","1415 GENESEE AVE","00314","51","5204A-","DISPLAY OF TABS","25","6451535.305879","1841007.155225"
"4299610976","2016-12-31T00:00:00.000","1230","101",,"CA",,"VOLV","PA","GY","1506 ROSALIA ROAD","00485","54","80.58L","PREFERENTIAL PARKING","68","6475012.4663","1858270.465626"
"4299675984","2016-12-31T00:00:00.000","1644","LT252",,"CA",,"DODG","PA","WT","631 CENTRAL AVE S","00600","56","88.13B+","METER EXP.","63","6488941.534115","1836312.137174"
"1116105852","2016-12-31T00:00:00.000","1115",,,"CA",,"LEXU","PA","BK","41ST/HOOVER","MQ88","1","4000A1","NO EVIDENCE OF REG","50","99999","99999"
"4297344391","2016-12-31T00:00:00.000","2158",,,"CA",,"HYUN","PA","RD","8788 RANCHITO AVE","00317","53","22500E","BLOCKING DRIVEWAY","68","6428837.881948","1906411.49559"
"4298787872","2016-12-31T00:00:00.000","1239",,,"CA",,"TOYT","PA","GY","1701 GRAMERCY PL N","00442","54","5204A-","DISPLAY OF TABS","25","6467059.460163","1853427.418367"
"4298787861","2016-12-31T00:00:00.000","1238","HW432",,"CA",,"TOYT","PA","GY","1701 GRAMERCY PL N","00442","54","88.13B+","METER EXP.","63","6467059.460163","1853427.418367"
"4298925466","2016-12-31T00:00:00.000","1921",,,"CA",,"NISS","PA","SL","805 132ND ST W","00500","55","80.61","STANDNG IN ALLEY","68","6473276.46019571","1790594.60710031"
"4298979145","2016-12-31T00:00:00.000","1435","SS39",,"CA",,"CHRY","PA","BK","11347 SANTA MONICA BL","00304","51","88.13B+","METER EXP.","63","6425390.336056","1839457.5506"
"4299118530","2016-12-31T00:00:00.000","855","CB1399",,"CA",,"MAZD","PA","GY","802 HOPE ST S","00600","56","88.13B+","METER EXP.","63","6483190.545978","1839415.7388"
"4299137441","2016-12-31T00:00:00.000","1213","HW427",,"CA",,"INFI","PA","BK","5601 HOLLYWOOD BL","00441","54","88.13B+","METER EXP.","63","6467376.672303","1859545.759407"
"4299216865","2016-12-31T00:00:00.000","1708",,"1425","CA",,"HOND","PA","GY","340 ARDMORE AVE S","00476","54","80.69C","PARKED OVER TIME LIMIT","58","6470119.475283","1850482.000444"
"4299516955","2016-12-31T00:00:00.000","1059",,,"CA",,"HOND","PA","GY","6076 ORANGE DR","00314","51","5204A-","DISPLAY OF TABS","25","99999","99999"
"4299569831","2016-12-31T00:00:00.000","1107",,,"CA",,"VOLK","PA","WT","809 MAPLE AVE S","00656","56","5204A-","DISPLAY OF TABS","25","6485540.465841","1837298.90671"
"4299610965","2016-12-31T00:00:00.000","1229","101",,"CA",,"HOND","PA","BK","1508 1/2 ROSALIA ROAD","00485","54","80.58L","PREFERENTIAL PARKING","68","6475012.481085","1858285.060769"
"4299672952","2016-12-31T00:00:00.000","1533","192",,"NV",,"FORD","PA","WT","3373 DERONDA DR","00442","54","80.58L","PREFERENTIAL PARKING","68","6464881.547941","1869670.371909"
"4299675973","2016-12-31T00:00:00.000","1639",,,"CA",,"LEXS","PA","BK","530 SOUTH HEWITT STREET","00600","56","22500H","DOUBLE PARKING","68","6490479.731621","1837503.715043"
"1115336283","2016-12-31T00:00:00.000","1900",,,"CA",,"FORD","VN","WH","8821 ALCOTT","8A59","1","4000A1","NO EVIDENCE OF REG","50","6445242.482371","1842220.84579821"
"1116105841","2016-12-31T00:00:00.000","1130",,,"CA",,"TOYO","TR","WH","41ST/HOOVER","MQ83","1","4000A1","NO EVIDENCE OF REG","50","99999","99999"
"4294743316","2016-12-31T00:00:00.000","1031",,,"CA",,"FORD","PU","BK","13315 VALLEYHEART DRIVE NORTH","00368","53","80.56E4+","RED ZONE","93","6433667.95506838","1877849.50155399"
"4297344380","2016-12-31T00:00:00.000","2148",,,"CA",,"HOND","PA","SL","8533 COLUMBUS AVE","00317","53","22500E","BLOCKING DRIVEWAY","68","6420966.265089","1904668.688632"
"4298343626","2016-12-31T00:00:00.000","1451","13",,"CA",,"BMW","PA","GY","321 HARPER AV N","00480","54","80.58L","PREFERENTIAL PARKING","68","6449936.35472805","1850427.13187073"
"4298343615","2016-12-31T00:00:00.000","1449","LC301",,"CA",,"MERZ","PA","GY","304 HARPER AV N","00480","54","88.13B+","METER EXP.","63","6449936.044409","1850302.18163"
"4298713786","2016-12-31T00:00:00.000","832",,,"CA",,"NISS","PA","SL","615 GRAND AVE S","00601","56","80.56E2","YELLOW ZONE","58","6484245.58416","1840095.730754"
"4298787850","2016-12-31T00:00:00.000","1145","SL329",,"CA",,"MNNI","PA","BN","4331 SUNSET BL","00442","54","88.13B+","METER EXP.","63","6475912.69739","1857084.788686"
"4298853355","2016-12-31T00:00:00.000","1834","SO11",,"CA",,"TOYT","PA","BL","14501 VENTURA BL","00107","53","88.13B+","METER EXP.","63","6425913.134519","1877606.003035"
"4298925455","2016-12-31T00:00:00.000","1851",,,"CA",,"HOND","PA","WT","841 133RD ST W","00500","55","80.61","STANDNG IN ALLEY","68","6473594.45359875","1790218.98358656"
"4298951871","2016-12-31T00:00:00.000","2018",,,"CA",,"TOYT","PA","BL","7510 DENROCK AVE","00204","51","22500E","BLOCKING DRIVEWAY","68","6437759.35847623","1812882.01144583"
"4298979134","2016-12-31T00:00:00.000","1432","SS53",,"CA",,"NISS","PA","GY","11423 SANTA MONICA BL","00304","51","88.13B+","METER EXP.","63","6425042.150584","1839343.182065"
"4299118526","2016-12-31T00:00:00.000","853","CB1398",,"CA",,"LEXS","PA","SL","802 HOPE ST S","00600","56","88.13B+","METER EXP.","63","6483190.545978","1839415.7388"
"4299077834","2016-12-31T00:00:00.000","915",,"0800","CA",,"VOLK","PA","SL","4700 ELMWOOD AVE","00463","54","80.69C","PARKED OVER TIME LIMIT","58","6468048.855683","1851019.20668"
"4299118515","2016-12-31T00:00:00.000","849","CB1403",,"CA",,"NISS","PA","BL","730 HOPE ST S","00600","56","88.13B+","METER EXP.","63","6483482.399515","1839788.490226"
"4299137430","2016-12-31T00:00:00.000","1202","VH23",,"CA",,"HYUN","PA","GY","4601 HOLLYWOOD BL","00441","54","88.13B+","METER EXP.","63","6474120.150007","1858728.6254"
"4299211523","2016-12-31T00:00:00.000","1741",,,"CA",,"FORD","PA","GY","1489 WASHINGTON BLVD","00500","55","80.61","STANDNG IN ALLEY","68","6473997.24922","1837070.96438"
"4299216854","2016-12-31T00:00:00.000","1704",,"1425","CA",,"TOYT","PA","GY","340 ARDMORE AVE S","00476","54","80.69C","PARKED OVER TIME LIMIT","58","6470119.475283","1850482.000444"
"4299439163","2016-12-31T00:00:00.000","1813",,,"CA",,"TOYT","PA","BL","400 CORONADO ST S","00403","54","80.56E4+","RED ZONE","93","6477299.334167","1846088.695629"
"4299516944","2016-12-31T00:00:00.000","1026",,,"CA",,"TOYT","PA","WT","1552 COCHRAN AVE","00314","51","5204A-","DISPLAY OF TABS","25","6454498.213676","1839146.11543"
"4299564905","2016-12-31T00:00:00.000","1813",,,"CA",,"HYUN","PA","RD","6710 SELMA AVE","00400","54","5200","DISPLAY OF PLATES","25","6459710.176357","1858836.34849"
"4299569820","2016-12-31T00:00:00.000","1100","CB3259",,"CA",,"ACUR","PA","BK","300 8TH ST E","00656","56","88.13B+","METER EXP.","63","6484505.390148","1838410.140736"
"4299610884","2016-12-31T00:00:00.000","1040","SL321",,"CA",,"LNDR","PA","GY","4001 SUNSET BL","00485","54","88.13B+","METER EXP.","63","6476779.810777","1856149.265762"
"4299610954","2016-12-31T00:00:00.000","1223","12",,"CA",,"AUDI","PA","GY","1030 SANBORN AVENUE","00485","54","80.58L","PREFERENTIAL PARKING","68","6476479.689803","1855581.438441"
"4299671762","2016-12-31T00:00:00.000","809","ED508",,"CA",,"SUBA","PA","BL","801 TOWNE AVE S","00600","56","88.13B+","METER EXP.","63","6486679.40089","1835984.636071"
"4299672941","2016-12-31T00:00:00.000","1523",,,"CA",,"NISS","PA","GY","6063 RODGERTON DR","00442","54","22502A","18 IN. CURB/2 WAY","63","6465174.2371008","1868142.11030473"
"4299675962","2016-12-31T00:00:00.000","1635",,,"CA",,"CHRY","PA","BK","530 MOLINO STREET","00600","56","80.56E2","YELLOW ZONE","58","6490812.579391","1837576.32429"
"1114171682","2016-12-31T00:00:00.000","258",,,"CA",,,"PA","BL","4720 W COLISEUM ST","00500","55","8056E4","RED ZONE","93","6455431.044776","1829216.768204"
"1114978406","2016-12-31T00:00:00.000","1200",,,"CA",,"TOYO","PA","BL","706 W 77TH ST","MQ76","1","4000A1","NO EVIDENCE OF REG","50","6475030.25327582","1811506.78674622"
"1115335266","2016-12-31T00:00:00.000","1115",,,"CA",,"DODG","PA","WH","10740 WELLWORTH AV","8Z1","1","4000A1","NO EVIDENCE OF REG","50","6429343.93896209","1843979.20634994"
"1115865752","2016-12-31T00:00:00.000","1545",,,"CA",,"HYUN","PA","BL","9301 TAMPA AVE","17C14","1","4000A1","NO EVIDENCE OF REG","50","6394359.24007","1909860.197534"
"1116105830","2016-12-31T00:00:00.000","1020",,,"CA",,"CHEV","PA","RE","41ST/HOOVER","MQ88","1","4000A1","NO EVIDENCE OF REG","50","99999","99999"
"1116629275","2016-12-31T00:00:00.000","1010",,,"CA",,"TOYO","PA","SI","5742 W WARING AV","461A","54","8069C","PKD OVER TIME LIMIT","58","6463809.023178","1853584.513741"
"4291543793","2016-12-31T00:00:00.000","1014",,,"CA",,"HOND","PA","BK","5800 PETERSON AVE","00324","53","5204A-","DISPLAY OF TABS","25","99999","99999"
"4296399214","2016-12-31T00:00:00.000","2144",,,"CA",,"NISS","PU","BK","20900 KITTRIDGE STREET","00321","53","80.56E4+","RED ZONE","93","6383719.214292","1892471.581213"
"4297344376","2016-12-31T00:00:00.000","2128",,,"CA",,"MERZ","PA","BK","17100 TUBA ST","00317","53","5204A-","DISPLAY OF TABS","25","6408882.62519322","1916143.96411395"
"4298156240","2016-12-31T00:00:00.000","836",,,"CA",,"NISS","PA","MR","9200 BK TAMARACK AVE","340R","53","5204A-","DISPLAY OF TABS","25","99999","99999"
"4298156236","2016-12-31T00:00:00.000","833",,,"CA",,"VOLK","PA","BK","9200 BK TAMARACK AVE","340R","53","5204A-","DISPLAY OF TABS","25","99999","99999"
"4298215154","2016-12-31T00:00:00.000","547",,,"CA",,"TOYT","PA","GY","8321 CEDROS AVENUE","00315","53","80.56E4+","RED ZONE","93","6424559.202035","1903417.256891"
"4298343604","2016-12-31T00:00:00.000","1444","BF409",,"CA",,"HOND","PA","BK","8001 BEVERLY BL","00480","54","88.13B+","METER EXP.","63","6451529.153192","1850273.507812"
"4298497873","2016-12-31T00:00:00.000","1229",,,"ON",,"ROL","PA","BK","8361 3RD ST W","00477","54","80.56E4+","RED ZONE","93","6448975.97954422","1849119.75961903"
"4298713775","2016-12-31T00:00:00.000","826",,,"CA",,"OTHR","CM","YE","201 GRAND AVE S","00601","56","80.56E4+","RED ZONE","93","6485974.642306","1842299.676555"
"4298713941","2016-12-31T00:00:00.000","1410",,,"CA",,"DODG","VN","WT","532 11TH ST E","00601","56","80.56E2","YELLOW ZONE","58","6481599.887428","1838158.724052"
"4298787846","2016-12-31T00:00:00.000","1119",,,"CA",,"TOYT","PA","GY","820 ALEXANDRIA AVE N","00442","54","80.69B","NO PARKING","73","6471480.8817205","1853902.53310243"
"4298853193","2016-12-31T00:00:00.000","1644","NH263",,"CA",,"HYUN","PA","GY","5300 LANKERSHIM BL","00107","53","88.13B+","METER EXP.","63","6447957.505554","1883367.799606"
"4298853344","2016-12-31T00:00:00.000","1826","SO510",,"CA",,"HYUN","PA","BL","13801 VENTURA BL","00107","53","88.13B+","METER EXP.","63","6430375.091358","1876696.498534"
"4298865351","2016-12-31T00:00:00.000","1837",,,"CA",,"HOND","PA","GY","300 42ND ST W","00500","55","80.56E4+","RED ZONE","93","6477306.001932","1825200.691102"
"4298925444","2016-12-31T00:00:00.000","1828",,,"CA",,"FORD","PA","BL","650 W  REDONDO BEACH BLVD","00500","55","80.61","STANDNG IN ALLEY","68","6474450.836976","1783420.2296"
"4298951705","2016-12-31T00:00:00.000","905","6",,"CA",,"BMW","PA","BK","10358 HOLMAN AVE","00306","51","80.58L","PREFERENTIAL PARKING","68","6433253.727096","1844395.237278"
"4298951860","2016-12-31T00:00:00.000","1618",,,"CA",,"LEXS","PA","BK","12300 VENICE BL","00204","51","5200","DISPLAY OF PLATES","25","6430634.528053","1824188.078436"
"4298978972","2016-12-31T00:00:00.000","1151",,"1038","CA",,"TOYT","PA","RD","10870 MISSISSIPPI AVE","00304","51","80.69C","PARKED OVER TIME LIMIT","58","6430447.051026","1839081.154964"
"4298979123","2016-12-31T00:00:00.000","1428","SS43",,"CA",,"BMW","PA","BK","1500 PURDUE AV","00304","51","88.13B+","METER EXP.","63","6424760.488256","1839877.133633"
"4299077845","2016-12-31T00:00:00.000","917",,"0800","CA",,"NISS","PA","RD","4700 ELMWOOD AVE","00463","54","80.69C","PARKED OVER TIME LIMIT","58","6468048.855683","1851019.20668"
"4299067474","2016-12-31T00:00:00.000","1211","34",,"CA",,"FORD","PA","RD","6322 W COLGATE AV","00474","54","80.58L","PREFERENTIAL PARKING","68","6451784.70020489","1847769.61882526"
"4299067640","2016-12-31T00:00:00.000","1459","WF89",,"CA",,"HOND","PA","GY","101 KINGS RD S","00474","54","88.13B+","METER EXP.","63","6448977.182644","1849690.020631"
