"month","inches_water_content","inches_normal_to_date"
"2013-12-01T00:00:00.000","1.5","N/A"
"2014-01-01T00:00:00.000","4.7","N/A"
"2014-02-01T00:00:00.000","3.6","12.2"
"2014-04-01T00:00:00.000","5.8","19.2"
"2014-03-01T00:00:00.000","6.1","16.6"
"2015-10-01T00:00:00.000","1","N/A"
"2016-02-01T00:00:00.000","12.6","16.6"
"2015-04-01T00:00:00.000",,"19.2"
"2015-02-01T00:00:00.000","2.4","12.2"
"2015-11-01T00:00:00.000","5.3","N/A"
"2015-03-01T00:00:00.000","3","16.6"
"2017-02-01T00:00:00.000","53","253"
"2017-06-01T00:00:00.000","1.9","8"
"2017-04-01T00:00:00.000","43.93","191"
"2017-03-01T00:00:00.000","49.21","214"
"2017-05-01T00:00:00.000","11.84","51"
