SRNumber,CreatedDate,UpdatedDate,ActionTaken,Owner,RequestType,Status,RequestSource,CreatedByUserOrganization,MobileOS,Anonymous,AssignTo,ServiceDate,ClosedDate,AddressVerified,ApproximateAddress,Address,HouseNumber,Direction,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,TBMColumn,TBMRow,APC,CD,CDMember,NC,NCName,PolicePrecinct
1-1831739761,12/31/2020 11:57:54 PM,01/02/2021 08:12:27 AM,SR Created,LASAN,Bulky Items,Closed,Mobile App,Self Service,Android,N,SLA,01/02/2021 12:00:00 AM,01/02/2021 07:39:24 AM,Y,,"114 E 87TH ST, 90003",114,E,87TH,ST,90003,33.9589038232,-118.273259328,"(33.9589038232, -118.273259328)",704,C,3,South Los Angeles APC,8,Marqueece Harris-Dawson,87,Empowerment Congress Southeast,SOUTHEAST
1-1831739741,12/31/2020 11:57:32 PM,01/01/2021 01:38:06 PM,SR Created,LASAN,Metal/Household Appliances,Cancelled,Self Service,Self Service_SAN,,N,EV,01/04/2021 12:00:00 AM,01/01/2021 01:38:06 PM,Y,N,"11743 N BRUSSELS AVE, 91342",11743,N,BRUSSELS,AVE,91342,34.2838039863,-118.386468163,"(34.2838039863, -118.386468163)",482,H,7,North Valley APC,7,Monica Rodriguez,9,Foothill Trails District,FOOTHILL
1-1831738771,12/31/2020 11:54:33 PM,01/04/2021 03:49:43 PM,SR Created,OCB,Graffiti Removal,Cancelled,Self Service,Self Service,,Y,NDFY,01/04/2021 12:00:00 AM,01/04/2021 03:49:43 PM,Y,N,"FULCHER AVE AT OXNARD ST, 91601",,,,,91601,34.1794105977,-118.373220799,"(34.1794105977, -118.373220799)",532,J,7,South Valley APC,2,Paul Krekorian,24,NoHo,NORTH HOLLYWOOD
1-1831738731,12/31/2020 11:53:17 PM,04/20/2021 07:50:42 PM,SR Created,BSL,Single Streetlight Issue,Closed,Self Service,Self Service,,Y,NORTH,04/20/2021 12:00:00 AM,04/20/2021 12:00:00 AM,Y,Y,"5344 N VINELAND AVE, 91601",5344,N,VINELAND,AVE,91601,34.16802646,-118.37024026,"(34.16802646, -118.37024026)",563,A,2,South Valley APC,2,Paul Krekorian,24,NoHo,NORTH HOLLYWOOD
1-1831736811,12/31/2020 11:48:56 PM,01/05/2021 03:28:44 PM,SR Created,LASAN,Bulky Items,Closed,Self Service,Self Service,,Y,EV,01/05/2021 12:00:00 AM,01/05/2021 03:26:58 PM,Y,N,"11841 W VICTORY BLVD, 91606",11841,W,VICTORY,BLVD,91606,34.1868286824,-118.391412973,"(34.1868286824, -118.391412973)",532,G,6,South Valley APC,2,Paul Krekorian,23,North Hollywood Northeast,NORTH HOLLYWOOD
1-1831736791,12/31/2020 11:48:47 PM,01/07/2021 11:19:34 PM,SR Created,LASAN,Homeless Encampment,Closed,Call,LASAN,,N,WV,01/07/2021 12:00:00 AM,01/07/2021 07:02:27 PM,Y,N,"5600 N WILBUR AVE, 91356",5600,N,WILBUR,AVE,91356,34.1722631848,-118.544654655,"(34.1722631848, -118.544654655)",560,H,2,South Valley APC,3,Bob Blumenfield,17,Tarzana,WEST VALLEY
1-1831739561,12/31/2020 11:47:50 PM,01/06/2021 03:49:36 AM,SR Created,LASAN,Bulky Items,Closed,Self Service,Self Service,,Y,EV,01/05/2021 12:00:00 AM,01/05/2021 08:53:40 AM,Y,N,"11542 W VICTORY BLVD, 91606",11542,W,VICTORY,BLVD,91606,34.1865017598,-118.383920351,"(34.1865017598, -118.383920351)",532,H,6,South Valley APC,2,Paul Krekorian,24,NoHo,NORTH HOLLYWOOD
1-1831735771,12/31/2020 11:46:12 PM,01/02/2021 06:36:55 AM,SR Created,LASAN,Bulky Items,Closed,Self Service,Self Service,,Y,WLA,01/02/2021 12:00:00 AM,01/02/2021 06:33:16 AM,Y,N,"3442 S CENTINELA AVE, 90066",3442,S,CENTINELA,AVE,90066,34.0117637373,-118.439513873,"(34.0117637373, -118.439513873)",672,B,3,West Los Angeles APC,11,Mike Bonin,67,Mar Vista,PACIFIC
1-1831739501,12/31/2020 11:45:48 PM,01/05/2021 06:54:26 AM,SR Created,LASAN,Bulky Items,Closed,Self Service,Self Service_SAN,,N,NC,01/05/2021 12:00:00 AM,01/05/2021 06:53:28 AM,Y,N,"4954 N GLEN IRIS AVE, 90041",4954,N,GLEN IRIS,AVE,90041,34.1356024189,-118.209808547,"(34.1356024189, -118.209808547)",565,A,6,East Los Angeles APC,14,Kevin de León,40,Eagle Rock,NORTHEAST
1-1831738541,12/31/2020 11:42:51 PM,01/01/2021 01:46:35 PM,SR Created,ITA,Other,Closed,Mobile App,Self Service,iOS,Y,,,01/01/2021 01:46:34 PM,Y,N,"3680 W WILSHIRE BLVD, 90010",3680,W,WILSHIRE,BLVD,90010,34.0614788861,-118.306076864,"(34.0614788861, -118.306076864)",633,H,2,Central APC,10,Mark Ridley-Thomas,55,Wilshire Center Koreatown,OLYMPIC
