"year","geography","sex","age_group","age","number","percent","location_1"
"2010","Anoka","Both sexes","All","All","330844","100","(45.27330228, -93.24636902)"
"2010","Anoka","Male","All","All","165327","49.97","(45.27330228, -93.24636902)"
"2010","Anoka","Female","All","All","165517","50.03","(45.27330228, -93.24636902)"
"2010","Carver","Both sexes","All","All","91042","100","(44.82074979, -93.80249803)"
"2010","Carver","Male","All","All","45236","49.69","(44.82074979, -93.80249803)"
"2010","Carver","Female","All","All","45806","50.31","(44.82074979, -93.80249803)"
"2010","Dakota","Both sexes","All","All","398552","100","(44.67180826, -93.06548987)"
"2010","Dakota","Male","All","All","195661","49.09","(44.67180826, -93.06548987)"
"2010","Dakota","Female","All","All","202891","50.91","(44.67180826, -93.06548987)"
"2010","Hennepin","Both sexes","All","All","1152425","100","(45.0046367, -93.47678614)"
"2010","Hennepin","Male","All","All","566184","49.13","(45.0046367, -93.47678614)"
"2010","Hennepin","Female","All","All","586241","50.87","(45.0046367, -93.47678614)"
"2010","Ramsey","Both sexes","All","All","508640","100","(45.01704976, -93.09949985)"
"2010","Ramsey","Male","All","All","246642","48.49","(45.01704976, -93.09949985)"
"2010","Ramsey","Female","All","All","261998","51.51","(45.01704976, -93.09949985)"
"2010","Scott","Both sexes","All","All","129928","100","(44.64846905, -93.53581189)"
"2010","Scott","Male","All","All","64715","49.81","(44.64846905, -93.53581189)"
"2010","Scott","Female","All","All","65213","50.19","(44.64846905, -93.53581189)"
"2010","Washington","Both sexes","All","All","238136","100","(45.0386235, -92.88380951)"
"2010","Washington","Male","All","All","117804","49.47","(45.0386235, -92.88380951)"
"2010","Washington","Female","All","All","120332","50.53","(45.0386235, -92.88380951)"
"2010","Carver","Male","45 to 49 years","All","4332","9.6","(44.82074979, -93.80249803)"
"2010","Carver","Both sexes","45 to 49 years","All","8664","9.5","(44.82074979, -93.80249803)"
"2010","Carver","Female","45 to 49 years","All","4332","9.5","(44.82074979, -93.80249803)"
"2010","Scott","Male","5 to 9 years","All","5912","9.1","(44.64846905, -93.53581189)"
"2010","Carver","Male","5 to 9 years","All","4070","9","(44.82074979, -93.80249803)"
"2010","Carver","Male","10 to 14 years","All","4091","9","(44.82074979, -93.80249803)"
"2010","Anoka","Both sexes","45 to 49 years","All","29280","8.9","(45.27330228, -93.24636902)"
"2010","Anoka","Male","45 to 49 years","All","14722","8.9","(45.27330228, -93.24636902)"
