"year","quarter","dwelling_unit","city","zip","paint_inspection_risk","clear_close_date","property_status","year_built","finished_square_feet","number_of_rooms","number_of_rooms_treated","windows","location_of_work","type_of_work","relocation_cost","hud_lead_hazard_reduction","match_lhr_cost","other_rehab_cost","income","occupants_younger_than_6","occupants_older_than_6","bll_10","bll_10_20","bll_20","bll_unknown","bll_greater_than_5","geocoded_column","date_updated"
"2013-12-31T00:00:00.000","Third Quarter","Unit #3","St. Paul","55106","2013-04-18T00:00:00.000","2013-09-12T00:00:00.000","Occupied Rental","1889","725","3","2","4","Interior Only","Window replacement and Paint stabilization","0","670","671","0","30-50","1","1",,,,"1",,"
St. Paul,  55106
(44.966105, -93.04968)","2020-09-08T14:32:59.000"
"2016-12-31T00:00:00.000","Fourth Quarter",,"St. Paul","55107","2016-06-21T00:00:00.000","2016-12-14T00:00:00.000","Owner Occupied","1900","1488","12","7","11","Only Interior","Paint Stabilization and Window replacement","135","2312","2313","0","30-50","1","2",,,,,"0","
St. Paul,  55107
(44.929727, -93.084617)","2020-09-08T14:32:59.000"
"2010-12-31T00:00:00.000","Fourth Quarter","Single Family","St. Paul","55106","2010-03-23T00:00:00.000","2010-11-18T00:00:00.000","Owner Occupied","1878","1428","13","9",,"Only Interior","Paint Stabilization and Window replacement","0","3610","3610","3000",,"1","2","1","1",,,,"
St. Paul,  55106
(44.966105, -93.04968)","2020-09-08T14:32:59.000"
"2013-12-31T00:00:00.000","Third Quarter","Single Family","St. Paul","55106","2013-05-13T00:00:00.000","2013-08-07T00:00:00.000","Owner Occupied","1889","1475","19","13","18","Interior and Front Porch","Window replacement and Paint stabilization","0","3834","3835","0","30-50","5","1",,,,"3",,"
St. Paul,  55106
(44.966105, -93.04968)","2020-09-08T14:32:59.000"
"2018-12-31T00:00:00.000","First Quarter",,"St. Paul","55104","2017-12-01T00:00:00.000","2018-02-07T00:00:00.000","Owner Occupied","1912","1124","13","8","11","Only Interior","Paint Stabilization and Window replacement","135.00","2288.00","3024.00","0.00","50-80","2","2",,,,,"0","
St. Paul,  55104
(44.954046, -93.160955)","2021-10-29T13:08:37.000"
"2011-12-31T00:00:00.000","Third Quarter","Single Family","St. Paul","55116","2011-04-08T00:00:00.000","2011-07-28T00:00:00.000","Owner Occupied","1948","1278","12","8","17","Only Interior","Paint Stabilization and Window replacement","0","2976","2976","0","50-80","2","2","1",,,"1",,"
St. Paul,  55116
(44.912875, -93.171888)","2020-09-08T14:32:59.000"
"2018-12-31T00:00:00.000","Second Quarter",,"St. Paul","55119","2018-02-13T00:00:00.000","2018-04-17T00:00:00.000","Owner Occupied","1951","1753","12","7","13","Only Interior","Paint Stabilization and Window replacement","0.00","2490.00","3290.00","0.00","30-50","1","7",,,,,"0","
St. Paul,  55119
(44.947656, -93.005304)","2021-10-29T13:08:37.000"
"2013-12-31T00:00:00.000","Second Quarter","Single Family","St. Paul","55103","2013-04-25T00:00:00.000","2013-05-21T00:00:00.000","Owner Occupied","1951","1378","9","6","9","Interior Only","Window replacement and Paint stabilization","0","1507","1507","0","50-80","3","2","1",,,"1",,"
St. Paul,  55103
(44.962138, -93.122416)","2020-09-08T14:32:59.000"
"2014-12-31T00:00:00.000","Third Quarter","Unit #3","St. Paul","55103","2014-08-27T00:00:00.000","2014-10-07T00:00:00.000","Occupied Rental","1907","840","7","4","10","Interior Only","Window replacement and Paint stabilization","0","1545","1545","0","50-80","3","1","1",,,,,"
St. Paul,  55103
(44.962138, -93.122416)","2020-09-08T14:32:59.000"
"2011-12-31T00:00:00.000","Fourth Quarter","Single Family","St. Paul","55119","2011-10-17T00:00:00.000","2011-12-14T00:00:00.000","Owner Occupied","1926","775","9","6","12","Only Interior","Paint Stabilization and Window replacement","0","2032","2033","0","50-80","2","2","1",,,"1",,"
St. Paul,  55119
(44.947656, -93.005304)","2020-09-08T14:32:59.000"
