"name","age","war_or_conflict","war_start_date","war_end_date","location","link"
"Curtis D. Feistener","34","Operation Enduring Freedom (Afghanistan)","2001-10-09T00:00:00.000","2014-12-28T00:00:00.000","Third Floor, Plaque",
"Chad Dennis Frokjer","27","Operation Enduring Freedom (Afghanistan)","2001-10-09T00:00:00.000","2014-12-28T00:00:00.000","Third Floor, Plaque",
"Mathew James Johnson","21","Operation Enduring Freedom (Afghanistan)","2001-10-09T00:00:00.000","2014-12-28T00:00:00.000","Third Floor, Plaque",
"Joseph Alan Kennedy","25","Operation Enduring Freedom (Afghanistan)","2001-10-09T00:00:00.000","2014-12-28T00:00:00.000","Third Floor, Plaque",
"Nicholas Patrick Spehar","24","Operation Enduring Freedom (Afghanistan)","2001-10-09T00:00:00.000","2014-12-28T00:00:00.000","Documents",
"Kham S. Xiong","23","Global War on Terror",,,"Third Floor, Plaque",
"Brett Evan Angus","40","Operation Iraqi Freedom","2003-03-20T00:00:00.000","2011-12-18T00:00:00.000","Third Floor, Plaque",
"Elden David Arcand","22","Operation Iraqi Freedom","2003-03-20T00:00:00.000","2011-12-18T00:00:00.000","Third Floor, Plaque",
"Michael Curtis Carlson","22","Operation Iraqi Freedom","2003-03-20T00:00:00.000","2011-12-18T00:00:00.000","Third Floor, Plaque",
"Jacob J. Fairbanks","22","Operation Iraqi Freedom","2003-03-20T00:00:00.000","2011-12-18T00:00:00.000","Third Floor, Plaque",
"James Matthew Wosika, Jr.","24","Operation Iraqi Freedom","2003-03-20T00:00:00.000","2011-12-18T00:00:00.000","Third Floor, Plaque",
"Bryan Thomas McDonough","22","Operation Iraqi Freedom","2003-03-20T00:00:00.000","2011-12-18T00:00:00.000","Third Floor, Plaque",
"Gregory Brian Rundell","21","Operation Iraqi Freedom","2003-03-20T00:00:00.000","2011-12-18T00:00:00.000","Documents",
"Jacob Thomas Vanderbosch","21","Operation Iraqi Freedom","2003-03-20T00:00:00.000","2011-12-18T00:00:00.000","Third Floor, Plaque",
