"year_month","geographic_area","labor_force","employment","unemployment","unemployment_rate","year","month"
"1998/05","Hennepin County","649827","637829","11998","1.8","1998","5"
"2003/01","Ramsey County","275505","262031","13474","4.9","2003","1"
"2002/02","7 County Metro","1566291","1494749","71542","4.6","2002","2"
"1993/11","Dakota County","184645","179359","5286","2.9","1993","11"
"1997/01","Anoka County","171137","165414","5723","3.3","1997","1"
"1991/09","7 County Metro","1359393","1295214","64179","4.5","1991","9"
"1999/11","Hennepin County","670562","656841","13721","2","1999","11"
"2002/02","Anoka County","183019","174111","8908","4.9","2002","2"
"1990/01","Carver County","27810","26610","1200","4.3","1990","1"
"2002/09","Carver County","43480","41857","1623","3.7","2002","9"
"1995/08","Scott County","41353","40436","917","2.2","1995","8"
"2000/05","Scott County","53952","52743","1209","2.2","2000","5"
"1994/08","7 County Metro","1444827","1400349","44478","2.8","1994","8"
"1996/02","Ramsey County","273148","264585","8563","3.1","1996","2"
"1999/07","Ramsey County","290602","282506","8096","2.8","1999","7"
"1990/09","Hennepin County","619254","589837","29417","4.8","1990","9"
"2010/08","7 County Metro","1613424","1497650","115774","7","2010","8"
"2007/04","7 County Metro","1589624","1526781","62843","4","2007","4"
"2004/03","Hennepin County","651601","620291","31310","4.8","2004","3"
"1996/07","Ramsey County","284096","273930","10166","3.6","1996","7"
"1998/02","Dakota County","208455","204252","4203","2","1998","2"
"2001/01","Ramsey County","283534","274489","9045","3.2","2001","1"
"1994/01","Anoka County","159723","151950","7773","4.9","1994","1"
"1990/04","Dakota County","165589","159976","5613","3.4","1990","4"
"1991/08","Ramsey County","273618","261996","11622","4.2","1991","8"
"1996/07","Dakota County","204817","199306","5511","2.7","1996","7"
"1994/07","7 County Metro","1453055","1408732","44323","2.8","1994","7"
"2001/11","Carver County","42656","41131","1525","3.6","2001","11"
"2017/03","Ramsey County","281847","271422","10425","3.7","2017","3"
"2017/03","Scott County","79983","77185","2798","3.5","2017","3"
"1994/11","Dakota County","188453","184148","4305","2.3","1994","11"
