"name","age","war_or_conflict","war_start_date","war_end_date","location","link"
"Edward F. Abel",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Kenneth Abernathy",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Gerald T. Abrahamson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"James E. Achterling",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Kenneth C. Acker",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Herbert E. Adams",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Glen M. Adler",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Berton E. Ahlberg",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Daniel M. Ahrens",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Arthur J. Albertson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Russel G. Alhlstrom",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"August W. Anderson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Clarence Anderson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Ernest L. Anderson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"George C. Anderson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Harley H. Anderson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Harry Earl Anderson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Leroy G. Anderson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Marley H. Anderson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Marvin W. Anderson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Paul H. Anderson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
