"agreement_type","company_name","primary_tax_abated_property_address","all_tax_abated_properties_addresses","primary_address_lat","primary_address_long","city_council_resolution_number","city_council_resolution_date","city_council_resolution_agreement_pdf","county_commission_resolution_number","county_commission_resolution_date","county_commission_resolution_agreement_pdf","year_beginning","year_ending","jobs_commitment","average_wage","agreement_jobs_notes","investment","agreement_investment_notes","state_map_no","assessment_on_pilot_properties","city_taxes_without_pilot_agreement","hamilton_county_general_tax_without_pilot_agreement","hamilton_county_school_tax_without_pilot_agreement","total_tax_without_pilot_agreement","city_payments_billed_in_lieu_of_taxes","hamilton_county_payments_billed_in_lieu_of_taxes","hamilton_county_school_payments_billed_in_lieu_of_taxes","total_economic_development_fee","total_payments_in_lieu_of_taxes","city_pilot_incentives","hamilton_county_pilot_incentives","hamilton_county_schools_pilot_incentives","economic_development_fee_pilot_incentives","total_pilot_incentive","primary_address_location","primary_address_location_address","primary_address_location_city","primary_address_location_state","primary_address_location_zip"
"Industrial Development Board- School Tax","AKI","3800 Amnicola Hwy","3800 Amnicola Hwy","35.0899079","-85.2584231","26093","2009-10-06T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_a3kzSWY1dzRjUm8/view?usp=sharing","909-40","2009-09-16T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_YzM5NmZ2NFBpMDA/view?usp=sharing","2010","2018","260",,"Retain 210 50 new","15000000",,"127D-B-001.15; Per 1040235","2305728.00","53239.00","32110.00","31648.00","116997.00",,,"34163.00",,"34163.00","53239.00","32110.00","-2515.00",,"82834.00","POINT (-85.2584231 35.0899079)",,,,
"Industrial Development Board- School Tax","ALSTOM POWER INC - #1","1119 Riverfront Pkwy","1119, 1120, 1121 Riverfront Pkwy & 974 W 19th St","35.0463535","-85.323334","25561","2008-06-17T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_UVBhQ2o2TVV0aXM/view?usp=sharing","608-44","2008-06-18T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_OWY3R09jbnc3NWc/view?usp=sharing","2010","2024","300",,,"265000000",,"145G-A-002, 005.05; 145J-A-004.01; Per 035255,038522","34295547.00","791884.00","477600.00","470741.00","1740225.00",,,"508146.00",,"508146.00","791884.00","477600.00","-37405.00",,"1232079.00","POINT (-85.323334 35.0463535)",,,,
"Industrial Development Board- School Tax","ALSTOM POWER INC - #2","1119 Riverfront Pkwy","1120 Riverfront Pkwy & 974 W 19th St","35.0463535","-85.323334","25561","2008-06-17T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_UVBhQ2o2TVV0aXM/view?usp=sharing","608-44","2008-06-18T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_OWY3R09jbnc3NWc/view?usp=sharing","2011","2025",,,,,,"Per 038523, 041418","9327700.00","215377.00","129898.00","128032.00","473306.00",,,"138205.00",,"138205.00","215377.00","129898.00","-10173.00",,"335101.00","POINT (-85.323334 35.0463535)",,,,
"Industrial Development Board- School Tax","ALSTOM POWER INC - #3","1119 Riverfront Pkwy","1121 Riverfront Pkwy & 974 W 19th St","35.0463535","-85.323334","25561","2008-06-17T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_UVBhQ2o2TVV0aXM/view?usp=sharing","608-44","2008-06-18T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_OWY3R09jbnc3NWc/view?usp=sharing","2012","2026",,,,,,"Per 042005, 038524","15750095.00","363670.00","219336.00","216186.00","799191.00",,,"233364.00",,"233364.00","363670.00","219336.00","-17178.00",,"565827.00","POINT (-85.323334 35.0463535)",,,,
"Industrial Development Board- School Tax","AMAZON.COM DEDC LLC PROJECT","7200 Volkswagen Dr","7200 Volkswagen Dr","35.06863024","-85.14266722","26502","2010-11-30T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_RjU3cVZ1alFFSEU/view?usp=sharing","1210-12","2010-12-01T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_RUFOdll0bnRWVTA/view?usp=sharing","2012","2022","1249","30500.00",,"91000000",,"Per 040158","15890826.00","366919.00","221296.00","218117.00","806332.00",,,"218516.00",,"218516.00","366919.00","221296.00","-399.00",,"587816.00","POINT (-85.14266722 35.06863024)",,,,
"Industrial Development Board","ASTEC INDUSTRIES INC"," 1202 E 39th St","1725 Shepherd Rd & 1202 E 39th St","34.998956","-85.298479","24775","2006-06-06T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_OFN4ZXZXUkwtZ2M/view?usp=sharing","606-26","2006-06-07T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_VnY0SmRLaEhkWEU/view?usp=sharing","2007","2017","66","53000.00",,"13590000",,"148G-G-005, 168A-P-014; Per 031920, 031917","2315002.00","53453.00","32239.00","31776.00","117468.00","26727.00","16119.00","15888.00",,"58734.00","26727.00","16119.00","15888.00",,"58734.00","POINT (-85.298479 34.998956)",,,,
"Industrial Development Board","BLUE CROSS BLUE SHIELD OF TN INC","23 Cameron Hill Cir","1 & 23 Cameron Hill Cir & 505 E MLK Blvd","35.052216","-85.317968","24361","2005-03-22T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_NXNOMHR0aFp2ZGM/view?usp=sharing","305-34","2005-03-23T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_a3NBamEzT1FPRm8/view?usp=sharing","2008","2024",,,"N/A",,,"135N-B-005, 005.01, 005.02; Per 031074","78421314.00","1810748.00","1092095.00","1076411.00","3979254.00","905374.00","546048.00","538205.00",,"1989627.00","905374.00","546048.00","538205.00",,"1989627.00","POINT (-85.317968 35.052216)",,,,
"Health, Education and Housing Facility Board","BREAD FACTORY","1615 Cowart St","1615 Cowart St","35.035925","-85.311307","23253","2002-01-08T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_VUJ4MF9YOE5ldWc/view?usp=sharing","302-41A","2002-04-03T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_Qld1Vkd1TTdXbUU/view?usp=sharing","2003","2018",,,,,,"145K-K-014","668440.00","15434.00","9309.00","9175.00","33918.00","1938.00","1188.00","1171.00",,"4297.00","13496.00","8121.00","8004.00",,"29621.00","POINT (-85.311307 35.035925)",,,,
"Industrial Development Board","CHATTEM INC  (Agreement 1)","3350 Broad St","1715 W 38th St & 3350 Broad St","35.016125","-85.32156","25762","2008-12-09T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_Tmg4RzBqcUZBZlk/view?usp=sharing","1208-36","2008-12-17T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_QWFxaGd0M1o4TGM/view?usp=sharing","2009","2011","33","23000.00",,"7000000",,"155J-D-016.01; 155J-G-018","2830640.00","65359.00","39419.00","38853.00","143632.00","65359.00","39419.00","38853.00",,"143632.00","0.00",,"0.00",,"0.00","POINT (-85.32156 35.016125)",,,,
"Industrial Development Board","CHATTEM INC  (Agreement 2)","3350 Broad St","1715 W 38th St & 3350 Broad St","35.016125","-85.32156","25968","2009-06-23T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_c2ZmR3dNY1VSQ3c/view?usp=sharing","609-11","2009-06-03T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_a1hyNnl6aGpzUlU/view?usp=sharing","2011","2018","60","29000.00",,"35500000",,"155J-G-018; Per 038582","6364833.00","146964.00","88637.00","87364.00","322964.00",,,"94306.00",,"94306.00","146964.00","88637.00","-6942.00",,"228659.00","POINT (-85.32156 35.016125)",,,,
