"id","registrationdate","mailcity","mailstate","mailzip","mailcountry","gender","birthyear","keyassigned","keyactivated","active"
,"2015-07-30T00:00:00.000","Chattanooga","Tennessee","37415","United States","1","1982","2015-07-30T12:47:00.000",,
,"2013-07-26T00:00:00.000","Chattanooga","Tennessee","37405","United States","1","1988","2013-07-26T20:56:00.000","2014-09-15T18:46:00.000",
,"2013-09-30T00:00:00.000","Chattanooga","Tennessee","37405","United States","2","1964","2013-09-30T10:00:00.000",,
,"2015-07-24T00:00:00.000","Cleveland","Tennessee","37323","United States","1","1965","2015-07-28T12:04:00.000",,
,"2012-09-26T00:00:00.000","Apison","Tennessee","37302","United States","1","1966","2012-09-26T10:25:00.000","2013-08-24T11:54:00.000",
,"2015-07-30T00:00:00.000","Chattanooga","Tennessee","37405","United States","1","1986","2015-07-30T13:47:00.000","2015-08-13T09:43:00.000",
,"2015-07-30T00:00:00.000","Chattanooga","Tennessee","37415","United States","2","1981","2015-07-30T13:10:00.000","2015-08-03T20:24:00.000",
,"2013-05-11T00:00:00.000","Hixson","Tennessee","37343","United States","2","1980","2013-05-13T09:37:00.000","2013-05-14T21:49:00.000",
,"2015-07-31T00:00:00.000","Apison","Tennessee","37302","United States","2","1987",,,
,"2015-07-30T00:00:00.000","Chattanooga","Tennessee","37403","United States","1","1966","2015-07-30T12:02:00.000","2015-08-10T15:31:00.000",
,"2015-07-24T00:00:00.000","Chattanooga","Tennessee","37405","United States","1","1984","2015-07-28T11:56:00.000","2015-08-04T20:36:00.000",
,"2015-07-28T00:00:00.000","Chattanooga","Tennessee","37404","United States","2","1981","2015-07-29T11:53:00.000","2015-08-06T09:29:00.000",
,"2015-07-30T00:00:00.000","Chattanooga","Tennessee","37411","United States","1","1978","2015-07-30T13:41:00.000","2015-08-04T17:16:00.000",
,"2015-07-24T00:00:00.000","Chattanooga","Tennessee","37421","United States","1","1954","2015-07-27T14:37:00.000","2015-08-02T07:28:00.000",
,"2015-08-03T00:00:00.000","Ringgold","Georgia","30736","United States","2","1996",,,
,"2015-08-03T00:00:00.000","Ringgold","Georgia","30736","United States","2","1996",,,
,"2015-07-24T00:00:00.000","Chattanooga","Tennessee","37403","United States","1","1972","2015-07-28T14:41:00.000","2015-07-31T19:19:00.000",
,"2015-07-29T00:00:00.000","Harrison","Tennessee","37341","United States","1","1973","2015-07-29T14:47:00.000","2015-09-28T08:55:00.000",
,"2012-11-27T00:00:00.000","Chattanooga","Tennessee","37402","United States","1","1984","2012-11-27T09:05:00.000","2012-11-30T17:11:00.000",
,"2015-07-29T00:00:00.000","HARRISON","Tennessee","37343","United States","1","1957","2015-07-30T12:31:00.000",,
,"2012-07-24T00:00:00.000","Chattanooga","Tennessee","37405","United States","1","1970","2012-07-25T09:07:00.000","2012-07-26T21:38:00.000",
,"2015-07-24T00:00:00.000","Chattanooga","Tennessee","37403","United States","1","1985","2015-07-28T09:15:00.000","2015-09-22T11:12:00.000",
,"2012-08-15T00:00:00.000","Chattanooga","Tennessee","37402","United States","1","1983","2012-08-16T08:53:00.000","2012-08-17T18:52:00.000",
,"2015-07-31T00:00:00.000","Chattanooga","Tennessee","37421","United States","1","1990","2015-07-31T15:05:00.000","2015-08-04T18:29:00.000",
,"2015-07-29T00:00:00.000","Chattanooga","Tennessee","37405","United States","1","1993","2015-07-29T14:49:00.000","2015-08-06T22:24:00.000",
,"2015-07-27T00:00:00.000","Signal Mountain","Tennessee","37377","United States","2","1957","2015-07-29T11:37:00.000","2015-07-30T18:10:00.000",
