"the_geom","dirprefix","dirsuffix","fullname","functclass","leftfrom","leftto","maxaddress","minaddress","name","objectid","oddside","ownership","rightfrom","rightto","streetid","streetstat","typeprefix","typesuffix"
"MULTILINESTRING ((-85.30732837378676 35.03614327143898, -85.3072167196356 35.036103060239526, -85.30714279971819 35.03607589796388, -85.30706908324866 35.03604835210964, -85.30699553554676 35.036020478037685, -85.30592560998846 35.03560587534635))","E",,"E Main St","Urban Minor Arterial","1.0","49.0","50.0","1.0","Main","1659.0","L","State","2.0","50.0","4978.0",,,"St"
"MULTILINESTRING ((-85.30033620110417 35.03295580088877, -85.30033978925208 35.032949576485976, -85.30036095181941 35.03291285879319, -85.30040266868887 35.03283620493408, -85.30048756141188 35.03268018741153, -85.3005713527206 35.0325317184458))",,,"Jefferson St","Local Street","1510.0","1598.0","1599.0","1510.0","Jefferson","3918.0","R","Chattanooga","1511.0","1599.0","5018.0",,,"St"
"MULTILINESTRING ((-85.29916578599239 35.03199103824158, -85.29920755776698 35.031915814980735, -85.29926389090113 35.03181391745744, -85.29931995674174 35.03171196417921, -85.29937582309354 35.031609926006155, -85.29942893845536 35.03151693884159, -85.29948165412205 35.03142378472403, -85.29953390317064 35.03133048998625, -85.29958575362622 35.03123700017018, -85.29962057499004 35.031173632553774))",,,"Madison St","Local Street","1600","1698.0","1699.0","1600","Madison","5359.0","R","Chattanooga","1601.0","1699.0","2949.0",,,"St"
"MULTILINESTRING ((-85.30384427345253 35.03481228728026, -85.30376906473265 35.03478363134744, -85.30363635127743 35.03473414472723, -85.30350377327868 35.03468443861133, -85.30337129824515 35.0346345128099, -85.30323899116188 35.03458436770378, -85.3031067530747 35.0345339759878, -85.30297468526115 35.034483393114556, -85.30284271894368 35.03443256311921, -85.30271088870528 35.03438154106386, -85.30257919415463 35.03433027349418, -85.3025594203294 35.03432254764283))","E",,"E Main St","Urban Minor Arterial","311.0","399.0","399.0","310.0","Main","7696.0","L","State","310.0","398.0","4978.0",,,"St"
"MULTILINESTRING ((-85.30103338770054 35.03171319583314, -85.301112969442 35.03157228429614, -85.30116645786995 35.03147460036713, -85.30122024556577 35.03137700046191, -85.30126903847854 35.031289081267644))",,,"Jefferson St","Local Street","1700","1706.0","1707.0","1700","Jefferson","10271.0","R","Chattanooga","1701.0","1707.0","5018.0",,,"St"
"MULTILINESTRING ((-85.30824171213074 35.03648497111297, -85.30834342905592 35.03652320140366, -85.30844548826126 35.036560719021, -85.3085479532558 35.036597496903596, -85.30865075833866 35.0366336176607, -85.30875397006136 35.036668998686004, -85.3092457564192 35.03685279548471))","W",,"W Main St","Urban Minor Arterial","100.0","198.0","199.0","100.0","Main","2322.0","R","State","101.0","199.0","2944.0",,,"St"
"MULTILINESTRING ((-85.30958028057944 35.038454410087795, -85.30960161215482 35.038417005290526, -85.30961845720495 35.0383847382504, -85.3098124454314 35.0380132132946, -85.30985601033882 35.03793450681747, -85.30989930931386 35.037855689064784, -85.30994234212191 35.03777678746504, -85.30998507394015 35.03769777438699, -85.31002754044788 35.037618677467485, -85.31006973846654 35.03753946855544, -85.31011167203101 35.03746017580743, -85.3101533054634 35.037380771587344, -85.31019470523206 35.03730128300704, -85.31022256022523 35.03725097549988, -85.31023826913938 35.03722260452563))",,,"Cowart St","Local Street","1400","1498.0","1499.0","1400","Cowart","6121.0","R","Chattanooga","1401.0","1499.0","4973.0",,,"St"
"MULTILINESTRING ((-85.31339505478178 35.03840068346306, -85.31341093739255 35.038406681605906, -85.31367877818835 35.038507599125595, -85.31376013317782 35.03853822889404, -85.3138985046526 35.038590325013374, -85.31406658635309 35.03865376943312, -85.31424250412488 35.038722916999276, -85.31433939078084 35.03876015285973))","W",,"W Main St","Urban Minor Arterial","500.0","548.0","549.0","500.0","Main","5783.0","R","Chattanooga","501.0","549.0","2944.0",,,"St"
"MULTILINESTRING ((-85.3044157043135 35.03503066364433, -85.30421558452183 35.034954023597706, -85.30410398806279 35.03491136434821, -85.30399235813769 35.03486873222731, -85.30384427345253 35.03481228728026))","E",,"E Main St","Urban Minor Arterial","301.0","309.0","309.0","300.0","Main","6081.0","L","State","300.0","308.0","4978.0",,,"St"
"MULTILINESTRING ((-85.30009127520039 35.03338065813331, -85.30033620110417 35.03295580088877))",,,"Jefferson St","Local Street","1500","1508.0","1509.0","1500","Jefferson","926.0","R","Chattanooga","1501.0","1509.0","5018.0",,,"St"
