"the_geom","dirprefix","dirsuffix","fullname","functclass","leftfrom","leftto","maxaddress","minaddress","name","objectid","oddside","ownership","rightfrom","rightto","streetid","streetstat","typeprefix","typesuffix"
"MULTILINESTRING ((-85.3207522 35.0304366, -85.3207662 35.0304677, -85.3207489 35.0304878, -85.3207306 35.0305259, -85.3207213 35.0305504, -85.3207111 35.0306333, -85.3207459 35.0307932, -85.3207757 35.0309015, -85.3208091 35.0310719, -85.3208549 35.0312916, -85.3208941 35.0314455, -85.3209428 35.0316434, -85.3209776 35.0317394, -85.3210291 35.0318044, -85.3210607 35.0318386, -85.3211245 35.0318988, -85.3211875 35.0319396, -85.3212566 35.0319837, -85.3213645 35.0320342, -85.3214903 35.0320768, -85.3215797 35.0320757, -85.3216416 35.0320534, -85.3217678 35.031958, -85.3220128 35.0317722, -85.3222189 35.0316118, -85.3223621 35.0314653, -85.3224608 35.0313378, -85.3225071 35.0312763, -85.3225763 35.0312157, -85.3226519 35.0311741, -85.3227197 35.0311417, -85.3227451 35.0311115, -85.3227493 35.031101, -85.3227814 35.0310693, -85.322846 35.031067, -85.32296660000002 35.0310801, -85.3231202 35.0311199, -85.3232197 35.031164, -85.3233068 35.0312559, -85.3233798 35.0313887, -85.3234039 35.0315037, -85.3234342 35.0316231, -85.32349260000001 35.0317378, -85.3235525 35.0318127, -85.32365860000002 35.0319309, -85.323748 35.0320561, -85.3237945 35.0321676, -85.3238308 35.032265100000004, -85.3238564 35.032374, -85.3238871 35.0324595, -85.3239165 35.0325405, -85.3239669 35.032711, -85.3240259 35.0328977, -85.3240849 35.0330415, -85.3241639 35.033182, -85.3242096 35.0332974, -85.3242566 35.0334083, -85.3243129 35.0335664, -85.3244221 35.0337819, -85.324628 35.0341638, -85.3248137 35.0345432, -85.32491240000002 35.0348161, -85.3249722 35.0350306, -85.3250612 35.0353168, -85.3251274 35.0355442, -85.3251806 35.0358055, -85.3252492 35.036029, -85.3252785 35.0362051, -85.325312 35.0363402, -85.3253749 35.0364842, -85.325509 35.0368178, -85.3255779 35.03700560000001, -85.3256107 35.0371407, -85.3256359 35.0372083, -85.3256744 35.0372722, -85.3257064 35.037343, -85.3256902 35.0374185, -85.325636 35.0374885, -85.3255788 35.0375537, -85.325544 35.037589, -85.3255298 35.0376215, -85.32552600000001 35.037637100000005, -85.3255221 35.0377294, -85.3254272 35.0377847, -85.3253576 35.0379236, -85.3253888 35.0379852, -85.3254794 35.0380807, -85.3255512 35.0382367, -85.3255614 35.038459100000004, -85.3255575 35.0385949, -85.3254951 35.0387407, -85.3254236 35.03886640000001, -85.3253658 35.0389274, -85.3253858 35.0389977, -85.3254259 35.0390726, -85.3254893 35.0391701, -85.3254774 35.0392951, -85.3255224 35.0394415, -85.3256729 35.0395269, -85.3257121 35.0395777, -85.3258034 35.0397658, -85.3258149 35.0398969, -85.3257805 35.0399906, -85.325689 35.0401171, -85.3256633 35.0402365, -85.325709 35.0406275, -85.3257262 35.040819600000006, -85.3257176 35.041042, -85.3257748 35.0412551, -85.3258292 35.0413558, -85.3260723 35.0416228, -85.3262382 35.0418663, -85.3264098 35.0421098, -85.3265499 35.0423417, -85.3265985 35.0424494, -85.32665000000001 35.0426344, -85.3266929 35.0427468, -85.3267701 35.0428334, -85.3268245 35.0428662, -85.3268958 35.0429122, -85.3269366 35.042981, -85.3268913 35.0433005, -85.3268834 35.0436313, -85.3268516 35.0438354, -85.3268057 35.0440189, -85.3267832 35.0441198, -85.3267349 35.0442719, -85.3267254 35.0443976, -85.3267251 35.0446633, -85.3266816 35.0449646, -85.3266214 35.0453038, -85.3266209 35.0454088, -85.3265902 35.0455027, -85.3264521 35.045695, -85.3262994 35.0458183, -85.3262521 35.0458831, -85.3262067 35.0459712, -85.3261724 35.0461117, -85.3261663 35.0462487, -85.3261313 35.0463651, -85.3260264 35.0465822, -85.3259035 35.0468071, -85.3258844 35.0468698, -85.3257291 35.047209900000006, -85.3255603 35.0475892, -85.3254373 35.0479217, -85.3253372 35.0482354, -85.3252772 35.0484274, -85.3251942 35.0486288, -85.3251399 35.048863, -85.325097 35.049069, -85.3250741 35.0491814, -85.325097 35.0492306, -85.3251456 35.0492634, -85.3252319 35.0493003, -85.3252686 35.0493149, -85.3252886 35.04935, -85.3252285 35.049506900000004, -85.3250983 35.0497801, -85.3249981 35.0499565, -85.3248869 35.0500753, -85.3247506 35.0501721, -85.3246292 35.0502667, -85.3246145 35.0502824, -85.3245482 35.0503532, -85.3244849 35.0504355, -85.3244732 35.0504894, -85.32443700000002 35.0505581, -85.3243778 35.0506403, -85.324303 35.0507675, -85.3243036 35.0509062, -85.3242984 35.0510193, -85.32429230000001 35.0510977, -85.3242688 35.0512305, -85.3242157 35.0513337, -85.324163 35.0514223, -85.3240454 35.0515479, -85.3238806 35.051689, -85.3238737 35.0516949, -85.3236897 35.0518533, -85.3235748 35.0519389, -85.3234363 35.052045, -85.3233258 35.0521593, -85.3232809 35.0522261, -85.3232384 35.0522894, -85.32318440000002 35.0523602, -85.323106 35.0524281, -85.3229986 35.0524865, -85.3228727 35.0525621, -85.3227921 35.0526292, -85.3227347 35.0526993, -85.3226962 35.0527741, -85.3226761 35.0528289, -85.3226418 35.0528833))",,,,,,,,,"Tennessee Riverwalk",,,,,,,,,
"MULTILINESTRING ((-85.3227921 35.0526292, -85.3228076 35.0526498, -85.3228341 35.0526889, -85.3228235 35.0527273, -85.3227837 35.0527592, -85.322751 35.0527925, -85.3227386 35.0528432, -85.3227333 35.0528657, -85.32270940000001 35.0528794, -85.3226722 35.0528838, -85.3226418 35.0528833, -85.3226345 35.0528949, -85.3225404 35.0529698, -85.3224211 35.0530827, -85.3223576 35.0531463, -85.3223012 35.0532375, -85.3221185 35.0534272, -85.3220075 35.0535234, -85.3218439 35.0536264, -85.32140980000001 35.0539073, -85.3211051 35.0540844, -85.3210788 35.0540997, -85.3209333 35.0541975, -85.3208582 35.0542414, -85.3207606 35.0542879, -85.3202647 35.0545204, -85.3200462 35.0546152, -85.319898 35.0546778, -85.3197958 35.0547223, -85.3196351 35.054798, -85.3195426 35.0548369, -85.319479 35.0548618, -85.3193349 35.0548936, -85.3192415 35.0549094, -85.3191926 35.0549121, -85.3191475 35.0549261, -85.319102 35.0549528, -85.3190611 35.0549648, -85.3190174 35.0549636, -85.3189362 35.0549295, -85.3188541 35.0548829, -85.3188191 35.0548117, -85.3188029 35.0547411, -85.3187752 35.0546415, -85.3187674 35.0545986, -85.3186841321116 35.05445607464492))",,,,,,,,,"Tennessee Riverwalk",,,,,,,,,
"MULTILINESTRING ((-85.30761053014584 35.05484096046101, -85.30760236223776 35.054454414401974, -85.30759671732596 35.05429514570145, -85.30759120525023 35.05413584893887, -85.30758582638094 35.05397658038227, -85.30758061453835 35.05381728607257, -85.307575537853 35.053657991847324, -85.3075724488867 35.05355874062212))",,,"Walnut St","Local Street","200.0","298.0","299.0","200.0","Walnut","2820.0","R","Chattanooga","201.0","299.0","4650.0",,,"St"
"MULTILINESTRING ((-85.29714779671954 35.03226236328854, -85.29706314694172 35.032232215359365, -85.29697532742038 35.03219864666999, -85.29633018125945 35.03195419188182))","E",,"E Main St","Urban Minor Arterial","811.0","899.0","899.0","810.0","Main","9737.0","L","State","810.0","898.0","4978.0",,,"St"
"MULTILINESTRING ((-85.30441788571358 35.049501594114055, -85.30412746933284 35.04939305170646, -85.30399448266101 35.04934139281883, -85.30342331616372 35.04911949901783, -85.30342268018082 35.049119263902, -85.30302459749244 35.048971884738854))",,,"Vine St","Local Street","401.0","499.0","499.0","400.0","Vine","1566.0","L","Chattanooga","400.0","498.0","4746.0",,,"St"
"MULTILINESTRING ((-85.31986254749602 35.04084576932139, -85.31994138036029 35.0407195945332, -85.32005276207643 35.04052063605681, -85.32015004944465 35.04034505906716, -85.32024231006892 35.04017937153006, -85.3203383647011 35.04000719424383, -85.32043035277704 35.03983804326349, -85.32052565574644 35.0396678955486, -85.32059437669702 35.0395457904047, -85.32061589687903 35.039507552705075, -85.32069904400669 35.03935675838659, -85.32079166073582 35.03918802287904, -85.32090123389523 35.038989163050154, -85.32091666650517 35.038958875367214, -85.32095116566947 35.03888536976942, -85.32095345324878 35.03888049544201, -85.32100030426992 35.03879154996673, -85.32103129825259 35.03865344535713, -85.32105971315386 35.03849971369331, -85.32106527305984 35.03829291893741, -85.32102401749798 35.03809497913978, -85.32097016617561 35.037918413132424, -85.32095283903598 35.037861601918706, -85.32094216286528 35.037835838809286, -85.32092321442865 35.03779342166098))",,,"Riverfront Pkwy","Urban Principal Arterial","1500","1898.0","1899.0","1500","Riverfront","1019.0","R","Chattanooga","1501.0","1899.0","2956.0",,,"Pkwy"
"MULTILINESTRING ((-85.30882551093372 35.03148086326765, -85.30925675361854 35.031656086579694, -85.30937734388979 35.03170508511759))","W",,"W 20th St","Urban Principal Arterial","2.0","14.0","15.0","1.0","20th","7281.0","R","State","1.0","15.0","2952.0",,,"St"
"MULTILINESTRING ((-85.28733892352693 35.030474552549926, -85.28736569939949 35.03042309043638, -85.28740219057279 35.030353058295546, -85.28743881628199 35.03028308251257, -85.28747557396173 35.0302131630719, -85.28751239888041 35.03014327145287, -85.28754935687938 35.03007340734636, -85.2875863810191 35.03000359848436, -85.28762357242636 35.02993381874604, -85.28766082911899 35.02986409424686, -85.28769489209705 35.029800559550445))","S",,"S Holtzclaw Ave","Urban Principal Arterial","1300","1398.0","1399.0","1300","Holtzclaw","7020.0","R","Chattanooga","1301.0","1399.0","3031.0",,,"Ave"
"MULTILINESTRING ((-85.3135860413773 35.03335201205455, -85.31395431334803 35.033503482873655, -85.3140364156182 35.03353725148355, -85.31448023941695 35.033690858249976, -85.31469760874661 35.033771893810346, -85.31477637746693 35.033801460053205, -85.31479105059904 35.033806002206475, -85.31493905440738 35.03385182271569, -85.3150011171831 35.033875688555526, -85.31531173589072 35.033995133662124, -85.31546100318599 35.0340525318371, -85.3157347934603 35.034160019180064))","W",,"W 20th St","Urban Principal Arterial","400.0","498.0","499.0","400.0","20th","2553.0","R","Chattanooga","401.0","499.0","2952.0",,,"St"
"MULTILINESTRING ((-85.30384427345253 35.03481228728026, -85.30376906473265 35.03478363134744, -85.30363635127743 35.03473414472723, -85.30350377327868 35.03468443861133, -85.30337129824515 35.0346345128099, -85.30323899116188 35.03458436770378, -85.3031067530747 35.0345339759878, -85.30297468526115 35.034483393114556, -85.30284271894368 35.03443256311921, -85.30271088870528 35.03438154106386, -85.30257919415463 35.03433027349418, -85.3025594203294 35.03432254764283))","E",,"E Main St","Urban Minor Arterial","311.0","399.0","399.0","310.0","Main","7696.0","L","State","310.0","398.0","4978.0",,,"St"
