"gender","province","coconut_growing","hectares_under_coconut_farming","approx_no_of_coconut_trees","kilos_harvested_last_12_months"
"Female","Davao_del_Sur","Main crop","3","300","20000"
"Male","Davao_del_Sur","Do not grow","4","50","0"
"Female","Davao_del_Sur","Main crop","2.5","150","8000"
"Female","Davao_Oriental","Main crop","3.7","370","12000"
"Female","Davao_del_Norte","Main crop","2","150","5000"
"Male","Davao_del_Norte","Main crop","2","200","4300"
"Female","Davao_del_Sur","Main crop","3","300","11200"
"Female","Davao_del_Sur","Main crop","1","100","3600"
"Female","Davao_del_Sur","Main crop","1.7","150","28000"
"Female","Davao_del_Sur","Main crop","0.4","65","480"
"Male","Davao_del_Sur","Main crop","1.25","100","600"
"Male","Davao_del_Sur","Main crop","1","100","4500"
"Female","Davao_del_Sur","Main crop","1","50","4800"
"Male","Davao_del_Sur","Main crop","5","450","48000"
"Female","Davao_del_Sur","Main crop","1.5","20","16000"
"Female","Davao_del_Sur","Secondary crop","1.5","150","3000"
"Male","Davao_del_Sur","Do not grow","0","0","0"
"Female","Davao_del_Sur","Main crop","0.25","15","250"
"Male","Davao_Oriental","Main crop","1","120","381"
"Female","Davao_Oriental","Main crop","5","400","11300"
"Male","Davao_Oriental","Main crop","4.8","540","11500"
"Male","Davao_Oriental","Main crop","2.6","320","4100"
"Female","Davao_Oriental","Main crop","2","240","11300"
"Female","Davao_Oriental","Main crop","3","360","2600"
"Male","Davao_Oriental","Main crop","2","180","1500"
"Female","Davao_Oriental","Main crop","1.8","190","2980"
"Female","Davao_del_Sur","Main crop","4","400","3000"
"Female","Davao_del_Sur","Main crop","0.7","70","2000"
"Male","Davao_del_Sur","Main crop","0.7","70","2400"
"Male","Davao_del_Sur","Main crop","2.5","250","5000"
"Female","Davao_Oriental","Main crop","2.5","300","20000"
"Female","Davao_del_Norte","Main crop","0.5","200","2800"
"Male","Davao_del_Norte","Main crop","4","400","9600"
"Female","Davao_del_Sur","Main crop","4","450","28000"
"Male","Davao_del_Sur","Main crop","0.5","50","2400"
"Male","Davao_del_Norte","Main crop","3","300","12000"
"Male","Davao_del_Norte","Main crop","5","600","25600"
"Female","Davao_del_Sur","Main crop","0.5","75","700"
"Female","Davao_del_Sur","Main crop","1.25","100","2500"
"Male","Davao_del_Sur","Main crop","1.7","480","1000"
