"sex","province","district","product","n_startdate","plantedarea_ha","actual_production_kg","productioncost_usd","volume_of_sales_kg","value_of_sales_usd","num_participants"
"F","Manicaland","Chimanimani","Groundnuts","2011-06-01T00:00:00.000","0.1","27","98","0","1","1"
"F","Manicaland","Chimanimani","Groundnuts","2011-08-01T00:00:00.000","0.1","120","906","0","1","1"
"F","Manicaland","Chimanimani","Maize","2011-06-01T00:00:00.000","0.7","2500","1402","0","2","2"
"F","Manicaland","Chimanimani","Maize","2011-08-01T00:00:00.000","2.9","8500","3758","1300","641","7"
"F","Manicaland","Chimanimani","Paprika","2011-06-01T00:00:00.000","0.4","80","564","6.6","112","1"
"F","Manicaland","Chimanimani","Paprika","2011-08-01T00:00:00.000","1.3","935","1802","676","1361","5"
"F","Manicaland","Chimanimani","Sugar Beans","2011-06-01T00:00:00.000","0.2","600","450","0","1","1"
"F","Manicaland","Chimanimani","Sugar Beans","2011-08-01T00:00:00.000","1.2","2340","1828","0","4","4"
"F","Manicaland","Chipinge","Banana","2012-01-01T00:00:00.000","0.25","17616","32","17615.66","353","1"
"F","Manicaland","Chipinge","Banana","2012-04-01T00:00:00.000","0.2","5062","593","5061.75","53","1"
"F","Manicaland","Chipinge","Banana","2013-04-01T00:00:00.000","0.25","17254","20","17254.02","395","1"
"F","Manicaland","Chipinge","Banana","2011-06-01T00:00:00.000","1.15","67726","2610","67725.36","1234","5"
"F","Manicaland","Chipinge","Banana","2011-07-01T00:00:00.000","0.2","19553","754","19553","351","1"
"F","Manicaland","Chipinge","Banana","2012-07-01T00:00:00.000","0.2","76140","819","7614.03","166","1"
"F","Manicaland","Chipinge","Banana","2011-08-01T00:00:00.000","1.7","176152","868","117153.02","2462","7"
"F","Manicaland","Chipinge","Banana","2012-08-01T00:00:00.000","0.2","7963","774","7962.78","164","1"
"F","Manicaland","Chipinge","Banana","2011-09-01T00:00:00.000","1.45","97221","1715","97220.41","2079","6"
"F","Manicaland","Chipinge","Banana","2013-10-01T00:00:00.000","0.25","15888","37","15887.95","355","1"
"F","Manicaland","Chipinge","Banana","2011-11-01T00:00:00.000","0.75","40650","921","40650.61","834","3"
"F","Manicaland","Chipinge","Groundnuts","2011-06-01T00:00:00.000","0.2","300","208","300","288","1"
"F","Manicaland","Chipinge","Groundnuts","2012-07-01T00:00:00.000","0.1","300","939","0","1","1"
"F","Manicaland","Chipinge","Groundnuts","2011-08-01T00:00:00.000","0.2","270","707","0","1","1"
"F","Manicaland","Chipinge","Groundnuts","2011-09-01T00:00:00.000","0.2","300","770","85","413","1"
"F","Manicaland","Chipinge","Maize","2013-02-01T00:00:00.000","0.8","900","663","440","109","1"
"F","Manicaland","Chipinge","Maize","2012-04-01T00:00:00.000","0.2","2000","908","1000","288","1"
"F","Manicaland","Chipinge","Maize","2013-04-01T00:00:00.000","0.6","2550","82","300","542","1"
"F","Manicaland","Chipinge","Maize","2011-06-01T00:00:00.000","3.45","11200","1964","1500","423","4"
"F","Manicaland","Chipinge","Maize","2011-07-01T00:00:00.000","1","850","765","0","1","1"
"F","Manicaland","Chipinge","Maize","2012-07-01T00:00:00.000","0.4","1500","171","0","1","1"
"F","Manicaland","Chipinge","Maize","2011-08-01T00:00:00.000","2.35","9150","2651","2440","501","6"
"F","Manicaland","Chipinge","Maize","2012-08-01T00:00:00.000","0.4","2000","246","1000","288","1"
"F","Manicaland","Chipinge","Maize","2011-09-01T00:00:00.000","0.6","800","198","0","1","1"
"F","Manicaland","Chipinge","Maize","2011-11-01T00:00:00.000","1.85","1240","654","0","2","2"
"F","Manicaland","Chipinge","Millet","2011-11-01T00:00:00.000","1","530","1580","0","2","2"
"F","Manicaland","Chipinge","Paprika","2013-02-01T00:00:00.000","0.2","120","361","120","152","1"
"F","Manicaland","Chipinge","Paprika","2011-08-01T00:00:00.000","0.2","180","234","180","254","1"
"F","Manicaland","Chipinge","Sorghum","2013-02-01T00:00:00.000","2","2000","195","0","1","1"
"F","Manicaland","Chipinge","Sorghum","2013-04-01T00:00:00.000","1.5","2000","1","0","1","1"
"F","Manicaland","Chipinge","Sorghum","2011-06-01T00:00:00.000","0.25","360","574","0","1","1"
"F","Manicaland","Chipinge","Sorghum","2012-08-01T00:00:00.000","1.5","200","557","0","1","1"
"F","Manicaland","Chipinge","Sorghum","2011-11-01T00:00:00.000","0.25","450","396","0","1","1"
"F","Manicaland","Chipinge","Sugar Beans","2011-06-01T00:00:00.000","3.1","3200","2107","2700","984","4"
"F","Manicaland","Chipinge","Sugar Beans","2011-07-01T00:00:00.000","0.8","800","511","800","518","1"
"F","Manicaland","Chipinge","Sugar Beans","2012-07-01T00:00:00.000","0.1","150","140","100","109","1"
"F","Manicaland","Chipinge","Sugar Beans","2011-08-01T00:00:00.000","2.05","2294","1814","1512","730","5"
"F","Manicaland","Chipinge","Sugar Beans","2012-08-01T00:00:00.000","0.4","500","341","300","288","1"
"F","Manicaland","Chipinge","Sugar Beans","2011-09-01T00:00:00.000","0.6","544","222","450","419","2"
"F","Manicaland","Chipinge","Sugar Beans","2011-11-01T00:00:00.000","0.4","1098","272","0","1","1"
"F","Manicaland","Chipinge","Tomatoes","2013-02-01T00:00:00.000","0.2","470","694","470","438","1"
"F","Manicaland","Chipinge","Tomatoes","2011-06-01T00:00:00.000","0.1","1000","817","1000","414","1"
"F","Manicaland","Chipinge","Tomatoes","2011-08-01T00:00:00.000","0.1","1440","892","1344","458","1"
"F","Manicaland","Chipinge","Tomatoes","2011-09-01T00:00:00.000","0.1","1034","1","1034","310","1"
"F","Manicaland","Makoni","Groundnuts","2012-04-01T00:00:00.000","0.3","450","486","120","152","1"
"F","Manicaland","Makoni","Groundnuts","2011-12-01T00:00:00.000","0.4","300","409","0","1","1"
"F","Manicaland","Makoni","Maize","2012-04-01T00:00:00.000","3.2","17000","1212","7000","200","2"
"F","Manicaland","Makoni","Maize","2011-12-01T00:00:00.000","0.6","1500","300","0","1","1"
"F","Manicaland","Makoni","Paprika","2012-04-01T00:00:00.000","1.15","1300","1039","1300","62","2"
"F","Manicaland","Makoni","Paprika","2011-12-01T00:00:00.000","0.4","820","506","820","72","1"
"F","Manicaland","Makoni","Sunflower","2012-04-01T00:00:00.000","0.4","300","906","150","389","1"
"F","Manicaland","Makoni","Tobacco","2012-04-01T00:00:00.000","0.5","1724","648","1724","455","1"
"F","Manicaland","Mutasa","Banana","2012-01-01T00:00:00.000","2.3","15600","928","14550","273","2"
"F","Manicaland","Mutasa","Banana","2012-02-01T00:00:00.000","1.3","27400","52","27100","515","1"
"F","Manicaland","Mutasa","Banana","2012-03-01T00:00:00.000","2.4","34759","1112","33059","582","2"
"F","Manicaland","Mutasa","Banana","2013-05-01T00:00:00.000","1.5","20724","1031","19954","904","2"
"F","Manicaland","Mutasa","Banana","2011-06-01T00:00:00.000","0.15","3580","655","3060","499","1"
"F","Manicaland","Mutasa","Banana","2012-06-01T00:00:00.000","1.2","16873","663","16273","352","1"
"F","Manicaland","Mutasa","Banana","2011-07-01T00:00:00.000","2.9","33998","2317","32047.8","1051","3"
"F","Manicaland","Mutasa","Banana","2011-12-01T00:00:00.000","0.1","114","243","114","303","1"
"F","Manicaland","Mutasa","Ginger","2012-06-01T00:00:00.000","0.8","600","793","550","324","1"
"F","Manicaland","Mutasa","Maize","2012-01-01T00:00:00.000","1.1","1820","1026","0","2","2"
"F","Manicaland","Mutasa","Maize","2012-02-01T00:00:00.000","1.6","1550","809","0","3","3"
"F","Manicaland","Mutasa","Maize","2012-03-01T00:00:00.000","0.3","954","528","0","2","2"
"F","Manicaland","Mutasa","Maize","2013-05-01T00:00:00.000","0.5","800","632","0","1","1"
"F","Manicaland","Mutasa","Maize","2011-06-01T00:00:00.000","0.2","108","631","0","1","1"
"F","Manicaland","Mutasa","Maize","2012-06-01T00:00:00.000","0.6","400","158","170","413","1"
"F","Manicaland","Mutasa","Maize","2011-07-01T00:00:00.000","0.3","230","109","0","1","1"
"F","Manicaland","Mutasa","Sugar Beans","2012-01-01T00:00:00.000","0.12","77","395","0","1","1"
"F","Manicaland","Mutasa","Sugar Beans","2012-03-01T00:00:00.000","0.38","144","927","90","109","1"
"F","Manicaland","Mutasa","Sugar Beans","2013-05-01T00:00:00.000","0.1","130","777","0","1","1"
"F","Manicaland","Mutasa","Sugar Beans","2011-06-01T00:00:00.000","0.03","58","907","0","1","1"
"F","Manicaland","Mutasa","Sugar Beans","2011-07-01T00:00:00.000","0.2","140","1026","90","121","2"
"F","Manicaland","Mutasa","Sweet Potatoes","2012-01-01T00:00:00.000","0.8","4130","505","3880","508","1"
"F","Manicaland","Mutasa","Sweet Potatoes","2012-02-01T00:00:00.000","0.01","90","716","90","115","1"
"F","Manicaland","Mutasa","Sweet Potatoes","2011-06-01T00:00:00.000","0.1","610","579","480","109","1"
"F","Manicaland","Mutasa","Tabasco Chilli","2012-02-01T00:00:00.000","0.25","487","159","487","238","1"
"F","Manicaland","Mutasa","Tabasco Chilli","2011-12-01T00:00:00.000","0.25","792","267","792","370","1"
"F","Manicaland","Mutasa","Yam","2012-01-01T00:00:00.000","0.3","730","1","630","225","1"
"F","Manicaland","Mutasa","Yam","2013-05-01T00:00:00.000","0.2","1150","1","910","248","1"
