"fiscal_year","female_1","female_2","male_1","male_2","total"
"2015","6216","65.9","3214","34.1","9430"
"2016","6133","66.0","3155","34.0","9288"
"2017","6219","65.9","3222","34.1","9441"
"2018","6164","65.8","3203","34.2","9367"
