"fiscal_year","asian_1","asian_2","black_or_african_american_1","black_or_african_american_2","hispanic_1","hispanic_2","native_hawaiian_or_pacific_islander_1","native_hawaiian_or_pacific_islander_2","two_or_more_1","two_or_more_2","white_1","white_2","total"
"2015","5","0.6","8","0.9","8","0.9","0","0.0","3","0.3","42","4.6","66"
"2016","3","0.4","9","1.3","3","0.4","0","0.0","0","0.0","35","5.1","50"
"2017","5","0.4","12","1.0","8","0.7","1","0.1","1","0.1","54","4.4","81"
"2018","3","0.3","8","0.8","8","0.8","0","0.0","1","0.1","39","4.0","59"
