"pd_id","brand_name","model_number","additional_model_information","upc","type","annual_energy_use_kwh_year","us_federal_standard_kwh_year","better_than_us_federal_standard_kwh_year","energy_factor_ef","water_use_gallons_cycle","us_federal_standard_gallons_cycle","better_than_us_federal_standard_gallons_cycle","connected_functionality","connects_using","communication_standard_application_layer","direct_on_premises_open_standard_based_interconnection","date_available_on_market","date_qualified","markets","energy_star_model_identifier","meets_most_efficient_criteria"
"2354190","Bosch","SHS843AF**","","825225963134","Standard","269","307","12",,"3.5","5","30","No","","","","2020-02-03T00:00:00.000","2020-01-28T00:00:00.000","United States, Canada","ES_31649_SHS843AF**_01212020091911_2424280","No"
"2386945","Bosch","SHS863WD**",",SHS863WD**,First ""*"" is for the color, 2nd ""*"" is for location","825225922049;825225922261;825225922278","Standard","269","307","12",,"2.9","5","42","No","","","","2016-11-09T00:00:00.000","2021-11-01T00:00:00.000","United States, Canada","ES_31649_SHS863WD**_10272021101707_828647","No"
"2341466","Bosch","SHSM4AZ55N",",SHSM4AZ55N,1st*-Year mfg, 2nd*-Version, 3rd*-Color","825225961208","Standard","269","307","12",,"3.2","5","36","No","","","","2019-08-09T00:00:00.000","2016-08-11T00:00:00.000","United States, Canada","ES_31649_SHSM4AZ55N_07152019165003_3689386","No"
"2386942","Bosch","SHSM63W5**",",SHSM63W5**,First ""*"" is for the color, 2nd ""*"" is for location","825225922315;825225922322;825225922537","Standard","269","307","12",,"2.9","5","42","No","","","","2016-11-09T00:00:00.000","2021-11-01T00:00:00.000","United States, Canada","ES_31649_SHSM63W5**_10272021101707_6368830","No"
"2399308","Bosch","SHV78B73UC","","825225968290","Standard","269","307","12",,"3.5","5","30","Yes","","","","2022-05-27T00:00:00.000","2020-12-10T00:00:00.000","United States, Canada","ES_31649_SHV78B73UC_06232022103648_4374353","No"
"2386948","Bosch","SHV863WD**",",SHV863WD**,First ""*"" is for the color, 2nd ""*"" is for location","825225922452","Standard","269","307","12",,"2.9","5","42","No","","","","2016-11-09T00:00:00.000","2021-11-01T00:00:00.000","United States, Canada","ES_31649_SHV863WD**_10272021101708_9784001","No"
"2282873","Bosch","SHV878WD#*",",SHV878WD#*,""#"" is for the color,  ""*"" is for location","825225922988","Standard","269","307","12",,"2.9","5","42","No","","","","2016-11-09T00:00:00.000","2016-10-26T00:00:00.000","United States, Canada","ES_31649_SHV878WD#*_10272016211527_108097","No"
"2338255","Bosch","SHV878ZD#*",",SHV878ZD#*,1st # - Color Code, 2nd * - Country Code","825225958673","Standard","269","307","12",,"3.5","5","30","No","","","","2019-05-30T00:00:00.000","2019-05-15T00:00:00.000","United States, Canada","ES_31649_SHV878ZD#*_05142019152636_5275973","No"
"2338226","Bosch","SHV88PZ5#*",",SHV88PZ5#*,1st # - Color Code, 2nd * - Country Code","825225958680","Standard","269","307","12",,"3.5","5","30","No","","","","2019-05-30T00:00:00.000","2019-05-15T00:00:00.000","United States, Canada","ES_31649_SHV88PZ5#*_04302019144743_4579568","No"
"2338227","Bosch","SHV88PZ6#*",",SHV88PZ6#*,1st # - Color Code, 2nd * - Country Code","825225958789","Standard","269","307","12",,"3.5","5","30","No","","","","2019-05-30T00:00:00.000","2019-05-15T00:00:00.000","United States, Canada","ES_31649_SHV88PZ6#*_04302019144743_5386735","No"
"2296727","Bosch","SHV89PW7#*","","825225928881","Standard","269","307","12",,"2.9","5","42","No","","","","2017-05-01T00:00:00.000","2017-05-30T00:00:00.000","United States, Canada","ES_31649_SHV89PW7#*_05302017080726_9377253","No"
"2386944","Bosch","SHVM63W5**",",SHVM63W5**,First ""*"" is for the color, 2nd ""*"" is for location","825225922469","Standard","269","307","12",,"2.9","5","42","No","","","","2016-11-09T00:00:00.000","2021-11-01T00:00:00.000","United States, Canada","ES_31649_SHVM63W5**_10272021101707_4449692","No"
"2282870","Bosch","SHVM78W5#*",",SHVM78W5#*,""#"" is for the color,  ""*"" is for location","825225923077","Standard","269","307","12",,"2.9","5","42","No","","","","2016-11-09T00:00:00.000","2016-10-26T00:00:00.000","United States, Canada","ES_31649_SHVM78W5#*_10272016211527_7915744","No"
"2338256","Bosch","SHVM78Z5#*",",SHVM78Z5#*,1st # - Color Code, 2nd * - Country Code","825225958697","Standard","269","307","12",,"3.5","5","30","No","","","","2019-05-30T00:00:00.000","2019-05-15T00:00:00.000","United States, Canada","ES_31649_SHVM78Z5#*_05142019152636_2901697","No"
"2338246","Bosch","SHVM88Z7#*",",SHVM88Z7#*,1st # - Color Code, 2nd * - Country Code","825225958703","Standard","269","307","12",,"3.5","5","30","No","","","","2019-05-30T00:00:00.000","2019-05-15T00:00:00.000","United States, Canada","ES_31649_SHVM88Z7#*_05142019163524_2075120","No"
"2286748","Bosch","SHVM98W7#*","","825225923930","Standard","269","307","12",,"2.9","5","42","No","","","No","2016-11-16T00:00:00.000","2016-12-21T00:00:00.000","United States, Canada","ES_31649_SHVM98W7#*_12052016214025_2683816","No"
"2248710","Bosch","SHX3AR5*UC","","825225898702;825225898719;825225898924","Standard","269","307","12",,"3.2","5","36","No","","","","2011-04-15T00:00:00.000","2014-12-31T00:00:00.000","United States, Canada","ES_31649_SHX3AR5*UC_12302014160021_15794","No"
"2248709","Bosch","SHX3AR7*UC","","825225898931;825225899105;825225899211","Standard","269","307","12",,"3.2","5","36","No","","","","2011-04-15T00:00:00.000","2014-12-31T00:00:00.000","United States, Canada","ES_31649_SHX3AR7*UC_12302014160021_8125405","No"
"2399309","Bosch","SHX78B75UC","","825225968573","Standard","269","307","12",,"3.5","5","30","Yes","","","","2022-05-27T00:00:00.000","2020-12-10T00:00:00.000","United States, Canada","ES_31649_SHX78B75UC_06232022103649_2384455","No"
"2318545","Bosch","SHX84A****",",SHX84A****,1st*-Year mfg, 2nd*-Version, 3rd*-Color","825225955399","Standard","269","307","12",,"3.2","5","36","No","","","","2018-05-21T00:00:00.000","2016-08-11T00:00:00.000","United States, Canada","ES_31649_SHX84A****_04112018201302_3811609","No"
"2354105","Bosch","SHX84AAF**",",SHX84AAF**,","825225962397","Standard","269","307","12",,"3.2","5","36","No","","","","2020-01-24T00:00:00.000","2015-01-29T00:00:00.000","United States, Canada","ES_31649_SHX84AAF**_01132020082635_6943170","No"
"2386947","Bosch","SHX863WD**",",SHX863WD**,First ""*"" is for the color, 2nd ""*"" is for location","825225922476","Standard","269","307","12",,"2.9","5","42","No","","","","2016-11-09T00:00:00.000","2021-11-01T00:00:00.000","United States, Canada","ES_31649_SHX863WD**_10272021101707_130484","No"
"2282866","Bosch","SHX878WD#*",",SHX878WD#*,""#"" is for the color,  ""*"" is for location","825225922056;825225922919;825225922926","Standard","269","307","12",,"2.9","5","42","No","","","","2016-11-09T00:00:00.000","2016-10-26T00:00:00.000","United States, Canada","ES_31649_SHX878WD#*_10272016211527_9034387","No"
"2338257","Bosch","SHX878ZD#*",",SHX878ZD#*,1st # - Color Code, 2nd * - Country Code","825225958710;825225958727;825225958734","Standard","269","307","12",,"3.5","5","30","No","","","","2019-05-30T00:00:00.000","2019-05-15T00:00:00.000","United States, Canada","ES_31649_SHX878ZD#*_05142019152636_6238272","No"
"2282875","Bosch","SHX87PW5#*",",SHX87PW5#*,""#"" is for the color,  ""*"" is for location","825225923879","Standard","269","307","12",,"2.9","5","42","No","","","","2016-11-09T00:00:00.000","2016-10-26T00:00:00.000","United States, Canada","ES_31649_SHX87PW5#*_10272016211527_4203736","No"
"2338247","Bosch","SHX87PZ5#*",",SHX87PZ5#*,1st # - Color Code, 2nd * - Country Code","825225957973","Standard","269","307","12",,"3.5","5","30","No","","","","2019-05-30T00:00:00.000","2019-05-15T00:00:00.000","United States, Canada","ES_31649_SHX87PZ5#*_05142019163524_679110","No"
"2338243","Bosch","SHX87PZZ#*",",SHX87PZZ#*,1st # - Color Code, 2nd * - Country Code","825225957980","Standard","269","307","12",,"3.5","5","30","No","","","","2019-05-30T00:00:00.000","2019-05-15T00:00:00.000","United States, Canada","ES_31649_SHX87PZZ#*_05142019163523_8016778","No"
"2338228","Bosch","SHX88PZ5#*",",SHX88PZ5#*,1st # - Color Code, 2nd * - Country Code","825225957577","Standard","269","307","12",,"3.5","5","30","No","","","","2019-05-30T00:00:00.000","2019-05-15T00:00:00.000","United States, Canada","ES_31649_SHX88PZ5#*_04302019144743_2715091","No"
"2338229","Bosch","SHX88PZ6#*",",SHX88PZ6#*,1st # - Color Code, 2nd * - Country Code","825225958796","Standard","269","307","12",,"3.5","5","30","No","","","","2019-05-30T00:00:00.000","2019-05-15T00:00:00.000","United States, Canada","ES_31649_SHX88PZ6#*_04302019144743_4406061","No"
"2296728","Bosch","SHX89PW7#*","","825225928867","Standard","269","307","12",,"2.9","5","42","No","","","","2017-05-01T00:00:00.000","2017-05-30T00:00:00.000","United States, Canada","ES_31649_SHX89PW7#*_05302017111307_8538171","No"
"2318544","Bosch","SHXM4A****",",SHXM4A****,1st*-Year mfg, 2nd*-Version, 3rd*-Color","825225955368;825225955375;825225955382;825225956952","Standard","269","307","12",,"3.2","5","36","No","","","","2018-05-21T00:00:00.000","2016-08-11T00:00:00.000","United States, Canada","ES_31649_SHXM4A****_04112018201301_3722955","No"
"2386943","Bosch","SHXM63W5**",",SHXM63W5**,First ""*"" is for the color, 2nd ""*"" is for location","825225922483;825225923640","Standard","269","307","12",,"2.9","5","42","No","","","","2016-11-09T00:00:00.000","2021-11-01T00:00:00.000","United States, Canada","ES_31649_SHXM63W5**_10272021101707_4591928","No"
"2280455","Bosch","SHXM63WS#*",",SHXM63WS#*,""#"" is for the color,  ""*"" is for location","825225923640","Standard","269","307","12",,"2.9","5","42","No","","","","2016-11-09T00:00:00.000","2016-09-30T00:00:00.000","United States, Canada","ES_31649_SHXM63WS#*_09282016101525_3181421","No"
"2338236","Bosch","SHXM65Z5#*",",SHXM65Z5#*,1st # - Color Code, 2nd * - Country Code","825225957553","Standard","269","307","12",,"3.5","5","30","No","","","","2019-05-30T00:00:00.000","2019-05-15T00:00:00.000","United States, Canada","ES_31649_SHXM65Z5#*_05092019131530_7257767","No"
"2319360","Bosch","SHXM78****",",SHXM78****,1st*-Year mfg, 2nd*-Version, 3rd*-Color		4th*-Country		","825225922919","Standard","269","307","12",,"2.9","5","42","No","","","","2016-11-09T00:00:00.000","2016-10-26T00:00:00.000","United States, Canada","ES_31649_SHXM78****_04102018211527_1673846","No"
"2282869","Bosch","SHXM78W5#*",",SHXM78W5#*,""#"" is for the color,  ""*"" is for location","825225922995;825225923008;825225923015;825225955931","Standard","269","307","12",,"2.9","5","42","No","","","","2016-11-09T00:00:00.000","2016-10-26T00:00:00.000","United States, Canada","ES_31649_SHXM78W5#*_10272016211527_8554764","No"
"2338249","Bosch","SHXM78Z5#*",",SHXM78Z5#*,1st # - Color Code, 2nd * - Country Code","825225958741;825225958758;825225958765;825225958772","Standard","269","307","12",,"3.5","5","30","No","","","","2019-05-30T00:00:00.000","2019-05-15T00:00:00.000","United States, Canada","ES_31649_SHXM78Z5#*_05142019141935_9598962","No"
