"remote","long_name","label","routes","transfers","color","express","closed","point_x_city","point_x","point_y","full_fare","senoir_discount","day_afas_unlimited_1","day_afas_unlimited_2","joint_railroad_ticket","day_unlimited_1","day_unlimited_2","transitcheck_metrocard","railroad_unlimited","annual_transitcheck_metrocard","mail_ride_ezpay_express","mail_ride_ezpay_unlimited","airtrain_full_fare"
"307","138th St / Grand Concourse (4,5) Bronx","138th St / Grand Concourse (4,5)","45","45","GREEN",,,"Bronx","POINT (-73.929918 40.813077)","40.813077","6460","165","34","70","1","2679","2136","21","1","196","17","10","7"
"205","149th St / Grand Concourse (4) Bronx","149th St / Grand Concourse (4)","4","245","GREEN",,,"Bronx","POINT (-73.927406 40.818348)","40.818348","20886","755","148","251","14","12564","9371","35","5","2100","32","36","49"
"205","149th St / Grand Concourse (2,5) Bronx","149th St / Grand Concourse (2,5)","25","245","RED-GREEN",,,"Bronx","POINT (-73.927271 40.818553)","40.818553000000001","20886","755","148","251","14","12564","9371","35","5","2100","32","36","49"
"195","161st St / Yankee Stadium (B,D,4) Bronx","161st St / Yankee Stadium (B,D,4)",,,"GREEN-ORANGE",,,"Bronx","POINT (-73.925847 40.827963)","40.827962999999997","44676","1851","287","720","18","27351","19255","71","30","1646","86","78","188"
"104","167th St (B,D) Bronx","167th St (B,D)",,,"ORANGE",,,"Bronx","POINT (-73.91768 40.834513)","40.834513000000001","20135","686","94","167","4","12409","7922","32","2","673","30","20","99"
"221","167th St (4) Bronx","167th St (4)","4","4","GREEN",,,"Bronx","POINT (-73.921296 40.835691)","40.835690999999997","19878","570","104","168","1","13711","8293","29","3","740","38","37","46"
"443","170th St (B,D) Bronx","170th St (B,D)",,,"ORANGE",,,"Bronx","POINT (-73.913686 40.83884)","40.838839999999998","14210","620","80","135","0","9532","5434","20","5","493","3","21","73"
"243","170th St (4) Bronx","170th St (4)","4","4","GREEN",,,"Bronx","POINT (-73.917705 40.840203)","40.840203000000002","20715","752","76","182","2","13365","6874","27","0","578","22","35","60"
"386","174th St (2,5) Bronx","174th St (2,5)","25","25","RED-GREEN",,,"Bronx","POINT (-73.887682 40.837349)","40.837349000000003","14602","484","111","225","3","9117","4629","17","3","486","21","16","30"
"253","174th St / 175th St (B,D) Bronx","174th St / 175th St (B,D)",,,"ORANGE",,,"Bronx","POINT (-73.910174 40.845914)","40.845914","11924","453","48","120","0","5844","4162","13","3","299","22","36","43"
