"name","long_name","label","routes","transfers","color","express","closed","remote","point_x","point_x_city","point_x_state","point_y","oid","station","full_fare","senior_discount","day_afas_unlimited_1","day_afas_unlimited_2","joint_railroad_ticket","day_unlimited_1","day_unlimited_2","transitcheck_metrocard","railroad_unlimited","annual_transitcheck_metrocard","mail_ride_ezpay_express","mail_ride_ezpay_unlimited","airtrain_full_fare"
"138th St","138th St / Grand Concourse (4,5) Bronx","138th St / Grand Concourse (4,5)","45","45","GREEN",,,"307","POINT (-73.929918 40.813077)","Bronx","NY","40.813077","307","138TH ST-GRAND CONCOURSE      ","9252","249","46","113","0","4212","3486","25","5","265","48","20","27"
"149th St","149th St / Grand Concourse (4) Bronx","149th St / Grand Concourse (4)","4","245","GREEN",,,"205","POINT (-73.927406 40.818348)","Bronx","NY","40.818348","205","149TH ST-GRAND CONCOURSE      ","30882","1242","244","358","22","20637","16381","68","16","2887","97","85","110"
"149th St","149th St / Grand Concourse (2,5) Bronx","149th St / Grand Concourse (2,5)","25","245","RED-GREEN",,,"205","POINT (-73.927271 40.818553)","Bronx","NY","40.818553000000001","205","149TH ST-GRAND CONCOURSE      ","30882","1242","244","358","22","20637","16381","68","16","2887","97","85","110"
"161st St","161st St / Yankee Stadium (B,D,4) Bronx","161st St / Yankee Stadium (B,D,4)",,,"GREEN-ORANGE",,,"195","POINT (-73.925847 40.827963)","Bronx","NY","40.827962999999997","195","161ST STREET-YANKEE STADIUM   ","52095","2591","392","915","39","36338","26774","111","99","2192","175","129","178"
"167th St","167th St (B,D) Bronx","167th St (B,D)",,,"ORANGE",,,"104","POINT (-73.91768 40.834513)","Bronx","NY","40.834513000000001","104","167TH ST-GRAND CONCOURSE      ","20219","754","104","187","1","15353","9730","43","2","779","32","36","77"
"167th St","167th St (4) Bronx","167th St (4)","4","4","GREEN",,,"221","POINT (-73.921296 40.835691)","Bronx","NY","40.835690999999997","221","167TH STREET-RIVER AVENUE     ","23827","696","116","201","4","18473","10966","40","4","965","34","54","34"
"170th St","170th St (B,D) Bronx","170th St (B,D)",,,"ORANGE",,,"443","POINT (-73.913686 40.83884)","Bronx","NY","40.838839999999998","443","170TH STREET-GRAND CONC.      ","15081","723","77","219","6","12566","6842","27","6","530","12","28","38"
"170th St","170th St (4) Bronx","170th St (4)","4","4","GREEN",,,"243","POINT (-73.917705 40.840203)","Bronx","NY","40.840203000000002","243","170TH STREET-JEROME AVENUE    ","22967","961","105","229","0","17865","8721","50","0","714","23","36","54"
"174th St","174th St (2,5) Bronx","174th St (2,5)","25","25","RED-GREEN",,,"386","POINT (-73.887682 40.837349)","Bronx","NY","40.837349000000003","386","174TH STREET-SOUTHERN BLVD    ","15506","629","142","241","5","12510","6304","21","1","655","27","32","34"
"174th St","174th St / 175th St (B,D) Bronx","174th St / 175th St (B,D)",,,"ORANGE",,,"253","POINT (-73.910174 40.845914)","Bronx","NY","40.845914","253","174TH-175TH ST-GRAND CONCOU   ","12620","546","56","159","0","7655","5391","31","5","351","18","40","49"
"176th St","176th St (4) Bronx","176th St (4)","4","4","GREEN",,,"309","POINT (-73.911694 40.848646)","Bronx","NY","40.848646000000002","309","176TH STREET-JEROME AVENUE    ","14616","526","85","188","1","10588","5443","20","2","425","10","10","17"
"182nd St","182nd St / 183rd St (B,D) Bronx","182nd St / 183rd St (B,D)",,,"ORANGE",,,"237","POINT (-73.900271 40.856816)","Bronx","NY","40.856816000000002","237","182ND STREET-183RD STREET     ","12785","568","44","89","1","7411","4260","20","0","316","23","15","25"
"183rd St","183rd St (4) Bronx","183rd St (4)","4","4","GREEN",,,"275","POINT (-73.903962 40.858367)","Bronx","NY","40.858367000000001","275","183RD STREET-JEROME AVENUE    ","17995","519","73","101","0","11408","5749","11","8","399","20","18","30"
"205th St","205th St / Norwood (D) Bronx","205th St / Norwood (D)",,,"ORANGE",,,"157","POINT (-73.879427 40.874979)","Bronx","NY","40.874979000000003","157","205TH ST-BAINBRIDGE AVE       ","18700","787","121","262","8","11090","9822","42","26","740","50","38","109"
"219th St","219th St (2,5) Bronx","219th St (2,5)","25","25","RED-GREEN",,,"365","POINT (-73.8628 40.883579)","Bronx","NY","40.883578999999997","365","219TH ST-WHITE PLAINS ROAD    ","9686","339","54","102","0","4857","3006","40","0","222","8","9","18"
"225th St","225th St (2,5) Bronx","225th St (2,5)","25","25","RED-GREEN",,,"366","POINT (-73.860425 40.88781)","Bronx","NY","40.887810000000002","366","225TH ST-WHITE PLAINS ROAD    ","12668","449","43","114","1","6128","3487","48","0","263","16","30","13"
"231st St","231st St (1) Bronx","231st St (1)","1","1","RED",,,"40","POINT (-73.904784 40.87891)","Bronx","NY","40.878909999999998","40","231ST STREET                  ","19935","1662","163","446","9","11266","13092","69","9","801","156","94","58"
