"remote","name","alt_name","cross_st","label","routes","transfers","color","express","closed","point_x_city","point_x","point_y","point_x_state","full_fare","senior_discount","day_ada_farecard_access_system","day_ada_farecard_access_system_reduced_fare_media_unlimited","joint_railroad_ticket","day_unlimited_1","day_unlimited_2","transit_check_metrocard","rail_road_unlimited","annual_transit_check_metro_card","mail_and_ride_ezpay_express","mail_and_ride_ezpay_unlimited","airtrain_full_fare"
"307","138th St","Grand Concourse","Grand Concourse","138th St / Grand Concourse (4,5)","4,5","4,5","GREEN"," "," ","Bronx","POINT (-73.929918 40.813077)","40.813077","NY","7566","219","42","83","0","3163","2881","12","3","229","23","12","11"
"205","149th St","Grand Concourse","Grand Concourse","149th St / Grand Concourse (4)","4","2,4,5","GREEN","express"," ","Bronx","POINT (-73.927406 40.818348)","40.818348","NY","27092","985","187","313","8","16763","14411","52","11","2383","52","53","106"
"205","149th St","Grand Concourse","Grand Concourse","149th St / Grand Concourse (2,5)","2,5","2,4,5","RED-GREEN","express"," ","Bronx","POINT (-73.927271 40.818553)","40.818553000000001","NY","27092","985","187","313","8","16763","14411","52","11","2383","52","53","106"
"195","161st St","Yankee Stadium","River Ave","161st St / Yankee Stadium (B,D,4)","B,D,4","B,D,4","GREEN-ORANGE"," "," ","Bronx","POINT (-73.925847 40.827963)","40.827962999999997","NY","49002","2333","355","788","24","31247","23288","74","39","1823","117","116","177"
"104","167th St"," ","Grand Concourse","167th St (B,D)","B,D","B,D","ORANGE"," "," ","Bronx","POINT (-73.91768 40.834513)","40.834513000000001","NY","19584","755","82","199","3","13627","9116","38","1","693","24","24","74"
"221","167th St"," ","River Ave","167th St (4)","4","4","GREEN"," "," ","Bronx","POINT (-73.921296 40.835691)","40.835690999999997","NY","22396","720","97","195","1","16093","9969","36","6","819","31","45","46"
"443","170th St"," ","Grand Concourse","170th St (B,D)","B,D","B,D","ORANGE"," "," ","Bronx","POINT (-73.913686 40.83884)","40.838839999999998","NY","14773","646","61","198","4","10760","6132","14","7","470","17","24","53"
"243","170th St"," ","Jerome Ave","170th St (4)","4","4","GREEN"," "," ","Bronx","POINT (-73.917705 40.840203)","40.840203000000002","NY","21845","785","85","219","0","15617","8100","23","2","696","18","32","56"
"386","174th St"," ","Southern Blvd","174th St (2,5)","2,5","2,5","RED-GREEN"," "," ","Bronx","POINT (-73.887682 40.837349)","40.837349000000003","NY","14747","568","112","226","3","10627","5760","19","1","558","29","26","32"
"253","174th St","175th St","Grand Concourse","174th St / 175th St (B,D)","B,D","B,D","ORANGE"," "," ","Bronx","POINT (-73.910174 40.845914)","40.845914","NY","11787","521","53","117","0","6729","4944","22","2","278","14","37","46"
"309","176th St"," ","Jerome Ave","176th St (4)","4","4","GREEN"," "," ","Bronx","POINT (-73.911694 40.848646)","40.848646000000002","NY","13943","449","53","185","0","9191","5018","26","0","381","11","10","16"
"237","182nd St","183rd St","Grand Concourse","182nd St / 183rd St (B,D)","B,D","B,D","ORANGE"," "," ","Bronx","POINT (-73.900271 40.856816)","40.856816000000002","NY","12562","534","35","90","3","6202","3900","13","0","268","22","12","33"
"275","183rd St"," ","Jerome Ave","183rd St (4)","4","4","GREEN"," "," ","Bronx","POINT (-73.903962 40.858367)","40.858367000000001","NY","16886","524","64","120","1","9945","5181","17","4","331","20","24","27"
"157","205th St","Norwood","Bainbridge Ave","205th St / Norwood (D)","D","D","ORANGE"," "," ","Bronx","POINT (-73.879427 40.874979)","40.874979000000003","NY","17398","710","92","255","1","8984","8793","31","18","647","31","35","118"
"365","219th St"," ","White Plains Rd","219th St (2,5)","2,5","2,5","RED-GREEN"," "," ","Bronx","POINT (-73.8628 40.883579)","40.883578999999997","NY","8931","316","47","79","0","3990","2803","25","0","225","4","7","31"
"366","225th St"," ","White Plains Rd","225th St (2,5)","2,5","2,5","RED-GREEN"," "," ","Bronx","POINT (-73.860425 40.88781)","40.887810000000002","NY","11648","448","43","118","1","5393","3018","27","2","277","14","17","23"
"40","231st St"," ","Broadway","231st St (1)","1","1","RED"," "," ","Bronx","POINT (-73.904784 40.87891)","40.878909999999998","NY","18005","1384","142","391","2","9116","11519","58","11","678","113","85","53"
"367","233rd St"," ","White Plains Rd","233rd St (2,5)","2,5","2,5","RED-GREEN"," "," ","Bronx","POINT (-73.857349 40.893393)","40.893393000000003","NY","12668","662","85","164","1","6607","4345","14","1","379","12","16","18"
"306","238th St"," ","Broadway","238th St (1)","1","1","RED"," "," ","Bronx","POINT (-73.900641 40.885077)","40.885077000000003","NY","9461","472","33","84","3","2724","4856","58","11","283","84","32","51"
"145","241st St","Wakefield","White Plains Rd","241st St / Wakefield (2)","2","2","RED"," "," ","Bronx","POINT (-73.850375 40.903428)","40.903427999999998","NY","13400","405","64","102","3","6292","3553","13","1","270","10","19","122"
"117","242nd St","Van Cortlandt Park","Broadway","242nd St (1)","1","1","RED"," "," ","Bronx","POINT (-73.898506 40.889424)","40.889423999999998","NY","13055","546","53","166","2","5288","6633","56","11","407","149","27","40"
"445","3rd Ave","138th St","138th St","3rd Ave / 138th St (6)","6","6","GREEN","express"," ","Bronx","POINT (-73.927194 40.810995)","40.810994999999998","NY","16670","681","120","203","2","11104","6993","22","7","571","26","22","28"
"53","3rd Ave","149th St","149th St","3rd Ave / 149th St (2,5)","2,5","2,5","RED-GREEN","express"," ","Bronx","POINT (-73.917642 40.816061)","40.816060999999998","NY","43989","1692","297","686","2","34272","20869","70","8","2043","69","54","152"
"362","Allerton Ave"," ","White Plains Rd","Allerton Ave (2,5)","2,5","2,5","RED-GREEN"," "," ","Bronx","POINT (-73.86732 40.865434)","40.865434","NY","7577","362","61","108","2","3669","2694","28","1","180","11","7","29"
"292","Baychester Ave"," ","Tillotson Ave","Baychester Ave (5)","5","5","GREEN"," "," ","Bronx","POINT (-73.838591 40.878663)","40.878663000000003","NY","9685","306","18","42","1","3468","2811","34","0","283","11","5","43"
"156","Bedford Park Blvd"," ","Grand Concourse","Bedford Park Blvd (B,D)","B,D","B,D","ORANGE"," "," ","Bronx","POINT (-73.887873 40.872109)","40.872109000000002","NY","13237","672","74","203","5","6385","7056","42","1","528","138","38","42"
"183","Bedford Park Blvd","Lehman College","Jerome Ave","Bedford Park Blvd / Lehman College (4)","4","4","GREEN"," "," ","Bronx","POINT (-73.889781 40.873596)","40.873595999999999","NY","12314","460","70","158","1","6468","6032","21","3","402","43","25","29"
"389","Bronx Park East"," ","White Plains Rd","Bronx Park East (2,5)","2,5","2,5","RED-GREEN"," "," ","Bronx","POINT (-73.868356 40.848991)","40.848990999999998","NY","6304","199","51","55","0","3219","2597","20","0","166","19","7","14"
"446","Brook Ave"," ","E 138th St","Brook Ave (6)","6","6","GREEN"," "," ","Bronx","POINT (-73.919237 40.807568)","40.807568000000003","NY","15596","658","114","126","3","9582","5096","5","4","411","20","32","19"
"428","Buhre Ave"," ","Westchester Ave","Buhre Ave (6)","6","6","GREEN"," "," ","Bronx","POINT (-73.83226 40.847026)","40.847026","NY","8462","449","31","49","0","2457","3469","57","3","240","56","10","17"
"363","Burke Ave"," ","White Plains Rd","Burke Ave (2,5)","2,5","2,5","RED-GREEN"," "," ","Bronx","POINT (-73.867173 40.871435)","40.871434999999998","NY","9427","491","36","99","4","4287","2861","30","0","319","11","8","18"
"244","Burnside Ave"," ","Jerome Ave","Burnside Ave (4)","4","4","GREEN"," "," ","Bronx","POINT (-73.907372 40.853798)","40.853797999999998","NY","25682","878","132","340","3","17262","10580","29","0","681","246","35","69"
"106","Castle Hill Ave"," ","Westchester Ave","Castle Hill Ave (6)","6","6","GREEN"," "," ","Bronx","POINT (-73.851642 40.834191)","40.834190999999997","NY","15862","649","128","166","2","8409","7756","45","5","618","32","19","27"
"447","Cypress Ave"," ","E 138th St","Cypress Ave (6)","6","6","GREEN"," "," ","Bronx","POINT (-73.914465 40.805548)","40.805548000000002","NY","8930","294","62","89","0","5333","2762","4","1","185","12","9","19"
"431","Dyre Ave","Eastchester","233rd St","Dyre Ave / Eastchester (5)","5","5","GREEN"," "," ","Bronx","POINT (-73.830596 40.889097)","40.889097","NY","10200","293","28","75","0","3989","3434","30","3","308","36","13","62"
"448","E 143rd St","St Mary's St","Southern Blvd","E 143rd St / St Mary's St (6)","6","6","GREEN"," "," ","Bronx","POINT (-73.907838 40.808193)","40.808193000000003","NY","2172","93","2","32","3","1149","940","5","0","24","5","5","3"
"449","E 149th St"," ","Southern Blvd","E 149th St (6)","6","6","GREEN"," "," ","Bronx","POINT (-73.904147 40.812115)","40.812114999999999","NY","9797","463","52","128","0","7084","3955","17","1","296","3","7","30"
"222","E 177th St","Parkchester","Westchester Ave","E 177th St / Parkchester (6)","6","6","GREEN","express"," ","Bronx","POINT (-73.862713 40.832927)","40.832926999999998","NY","31649","1684","185","463","1","16256","19721","134","4","1425","104","71","89"
"388","E 180th St"," ","Morris Park Ave","E 180th St (2,5)","2,5","2,5","RED-GREEN","express"," ","Bronx","POINT (-73.874154 40.841372)","40.841372","NY","13386","375","62","117","0","8538","5828","23","4","412","39","25","37"
"387","E Tremont Ave","West Farms Sq","Boston Rd","E Tremont Ave / West Farms Sq (2,5)","2,5","2,5","RED-GREEN"," "," ","Bronx","POINT (-73.880427 40.84009)","40.840089999999996","NY","12630","384","87","140","2","8381","4579","13","6","455","9","9","70"
"16","Elder Ave"," ","Westchester Ave","Elder Ave (6)","6","6","GREEN"," "," ","Bronx","POINT (-73.87916 40.828583)","40.828583000000002","NY","16985","729","38","149","58","4085","10212","220","120","565","278","113","138"
"112","Fordham Rd"," ","Grand Concourse","Fordham Rd (B,D)","B,D","B,D","ORANGE","express"," ","Bronx","POINT (-73.897102 40.862416)","40.862416000000003","NY","27082","864","141","303","7","16130","10951","45","29","721","44","42","59"
"119","Fordham Rd"," ","Jerome Ave","Fordham Rd (4)","4","4","GREEN"," "," ","Bronx","POINT (-73.901091 40.862733)","40.862732999999999","NY","28327","1027","141","259","2","19203","11146","38","8","836","142","38","64"
"409","Freeman St"," ","Southern Blvd","Freeman St (2,5)","2,5","2,5","RED-GREEN"," "," ","Bronx","POINT (-73.891832 40.83017)","40.830170000000003","NY","11631","412","56","99","1","6178","4224","17","2","282","2","26","25"
"226","Gun Hill Rd"," ","Seymour Ave","Gun Hill Rd (5)","5","5","GREEN"," "," ","Bronx","POINT (-73.845803 40.870182)","40.870182","NY","13177","504","59","105","1","6072","4731","62","1","518","31","13","52"
"364","Gun Hill Rd"," ","White Plains Rd","Gun Hill Rd (2,5)","2,5","2,5","RED-GREEN"," "," ","Bronx","POINT (-73.866518 40.877411)","40.877411000000002","NY","13684","652","92","220","5","9275","5393","21","1","488","19","20","75"
"146","Hunts Point Ave"," ","Southern Blvd","Hunts Point Ave (6)","6","6","GREEN","express"," ","Bronx","POINT (-73.891642 40.820614)","40.820613999999999","NY","18500","729","105","295","0","13854","9097","22","0","659","30","36","39"
"407","Intervale Ave"," ","Westchester Ave","Intervale Ave (2,5)","2,5","2,5","RED-GREEN"," "," ","Bronx","POINT (-73.896893 40.822096)","40.822096000000002","NY","7248","256","42","61","5","4509","2492","9","1","173","14","13","22"
"405","Jackson Ave"," ","Westchester Ave","Jackson Ave (2,5)","2,5","2,5","RED-GREEN"," "," ","Bronx","POINT (-73.908253 40.816242)","40.816242000000003","NY","13258","531","53","92","3","7401","4269","20","5","371","15","10","41"
"155","Kingsbridge Rd"," ","Grand Concourse","Kingsbridge Rd (B,D)","B,D","B,D","ORANGE"," "," ","Bronx","POINT (-73.894293 40.866175)","40.866174999999998","NY","17189","651","75","167","4","9515","7050","30","1","546","21","21","27"
"161","Kingsbridge Rd"," ","Jerome Ave","Kingsbridge Rd (4)","4","4","GREEN"," "," ","Bronx","POINT (-73.897401 40.867497)","40.867497","NY","22666","948","114","314","5","13267","10199","38","4","692","36","29","28"
"450","Longwood Ave"," ","Southern Blvd","Longwood Ave (6)","6","6","GREEN"," "," ","Bronx","POINT (-73.89621 40.816321)","40.816321000000002","NY","8147","319","28","83","0","4963","2749","7","7","194","10","22","18"
"427","Middletown Rd"," ","Westchester Ave","Middletown Rd (6)","6","6","GREEN"," "," ","Bronx","POINT (-73.836766 40.843473)","40.843473000000003","NY","5027","186","9","73","4","1045","1525","69","0","125","42","15","17"
"329","Morris Park"," ","Esplanade","Morris Park (5)","5","5","GREEN"," "," ","Bronx","POINT (-73.860359 40.854472)","40.854472000000001","NY","5428","193","10","19","0","1071","2142","42","0","189","43","4","15"
"120","Sound View Ave","Morrison Ave","Westchester Ave","Sound View Ave / Morrison Ave (6)","6","6","GREEN"," "," ","Bronx","POINT (-73.874475 40.829527)","40.829526999999999","NY","15138","631","82","141","1","10117","5261","26","8","337","18","17","25"
"133","Mosholu Pky"," ","Jerome Ave","Mosholu Pky (4)","4","4","GREEN"," "," ","Bronx","POINT (-73.884635 40.87974)","40.879739999999998","NY","21155","1047","109","251","9","10526","9171","24","13","864","81","60","94"
"308","Mt Eden Ave"," ","Jerome Ave","Mt Eden Ave (4)","4","4","GREEN"," "," ","Bronx","POINT (-73.914746 40.844292)","40.844292000000003","NY","15076","576","83","188","1","8567","5376","11","4","407","6","22","10"
"444","Nereid Ave","238th St","White Plains Rd","Nereid Ave / 238th St (2,5)","2,5","2,5","RED-GREEN"," "," ","Bronx","POINT (-73.854323 40.898462)","40.898462000000002","NY","7638","372","50","57","0","3672","2649","14","0","208","5","5","27"
"429","Pelham Bay Park"," ","Bruckner Exy","Pelham Bay Park (6)","6","6","GREEN"," "," ","Bronx","POINT (-73.827095 40.852928)","40.852927999999999","NY","7455","450","85","287","0","5591","6619","58","6","642","41","15","59"
"430","Pelham Pky"," ","Williamsbridge Rd","Pelham Pky (5)","5","5","GREEN"," "," ","Bronx","POINT (-73.856079 40.85817)","40.858170000000001","NY","6858","304","18","63","1","2098","2753","38","6","343","45","5","16"
"361","Pelham Pky"," ","White Plains Rd","Pelham Pky (2,5)","2,5","2,5","RED-GREEN"," "," ","Bronx","POINT (-73.867607 40.857235)","40.857235000000003","NY","18932","929","169","291","0","11116","10022","76","0","931","65","42","61"
"406","Prospect Ave"," ","Westchester Ave","Prospect Ave (2,5)","2,5","2,5","RED-GREEN"," "," ","Bronx","POINT (-73.901629 40.819678)","40.819678000000003","NY","16891","632","111","253","7","10050","5725","28","11","377","18","20","56"
"408","Simpson St"," ","Westchester Ave","Simpson St (2,5)","2,5","2,5","RED-GREEN"," "," ","Bronx","POINT (-73.892955 40.824131)","40.824131000000001","NY","18197","687","128","194","1","14269","7743","20","2","573","19","22","46"
"245","St Lawrence Ave"," ","Westchester Ave","St Lawrence Ave (6)","6","6","GREEN"," "," ","Bronx","POINT (-73.86728 40.831598)","40.831598","NY","10349","383","35","59","0","5805","3320","54","0","229","16","4","29"
"154","Tremont Ave"," ","Grand Concourse","Tremont Ave (B,D)","B,D","B,D","ORANGE","express"," ","Bronx","POINT (-73.90593 40.84949)","40.849490000000003","NY","18566","666","123","250","2","13493","8408","45","9","603","52","28","63"
"107","Westchester Sq","E Tremont Ave","Westchester Ave","Westchester Sq / E Tremont Ave (6)","6","6","GREEN"," "," ","Bronx","POINT (-73.842011 40.84061)","40.840609999999998","NY","10310","515","88","148","4","6087","6150","11","8","342","60","31","70"
"325","Whitlock Ave"," ","Westchester Ave","Whitlock Ave (6)","6","6","GREEN"," "," ","Bronx","POINT (-73.88609 40.827566)","40.827565999999997","NY","3976","86","15","29","0","2642","1315","1","3","70","0","0","12"
