"animalid","intype","indate","petname","animaltype","petage","petsize","color","breed","sex","url","crossing"
"A491936","OWNER SUR","2022-08-18T00:00:00.000","*DAVID HASSELHOP","OTHER","1 YEAR 2 MONTHS","SMALL","FAWN","RABBIT SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A491936&location=MONT",
"A489535","FOSTER","2022-08-17T00:00:00.000","GISELLE","DOG","13 YEARS","LARGE","GRAY","WEIMARANER","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A489535&location=MONT",
"A486799","RETURN","2022-08-16T00:00:00.000","*ADDY","DOG","1 YEAR 6 MONTHS","MED","BRINDLE","TENN TR BRINDLE","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A486799&location=MONT",
"A493328","FOSTER","2022-08-15T00:00:00.000","*TESSU","CAT","13 WEEKS","KITTE","WHITE / BLACK","DOMESTIC SH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493328&location=MONT",
"A493338","FOSTER","2022-08-15T00:00:00.000","*TOMMY","CAT","13 WEEKS","SMALL","BLACK","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493338&location=MONT",
"A493888","FOSTER","2022-08-15T00:00:00.000","*MEADOW","CAT","11 WEEKS","KITTE","BLACK / WHITE","DOMESTIC MH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493888&location=MONT",
"A493337","FOSTER","2022-08-15T00:00:00.000","*TERESA","CAT","13 WEEKS","SMALL","BLACK / WHITE","DOMESTIC SH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493337&location=MONT",
"A494425","OWNER SUR","2022-08-14T00:00:00.000","*ANDRE","OTHER","1 YEAR 6 MONTHS","MED","BROWN / WHITE","DEGU","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494425&location=MONT",
"A493543","FOSTER","2022-08-14T00:00:00.000","*TAMMY","CAT","11 WEEKS","KITTE","BRN TABBY","DOMESTIC SH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493543&location=MONT",
"A494423","OWNER SUR","2022-08-14T00:00:00.000","*ROGER","OTHER","1 YEAR 6 MONTHS","MED","WHITE","DEGU","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494423&location=MONT",
"A493545","FOSTER","2022-08-14T00:00:00.000","*TISA","CAT","11 WEEKS","KITTE","GRAY TAB","DOMESTIC SH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493545&location=MONT",
