"title","date","fy","library","primary_event_type","event_type_option_1","event_type_option_2","primary_age_group","age_group_option_1","age_group_option_2","description","internal_notes","published_status","attendance"
"THOMAS FARM COMMUNITY CENTER CAMP VISIT (OUT)","2016-07-12T00:00:00.000","FY 17","Rockville Memorial","Z_Visits Out",,,"Elementary School Age",,,"Staff visited the Thomas Farm Community Center Summer Camp.",,"No","20"
"THOMAS FARM COMMUNITY CENTER CAMP VISIT (OUT)","2016-07-19T00:00:00.000","FY 17","Rockville Memorial","Z_Visits Out",,,"Elementary School Age",,,"Staff visited the Thomas Farm Community Center Summer Camp.",,"No","20"
"NEWPORT MILLS MIDDLE SCHOOL OPEN HOUSE -VISIT","2016-09-20T00:00:00.000","FY 17","Kensington Park","Z_Visits Out",,,"Teens",,,"NEWPORT MILLS MIDDLE SCHOOL OPEN HOUSE -VISIT",,"No","45"
"Visit Out - Judy Center","2016-10-25T00:00:00.000","FY 17","Gaithersburg","Z_Visits Out",,,"Babies and Toddlers","Preschool and Kindergarten",,"storytime by Jennifer Meddings (followed by outreach by OR staff)",,"No","20"
"Derwood Church storytime","2016-11-16T00:00:00.000","FY 17","Gaithersburg","Z_Visits Out","Storytime",,"Babies and Toddlers","Preschool and Kindergarten","Elementary School Age","Jessica Champion presented a storytime at Derwood Church.",,"No","43"
"Burnt Mills Elementary School Reading Night","2016-11-17T00:00:00.000","FY 17","White Oak","Z_Visits Out","Special Event",,"Elementary School Age",,,"Discussed the services available at the public library and the advantages of having a library card.",,"Yes","85"
"Artomatic Visit Out","2016-11-19T00:00:00.000","FY 17","Potomac","Z_Visits Out",,,"Preschool and Kindergarten",,,"Visit to Artomatic by Anne Gerlach","Planned Outreach by Anne Gerlach, LII Children's Services, to an arts organization Artomatic to provide stories and songs for families of all ages. First outreach with Artomatic.","No","8"
"Parkland Middle School STEM Night- MCPL Go!Kits and Twinbrook Table","2016-11-30T00:00:00.000","FY 17","Twinbrook","Z_Visits Out",,,"Teens",,,"MCPL staff was on hand at the Parkland Middle School STEM Night to demonstrate Go!Kits and discuss what MCPL can do for Middle School students.","In many cases Teens attending the STEM night were accompanied by parents and younger siblings.","Yes","59"
"Visit Out to Carderock Elementary","2016-12-09T00:00:00.000","FY 17","Potomac","Z_Visits Out",,,"Elementary School Age",,,"Delivery of Library Link cards",,"No","2"
"Visit Out to Wayside Elementary","2016-12-15T00:00:00.000","FY 17","Potomac","Z_Visits Out",,,"Elementary School Age",,,"Delivery of Library Link cards to elementary school",,"No","2"
"TCRC ""Monday Morning Moms""","2017-01-09T00:00:00.000","FY 17","Twinbrook","Z_Visits Out","Storytime","ACE - All Children Excel","Preschool and Kindergarten",,,"Once-a-month visit to the Twinbrook Community Recreation Center",,"Yes","8"
"Visit Out-Goddard Preschool","2017-03-17T00:00:00.000","FY 17","Olney","Z_Visits Out",,,"Preschool and Kindergarten","Babies and Toddlers",,"2 sessions of storytime",,"Yes","110"
"library link distribution","2017-04-05T00:00:00.000","FY 17","Wheaton","Z_Visits Out","Z_Outreach Team",,"Elementary School Age",,,"Saw all students K to 5",,"No","712"
"KidsCo Preschool Visit Out","2017-04-21T00:00:00.000","FY 17","Damascus","Z_Visits Out","ACE - All Children Excel","Storytime","Preschool and Kindergarten","Babies and Toddlers",,"Storytimes and library services for 2 groups (toddlers & 3 year olds; 4 & 5 year olds) at the KidsCo preschool at Lois Rockwell Elementary in honor of National Association for the Education of Young Children Month.",,"Yes","64"
"SUMMER READING PROMOTIONAL VISIT","2017-05-09T00:00:00.000","FY 17","Gaithersburg","Z_Visits Out",,,"Elementary School Age",,,"K-5 TITLE 1 SCHOOL",,"No","474"
"SUMMER READING PROMOTIONAL VISIT","2017-05-15T00:00:00.000","FY 17","Germantown","Z_Visits Out",,,"Elementary School Age",,,"Visit to Dr. Sally K. Ride EM. Grades Pre K-5.",,"No","500"
"Summer Reading Promotional Visit","2017-05-15T00:00:00.000","FY 17","Marilyn J. Praisner","Z_Visits Out",,,"Elementary School Age",,,"Grades 1,2,3, and 4. Public School",,"Yes","620"
"SUMMER READING PROMOTIONAL VISIT","2017-05-16T00:00:00.000","FY 17","Gaithersburg","Z_Visits Out",,,"Elementary School Age",,,"K-5",,"No","663"
"Career Day","2017-05-16T00:00:00.000","FY 17","Gaithersburg","Z_Visits Out",,,"Elementary School Age",,,"Visit to 1st Graders at Watkins Mill Elementary to discuss being a librarian for Career Day",,"No","130"
"SUMMER READING PROMOTIONAL VISIT","2017-05-16T00:00:00.000","FY 17","Germantown","Z_Visits Out",,,"Elementary School Age",,,"School Visit to Fox Chapel EM. Grades K-5",,"No","634"
"SUMMER READING PROMOTIONAL VISIT","2017-05-17T00:00:00.000","FY 17","Germantown","Z_Visits Out",,,"Elementary School Age",,,"School Visit to Great Seneca Creek EM. Grades K-5",,"No","644"
"Grace Episcopal School Summer Reading Kick Off","2017-05-19T00:00:00.000","FY 17","Kensington Park","Z_Visits Out",,,"Elementary School Age",,,"Marco Scappa did a summer reading visit to Grace Episcopal private school.",,"No","120"
"SUMMER READING PROMOTIONAL VISIT","2017-05-22T00:00:00.000","FY 17","Gaithersburg","Z_Visits Out",,,"Elementary School Age",,,"K-5 TITLE 1 SCHOOL",,"No","704"
"Parent Meeting at Rosco Nix","2017-05-22T00:00:00.000","FY 17","White Oak","Z_Visits Out",,,"Elementary School Age",,,"This is a parent meeting at Rosco Nix to promote Summer Reading.",,"Yes","21"
"Summer Reading Promotional Visit","2017-05-22T00:00:00.000","FY 17","Twinbrook","Z_Visits Out",,,"Elementary School Age",,,"Grades 4 and 5",,"Yes","90"
"SUMMER READING PROMOTIONAL VISIT","2017-05-22T00:00:00.000","FY 17","Germantown","Z_Visits Out",,,"Elementary School Age",,,"School visit to Capt. James E Daly EM. Grades K-12",,"No","649"
"SUMMER READING PROMOTIONAL VISIT","2017-05-23T00:00:00.000","FY 17","Germantown","Z_Visits Out",,,"Elementary School Age",,,"School Visit to Little Bennett EM. Grades K-5.",,"No","634"
"SUMMER READING PROMOTIONAL VISIT","2017-05-24T00:00:00.000","FY 17","Gaithersburg","Z_Visits Out",,,"Elementary School Age",,,"K-5",,"No","684"
"Summer Reading Promotional Visit","2017-05-24T00:00:00.000","FY 17","Twinbrook","Z_Visits Out",,,"Elementary School Age",,,"Grades 1 and 2",,"Yes","90"
"SUMMER READING PROMOTIONAL VISIT","2017-05-25T00:00:00.000","FY 17","Bethesda","Z_Visits Out",,,"Elementary School Age",,,"Visited grades K-5.",,"No","653"
"SUMMER READING PROMOTIONAL VISIT","2017-05-25T00:00:00.000","FY 17","Germantown","Z_Visits Out",,,"Elementary School Age",,,"School Visit to Spark N. Matsunaga EM. Grades K-5.",,"No","794"
