"month","date_ordered","count","lag_time_days"
"January","2017-01-31T00:00:00.000","19","56"
"February","2017-02-28T00:00:00.000","14","58"
"March","2017-03-31T00:00:00.000","18","50"
"May","2017-05-31T00:00:00.000","27","36"
"June","2017-06-30T00:00:00.000","17","50"
"July","2017-07-31T00:00:00.000","17","47"
"August","2017-08-31T00:00:00.000","20","66"
"September","2017-09-30T00:00:00.000","12","70"
"October","2017-10-31T00:00:00.000","14","72"
"November","2017-11-30T00:00:00.000","12","74"
"December","2017-12-31T00:00:00.000","16","63"
"April","2017-04-30T00:00:00.000","14","49"
"January","2018-01-31T00:00:00.000","16","52.8"
"February","2018-02-28T00:00:00.000","18","67.3"
"March","2018-03-31T00:00:00.000","13","59.9"
"April","2018-04-30T00:00:00.000","13","62.5"
"May","2018-05-31T00:00:00.000","11","68.1"
"June","2018-06-30T00:00:00.000","20","55.7"
"July","2018-07-31T00:00:00.000","12","35.1"
"August","2018-08-31T00:00:00.000","12","63.2"
"September","2018-09-30T00:00:00.000","15","70.6"
"October","2018-10-31T00:00:00.000","19","61.4"
"November","2018-11-30T00:00:00.000","9","59.7"
"December","2018-12-31T00:00:00.000","15","72.8"
"January","2019-01-31T00:00:00.000","14","88.9"
"February","2019-02-28T00:00:00.000","9","58.1"
"March","2019-03-31T00:00:00.000","16","76.9"
"April","2019-04-30T00:00:00.000","19","51.5"
"May","2019-05-31T00:00:00.000","21","54.4"
"June","2019-06-30T00:00:00.000","23","64.5"
"July","2019-07-31T00:00:00.000","12","53.4"
"August","2019-08-31T00:00:00.000","13","52.9"
"September","2019-09-30T00:00:00.000","17","65.6"
"October","2019-10-31T00:00:00.000","19","59.8"
"November","2019-11-30T00:00:00.000","11","31.5"
"December","2019-12-31T00:00:00.000","10","54.8"
"January","2020-01-31T00:00:00.000","15","57.3"
"February","2020-02-29T00:00:00.000","17","50.1"
"March","2020-03-31T00:00:00.000","6","43"
"April","2020-04-30T00:00:00.000","1","26"
"May","2020-05-31T00:00:00.000","5","43.6"
"June","2020-06-30T00:00:00.000","8","99.3"
"July","2020-07-31T00:00:00.000","3","96"
"August","2020-08-31T00:00:00.000","14","120"
"September","2020-09-30T00:00:00.000","6","63.7"
"October","2020-10-31T00:00:00.000","5","42"
"November","2020-11-30T00:00:00.000","8","49.8"
