"the_geom","objectid","easting","northing","eel_grass","emu","au","legend"
"POINT (-122.565879780571 47.263913193444)","30931","1127534","710758",,"3","3.08","No Eel Grass"
"POINT (-122.617162632697 47.22321878372)","15800","1114407","696258","Eel","13","13.17","Eel Grass"
"POINT (-122.664930650614 47.277968022302)","90853","1103090","716542",,"13","13.03","No Eel Grass"
"POINT (-122.724735060825 47.3281620148)","105662","1088767","735256",,"8","8.19","No Eel Grass"
"POINT (-122.56536562394 47.264372145479)","30787","1127666","710922",,"3","3.08","No Eel Grass"
"POINT (-122.606253160401 47.289674298056)","46449","1117764","720416",,"4","4.09","No Eel Grass"
"POINT (-122.678165470363 47.325727362865)","103946","1100287","734046",,"6","6.11","No Eel Grass"
"POINT (-122.739620181968 47.308843987292)","39811","1084877","728317",,"8","8.24","No Eel Grass"
"POINT (-122.651183398019 47.274935613972)","18613","1106471","715343",,"13","13.47","No Eel Grass"
"POINT (-122.687035932224 47.294189983384)","12408","1097769","722608",,"6","6.04","No Eel Grass"
"POINT (-122.548479106424 47.38659548205)","44617","1133015","755379",,"1","1.03","No Eel Grass"
"POINT (-122.635156820252 47.277165613804)","74906","1110470","716048",,"5","5.03","No Eel Grass"
"POINT (-122.72910274212 47.340263815863)","38907","1087809","739699",,"8","8.17","No Eel Grass"
"POINT (-122.649836770427 47.275824543272)","18510","1106814","715658",,"13","13.47","No Eel Grass"
"POINT (-122.70953743907 47.126766539527)","66803","1090477","661722",,"14","14.28","No Eel Grass"
"POINT (-122.694033964122 47.292209164385)","13448","1096013","721934",,"6","6.02","No Eel Grass"
"POINT (-122.640424723687 47.378124527429)","45089","1110162","752895",,"7","7.2","No Eel Grass"
"POINT (-122.722231677434 47.243238068314)","83942","1088515","704275",,"9","9.24","No Eel Grass"
"POINT (-122.678928265839 47.322065338977)","102238","1100061","732716","Eel","6","6.1","Eel Grass"
"POINT (-122.75573775039 47.256962376331)","99638","1080339","709515",,"9","9.13","No Eel Grass"
"POINT (-122.648804880065 47.275114139099)","19646","1107063","715392",,"13","13.47","No Eel Grass"
"POINT (-122.743280621519 47.302262024091)","59394","1083901","725943","Eel","8","8.24","Eel Grass"
"POINT (-122.615845407472 47.270016035987)","60300","1115192","713312",,"4","4.18","No Eel Grass"
"POINT (-122.593436662835 47.269468681259)","35632","1120748","712964",,"4","4.05","No Eel Grass"
"POINT (-122.686918019309 47.28872606473)","86799","1097743","720615",,"6","6.04","No Eel Grass"
"POINT (-122.731742220777 47.31605284599)","3639","1086905","730890",,"8","8.22","No Eel Grass"
"POINT (-122.733882428908 47.313987528273)","95969","1086353","730152","Eel","8","8.23","Eel Grass"
"POINT (-122.550115597144 47.388521957194)","43832","1132628","756092",,"1","1.03","No Eel Grass"
"POINT (-122.717116495223 47.341368415167)","64610","1090791","740018",,"8","8.1","No Eel Grass"
"POINT (-122.729555749562 47.334276106092)","479","1087635","737519",,"8","8.17","No Eel Grass"
"POINT (-122.704212887293 47.135705700327)","80803","1091893","664944",,"14","14.15","No Eel Grass"
"POINT (-122.61164573173 47.270399830449)","46807","1116238","713424",,"4","4.17","No Eel Grass"
"POINT (-122.670495439616 47.343813299758)","48654","1102370","740588",,"6","6.3","No Eel Grass"
"POINT (-122.566910884342 47.263277718652)","29672","1127272","710533",,"3","3.08","No Eel Grass"
"POINT (-122.707197660636 47.139093744129)","80385","1091185","666200",,"14","14.15","No Eel Grass"
"POINT (-122.729297765607 47.319146989522)","96654","1087543","732001",,"8","8.21","No Eel Grass"
"POINT (-122.726189770645 47.330747864376)","38090","1088433","736209",,"8","8.18","No Eel Grass"
"POINT (-122.633305908646 47.265680611923)","111739","1110816","711848",,"13","13.36","No Eel Grass"
"POINT (-122.724482499039 47.337922508732)","70890","1088930","738813",,"8","8.11","No Eel Grass"
"POINT (-122.614856054869 47.269757094708)","56643","1115435","713211",,"4","4.18","No Eel Grass"
"POINT (-122.680654065667 47.28267856905)","4938","1099236","718367",,"5","5.09","No Eel Grass"
"POINT (-122.740077484706 47.307241640933)","39989","1084747","727736",,"8","8.24","No Eel Grass"
"POINT (-122.655043975601 47.372081009331)","106187","1106481","750790","Eel","8","8.01","Eel Grass"
"POINT (-122.802073382473 47.357437110421)","5780","1069907","746480","Eel","12","12.21","Eel Grass"
"POINT (-122.714225864567 47.341719827873)","71650","1091511","740126",,"8","8.1","No Eel Grass"
"POINT (-122.550606851781 47.389012406236)","43935","1132511","756274","Eel","1","1.03","Eel Grass"
"POINT (-122.696232357688 47.13575890482)","79550","1093879","664908",,"14","14.21","No Eel Grass"
"POINT (-122.677539653516 47.366433844757)","69205","1100852","748884",,"8","8.02","No Eel Grass"
"POINT (-122.695500877066 47.13280505406)","79283","1094031","663826",,"14","14.21","No Eel Grass"
"POINT (-122.632128217008 47.266969395262)","108314","1111121","712310",,"13","13.36","No Eel Grass"
"POINT (-122.725639370826 47.33031685781)","105899","1088565","736048",,"8","8.19","No Eel Grass"
"POINT (-122.610078456893 47.27060939825)","47218","1116629","713490",,"4","4.17","No Eel Grass"
"POINT (-122.678316438652 47.366079189033)","22177","1100656","748760",,"8","8.02","No Eel Grass"
"POINT (-122.631278781521 47.267596634951)","108462","1111338","712533",,"13","13.36","No Eel Grass"
"POINT (-122.635479581591 47.241625814838)","113292","1110039","703092",,"13","13.14","No Eel Grass"
"POINT (-122.696083597223 47.134280599679)","79420","1093901","664368",,"14","14.21","No Eel Grass"
"POINT (-122.632418873032 47.267084721971)","108268","1111050","712354",,"13","13.36","No Eel Grass"
"POINT (-122.729419924604 47.319950989532)","96748","1087521","732295",,"8","8.21","No Eel Grass"
"POINT (-122.707758632486 47.344873692786)","72150","1093146","741231",,"8","8.1","No Eel Grass"
"POINT (-122.713939981332 47.342320437227)","64876","1091588","740343",,"8","8.1","No Eel Grass"
"POINT (-122.700141887155 47.139656168297)","24135","1092946","666356",,"14","14.12","No Eel Grass"
"POINT (-122.658297315329 47.371965714422)","106387","1105674","750770",,"8","8.02","No Eel Grass"
