"the_geom","objectid","property_o","maintenanc","material","height","anchor_typ","top_fence","associated","descriptio","comments","gps_time","gps_date","shape_length"
"MULTILINESTRING ((-122.237287837586 47.139833536796, -122.2373158942 47.139815888467))","30","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","48","EMBEDDED","NONE","PROPERTY","FENCE",,"10:54:21am","2010-04-13T00:00:00.000Z","9.49662171403142"
"MULTILINESTRING ((-122.063167107361 47.137505356592, -122.063198579409 47.137511501513, -122.063239388067 47.137506398979, -122.063343317198 47.137459035417, -122.063408656131 47.137412975327))","2","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","72","EMBEDDED","NONE","PROPERTY","FENCE",,"10:23:27am","2010-04-15T00:00:00.000Z","72.9567333493363"
"MULTILINESTRING ((-122.062276523063 47.138407648286, -122.062180558665 47.138325758524))","4","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","72","EMBEDDED","NONE","PROPERTY","FENCE",,"10:55:21am","2010-04-15T00:00:00.000Z","38.2421018594057"
"MULTILINESTRING ((-122.161490552011 47.089926330566, -122.161280944634 47.090001908686, -122.16113717643 47.090042783904, -122.160926021164 47.090123511414, -122.160856754197 47.090151630552, -122.160508951788 47.090309716487))","10","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","72","EMBEDDED","NONE","PROPERTY","FENCE",,"10:16:55am","2010-04-14T00:00:00.000Z","282.251133302631"
"MULTILINESTRING ((-122.062214456999 47.138943876942, -122.062250749815 47.139001871067))","39","PRIVATE","PUBLIC_PARKS","CHAIN_LINK_W/SLATS","72","EMBEDDED","NONE","PROPERTY","GATE","PROPERTY OWNER HAS KEYS","02:25:00pm","2010-04-20T00:00:00.000Z","22.9997897938081"
"MULTILINESTRING ((-122.160428328473 47.090343089423, -122.159795992219 47.090589442586, -122.159646110354 47.090629460658, -122.159335877031 47.090759435874, -122.159064644242 47.090880342911, -122.15879948142 47.091007422493, -122.15839154089 47.091246809144))","11","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","72","EMBEDDED","NONE","PROPERTY","FENCE",,"10:26:24am","2010-04-14T00:00:00.000Z","607.421638198334"
"MULTILINESTRING ((-122.062660746246 47.138254470664, -122.062579561005 47.138173078777))","35","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","72","EMBEDDED","NONE","PROPERTY","FENCE",,"02:14:09pm","2010-04-20T00:00:00.000Z","35.9094189901513"
"MULTILINESTRING ((-122.237788361165 47.133631205343, -122.237808245735 47.133770540476))","33","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","48","EMBEDDED","NONE","PROPERTY","FENCE","NEEDS REPAIR","11:28:43am","2010-04-13T00:00:00.000Z","51.0597268101166"
"MULTILINESTRING ((-122.158377143744 47.091256382096, -122.157955650767 47.091590267567, -122.157729796279 47.091804784734))","12","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","72","EMBEDDED","NONE","PROPERTY","FENCE",,"10:33:22am","2010-04-14T00:00:00.000Z","257.151072421973"
"MULTILINESTRING ((-122.163583038487 47.089232966744, -122.163587903257 47.089247806408, -122.16216778133 47.089678242771, -122.161934048897 47.08975060395, -122.161826256125 47.089789904785, -122.161739818074 47.089833741877, -122.161675321144 47.089860721136, -122.161610725246 47.089884910816))","9","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","72","EMBEDDED","NONE","PROPERTY","FENCE",,"10:02:52am","2010-04-14T00:00:00.000Z","550.937814793725"
"MULTILINESTRING ((-122.062545669845 47.138140987392, -122.062529790004 47.138110772035, -122.062467264837 47.138204535521, -122.062369133105 47.138387514289, -122.062367556914 47.138389231713, -122.062324904631 47.138427052385, -122.062275463312 47.138612992729, -122.062233688111 47.138741034711, -122.062212004569 47.138920671766, -122.062217638851 47.138947893375))","36","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK_W/SLATS","72","EMBEDDED","NONE","PROPERTY","FENCE",,"02:16:01pm","2010-04-20T00:00:00.000Z","331.026089467481"
"MULTILINESTRING ((-122.155854037775 47.094085660938, -122.155786290009 47.094214570172, -122.155696774728 47.094361363476, -122.155602231431 47.094515569405, -122.15548937958 47.094689234064, -122.155368676613 47.094827465861, -122.1552344986 47.094965138412, -122.155109735247 47.095097634479, -122.155008606231 47.095197931142, -122.154915857469 47.095162090146, -122.155016464875 47.095012145227, -122.155169728993 47.094785686563))","15","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","72","EMBEDDED","NONE","PROPERTY","FENCE",,"10:53:08am","2010-04-14T00:00:00.000Z","636.790750097974"
"MULTILINESTRING ((-122.234814298616 47.15094275401, -122.23487719914 47.150945829098))","26","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","48","EMBEDDED","NONE","PROPERTY","FENCE",,"10:26:44am","2010-04-13T00:00:00.000Z","15.6906882889223"
"MULTILINESTRING ((-122.233290763554 47.169767610301, -122.233251117809 47.169772439595))","23","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","48","EMBEDDED","NONE","PROPERTY","FENCE",,"09:33:17am","2010-04-13T00:00:00.000Z","10.0170559493851"
