"value","date","year","month"
"81232.00","2015-01-31T00:00:00.000","2015","January"
"80243.00","2015-02-28T00:00:00.000","2015","February"
"83427.50","2015-03-31T00:00:00.000","2015","March"
"92598.00","2015-04-30T00:00:00.000","2015","April"
"106099.00","2015-05-31T00:00:00.000","2015","May"
"108796.50","2015-06-30T00:00:00.000","2015","June"
"116005.50","2015-07-31T00:00:00.000","2015","July"
"129659.50","2015-08-31T00:00:00.000","2015","August"
"142953.00","2015-09-30T00:00:00.000","2015","September"
"136369.00","2015-10-31T00:00:00.000","2015","October"
"121763.00","2015-11-30T00:00:00.000","2015","November"
"113656.50","2015-12-31T00:00:00.000","2015","December"
"95078.50","2016-01-31T00:00:00.000","2016","January"
"83603.50","2016-02-29T00:00:00.000","2016","February"
"91044.00","2016-03-31T00:00:00.000","2016","March"
"107753.50","2016-04-30T00:00:00.000","2016","April"
"108151.00","2016-05-31T00:00:00.000","2016","May"
"116664.00","2016-06-30T00:00:00.000","2016","June"
"109600.00","2016-07-31T00:00:00.000","2016","July"
"139961.00","2016-08-31T00:00:00.000","2016","August"
"142501.50","2016-09-30T00:00:00.000","2016","September"
"148073.00","2016-10-31T00:00:00.000","2016","October"
"123928.00","2016-11-30T00:00:00.000","2016","November"
"136908.50","2016-12-31T00:00:00.000","2016","December"
"96327.00","2017-01-31T00:00:00.000","2017","January"
"85309.00","2017-02-28T00:00:00.000","2017","February"
"94126.50","2017-03-31T00:00:00.000","2017","March"
"100746.50","2017-04-30T00:00:00.000","2017","April"
"116071.50","2017-05-31T00:00:00.000","2017","May"
"108164.50","2017-06-30T00:00:00.000","2017","June"
"119983.00","2017-07-31T00:00:00.000","2017","July"
"134306.50","2017-08-31T00:00:00.000","2017","August"
"142955.50","2017-09-30T00:00:00.000","2017","September"
"144986.50","2017-10-31T00:00:00.000","2017","October"
"125241.00","2017-11-30T00:00:00.000","2017","November"
"110104.50","2017-12-31T00:00:00.000","2017","December"
"96334.50","2018-01-31T00:00:00.000","2018","January"
"92349.00","2018-02-28T00:00:00.000","2018","February"
"96193.00","2018-03-31T00:00:00.000","2018","March"
"118711.96","2018-04-30T00:00:00.000","2018","April"
"127281.52","2018-05-31T00:00:00.000","2018","May"
"116251.20","2018-06-30T00:00:00.000","2018","June"
"127365.50","2018-07-31T00:00:00.000","2018","July"
"137872.99","2018-08-31T00:00:00.000","2018","August"
"139251.64","2018-09-30T00:00:00.000","2018","September"
"147424.02","2018-10-31T00:00:00.000","2018","October"
"130643.62","2018-11-30T00:00:00.000","2018","November"
"118432.47","2018-12-31T00:00:00.000","2018","December"
"111177.46","2019-01-31T00:00:00.000","2019","January"
"93357.38","2019-02-28T00:00:00.000","2019","February"
"103762.29","2019-03-31T00:00:00.000","2019","March"
"101451.37","2019-04-30T00:00:00.000","2019","April"
"118983.51","2019-05-31T00:00:00.000","2019","May"
"115830.38","2019-06-30T00:00:00.000","2019","June"
"119710.57","2019-07-31T00:00:00.000","2019","July"
"137486.00","2019-08-31T00:00:00.000","2019","August"
"143584.00","2019-09-30T00:00:00.000","2019","September"
"149987.31","2019-10-31T00:00:00.000","2019","October"
"127869.09","2019-11-30T00:00:00.000","2019","November"
"120074.99","2019-12-31T00:00:00.000","2019","December"
"96684.43","2020-01-31T00:00:00.000","2020","January"
"97240.78","2020-02-29T00:00:00.000","2020","February"
"99029.70","2020-03-31T00:00:00.000","2020","March"
"67995.58","2020-04-30T00:00:00.000","2020","April"
"48322.71","2020-05-31T00:00:00.000","2020","May"
"50275.23","2020-06-30T00:00:00.000","2020","June"
"87027.69","2020-07-31T00:00:00.000","2020","July"
"63144.11","2020-08-31T00:00:00.000","2020","August"
"81444.36","2020-09-30T00:00:00.000","2020","September"
"85857.45","2020-10-31T00:00:00.000","2020","October"
"75608.60","2020-11-30T00:00:00.000","2020","November"
"80194.54","2020-12-31T00:00:00.000","2020","December"
"70365.00","2021-01-31T00:00:00.000","2021","January"
"65713.69","2021-02-28T00:00:00.000","2021","February"
"78502.00","2021-03-31T00:00:00.000","2021","March"
"76156.00","2021-04-30T00:00:00.000","2021","April"
"99206.00","2021-05-31T00:00:00.000","2021","May"
"106399.00","2021-06-30T00:00:00.000","2021","June"
"105478.00","2021-07-31T00:00:00.000","2021","July"
"120939.00","2021-08-31T00:00:00.000","2021","August"
"128286.00","2021-09-30T00:00:00.000","2021","September"
"114563.00","2021-10-31T00:00:00.000","2021","October"
"96213.51","2021-11-30T00:00:00.000","2021","November"
"84929.58","2021-12-31T00:00:00.000","2021","December"
"107222.00","2022-01-31T00:00:00.000","2022","January"
"90401.43","2022-02-28T00:00:00.000","2022","February"
"88496.82","2022-03-31T00:00:00.000","2022","March"
"132192.00","2022-04-30T00:00:00.000","2022","April"
"110856.60","2022-05-31T00:00:00.000","2022","May"
"95237.10","2022-06-30T00:00:00.000","2022","June"
"106233.71","2022-07-31T00:00:00.000","2022","July"
