"county","year","point_in_time_count","adult_only","family_youth","unsheltered_adults"
"Statewide","2006","21962","11851","10111","4214"
"Statewide","2007","22045","11959","10086","4835"
"Statewide","2008","21947","12007","9940","5183"
"Statewide","2009","22827","12131","10696","5447"
"Statewide","2010","22619","11390","11229","5083"
"Statewide","2011","20346","10465","9881","4551"
"Statewide","2012","20336","10993","9343","4778"
"Statewide","2013","17755","10468","7287","4549"
"Statewide","2014","18839","11583","7256","5449"
"Statewide","2015","19418","12346","7072","6267"
"Statewide","2016","20844","13796","7048","7496"
"Statewide","2017","21112","14460","6652","7834"
"Statewide","2018","22416","16170","6246","9734"
"King","2006","7910","4214","3696","1168"
"King","2007","7902","5107","2795","2156"
"King","2008","8501","5517","2984","2631"
"King","2009","8997","5648","3349","2827"
"King","2010","8978","5520","3458","2759"
"King","2011","8874","5328","3546","2408"
"King","2012","8858","5670","3188","2587"
"King","2013","9106","5931","3175","2717"
"King","2014","9336","6363","2973","3099"
"King","2015","10122","6995","3127","3741"
"King","2016","10730","7718","3012","4448"
"King","2017","11643","8585","3058","5485"
"King","2018","12112","9312","2800","6103"
"Pierce","2006","1398","735","663","298"
"Pierce","2007","1596","660","936","225"
"Pierce","2008","1743","753","990","227"
"Pierce","2009","2083","748","1335","202"
"Pierce","2010","1807","696","1111","152"
"Pierce","2011","2085","841","1244","208"
"Pierce","2012","1997","687","1310","173"
"Pierce","2013","1303","539","764","117"
"Pierce","2014","1474","801","673","267"
"Pierce","2015","1283","757","526","301"
"Pierce","2016","1762","1053","709","425"
"Pierce","2017","1321","879","442","481"
"Pierce","2018","1628","1210","418","728"
"Snohomish","2006","2302","1259","1043","701"
"Snohomish","2007","2196","939","1257","661"
"Snohomish","2008","2154","1063","1091","707"
"Snohomish","2009","2356","1163","1193","870"
"Snohomish","2010","2018","706","1312","428"
"Snohomish","2011","1860","795","1065","502"
"Snohomish","2012","2047","858","1155","558"
"Snohomish","2013","947","600","347","317"
"Snohomish","2014","949","574","375","316"
"Snohomish","2015","829","567","262","295"
"Snohomish","2016","960","677","283","429"
"Snohomish","2017","1066","754","312","462"
"Snohomish","2018","858","582","276","335"
"Spokane","2006","1592","973","619","436"
"Spokane","2007","1187","762","425","195"
"Spokane","2008","1370","999","371","263"
"Spokane","2009","1229","673","556","115"
"Spokane","2010","1038","553","485","146"
"Spokane","2011","1275","639","636","120"
"Spokane","2012","1185","642","543","91"
"Spokane","2013","1030","585","445","54"
"Spokane","2014","1149","681","468","131"
"Spokane","2015","1033","634","399","115"
"Spokane","2016","981","667","314","164"
"Spokane","2017","1090","770","320","130"
"Spokane","2018","1245","897","348","294"
"Clark","2006","1391","726","665","111"
"Clark","2007","1392","749","643","133"
"Clark","2008","1062","505","557","84"
"Clark","2009","1159","537","622","142"
"Clark","2010","1093","465","628","100"
"Clark","2011","837","385","452","133"
"Clark","2012","977","363","603","104"
"Clark","2013","703","321","382","154"
"Clark","2014","695","298","397","107"
"Clark","2015","662","279","383","105"
"Clark","2016","688","310","378","110"
"Clark","2017","749","347","402","132"
"Clark","2018","795","440","355","227"
"All Other","2006","7369","3944","3425","1500"
"All Other","2007","7772","3742","4030","1465"
"All Other","2008","7117","3170","3947","1271"
"All Other","2009","7003","3362","3641","1291"
"All Other","2010","7685","3450","4235","1498"
"All Other","2011","5415","2477","2938","1180"
"All Other","2012","5272","2773","2544","1265"
"All Other","2013","4666","2492","2174","1190"
"All Other","2014","5236","2866","2370","1529"
"All Other","2015","5489","3114","2375","1710"
"All Other","2016","5723","3371","2352","1920"
"All Other","2017","5243","3125","2118","1144"
"All Other","2018","5778","3729","2049","2047"
