"date","month","total_of_requests_received","total_of_requests_closed","total_of_requests_closed_1","median_number_of_days_to","total_of_late_5_day_letters","total_number_of_hours_staff","percent_responded_to_in_5_business_days","_of_records_requests_responded_to_within_5_business_days","ytd_median_number_of_days_to_final_disposition"
"2018-01-31T00:00:00.000","January","125","59","57","1","4","242.37","0.968","121",
"2018-02-28T00:00:00.000","February","238","188","126","4","3","357.2","0.987","235",
"2018-03-31T00:00:00.000","March","439","348","291","2","1","553.85","0.998","438",
"2018-04-30T00:00:00.000","April","368","433","257","3","3","579.6","0.992","365",
"2018-05-31T00:00:00.000","May","277","284","168","5","0","552.61","1.000","277",
"2018-06-30T00:00:00.000","June","276","279","167","4","3","554.23","0.989","273",
"2018-07-31T00:00:00.000","July","265","235","149","4","4","975.28","0.985","261",
"2018-08-31T00:00:00.000","August","299","307","161","6","9","1404.66","0.970","290",
"2018-09-30T00:00:00.000","September","218","249","136","5","1","935.48","0.995","217",
"2018-10-31T00:00:00.000","October","266","283","160","6","1","1088.29","0.996","265",
"2018-11-30T00:00:00.000","November","238","252","158","2","6","949.16","0.975","232",
"2018-12-31T00:00:00.000","December","214","238","153","4","0","1037.88","1.000","214",
"2019-01-31T00:00:00.000","January","279","256","165","4.5","1","865.82","0.996","278",
"2019-02-28T00:00:00.000","February","241","244","138","4.5","8","939.5","0.967","233",
"2019-03-31T00:00:00.000","March","295","268","177","4","1","1357.51","0.997","294",
"2019-04-30T00:00:00.000","April","260","285","157","4","0","1243.11","1.000","260",
"2019-05-31T00:00:00.000","May","265","265","172","4","0","817.26","1.000","265",
"2019-06-30T00:00:00.000","June","247","260","168","4","0","888.26","1.000","247",
"2019-07-31T00:00:00.000","July","340","285","208","3","0","1138.2","1.000","340",
"2019-08-31T00:00:00.000","August","298","309","180","6","0","1299.29","1.000","298",
"2019-09-30T00:00:00.000","September","242","245","105","7","0","853.17","1.000","242",
"2019-10-31T00:00:00.000","October","326","375","109","5","1","1246.38","0.997","325",
"2019-11-30T00:00:00.000","November","234","270","143","6","0","1056.72","1.000","234",
"2019-12-31T00:00:00.000","December","262","262","157","5","0","877.14","1.000","262","5"
"2020-01-31T00:00:00.000","January","322","279","183","4","0","1332.60","1.000","322","4"
"2020-02-29T00:00:00.000","February","260","267","175","3","0","863.44","1.000","260","3"
"2020-03-31T00:00:00.000","March","268","319","176","5","0","1429.38","1.000","268","3"
"2020-04-30T00:00:00.000","April","279","223","121","5","0","1388.27","1.000","279","4"
"2020-05-31T00:00:00.000","May","214","227","148","3","1","1014.61","0.995","213","4"
"2020-06-30T00:00:00.000","June","243","250","154","4","0","1866.53","1.000","243","4"
"2020-07-31T00:00:00.000","July","300","326","191","5","1","1142.62","0.997","299","5"
"2020-08-31T00:00:00.000","August","303","345","181","5","0","1265.19","1.000","303","4"
"2020-09-30T00:00:00.000","September","281","287","187","3","0","1345.19","1.000","281","3"
"2020-10-31T00:00:00.000","October","295","284","211","1","0","1400.59","1.000","295","3"
"2020-11-30T00:00:00.000","November","292","280","195","2","0","1184.67","1.000","292","3"
"2020-12-31T00:00:00.000","December","244","258","181","2","0","2388.07","1.000","244","3"
"2021-01-31T00:00:00.000","January","298","297","196","3","0","2070.41","1.000","298","3"
"2021-02-28T00:00:00.000","February","312","285","196","2","0","1071.61","1.000","312","2"
"2021-03-31T00:00:00.000","March","384","370","248","2","2","1078.79","0.995","382","2"
"2021-04-30T00:00:00.000","April","383","400","277","1","1","1655.47","0.997","382","2"
"2021-05-31T00:00:00.000","May","329","310","212","2","0","1690.35","1.000","329","2"
"2021-06-30T00:00:00.000","June","378","407","271","2","0","1436.13","1.000","378","2"
"2021-07-31T00:00:00.000","July","352","301","215","1","1","829.27","0.997","351","2"
"2021-08-31T00:00:00.000","August","358","332","198","3","1","1396.94","0.997","357","2"
"2021-09-30T00:00:00.000","September","347","353","219","3","0","3025.37","1.000","347","2"
"2021-10-31T00:00:00.000","October","343","343","202","4","0","1416.59","1.000","343","2"
"2021-11-30T00:00:00.000","November","316","315","201","4","1","1603.08","0.997","315","2"
"2021-12-31T00:00:00.000","December","290","288","165","5.5","2","1421.73","0.993","288","2"
"2022-01-31T00:00:00.000","January","379","499","213","4","1","2933.39","0.997","378","4"
"2022-02-28T00:00:00.000","February","382","379","213","5","1","1461.4","0.997","381","5"
"2022-03-31T00:00:00.000","March","401","556","219","5","0","1813.59","1.000","401","5"
"2022-04-30T00:00:00.000","April","314","299","142","9","1","1408.24","0.997","313","5"
"2022-05-31T00:00:00.000","May","373","514","197","6","2","1207.16","0.995","371","6"
"2022-06-30T00:00:00.000","June","374","461","157","8","3","1645.45","0.992","371","6"
"2022-07-31T00:00:00.000","July","341","418","160","7","2","1330.46","0.994","339","6"
