"county","countyfips","year","week","week_ending","initial_claims","change_from_prior_week","pcnt_change","location","geocoded_column","reporting_week"
"LINCOLN COUNTY","43","2020","Week 36","09/06/20 - 09/12/20","11","0","0","Point(47.582743, -118.417692)","POINT (-118.417692 47.582743)","2020-09-06T00:00:00.000"
"WAHKIAKUM COUNTY","69","2020","Week 30","07/26/20 - 08/01/20","9","4","0.8","Point(46.294638, -123.424458)","POINT (-123.424458 46.294638)","2020-07-26T00:00:00.000"
"SNOHOMISH COUNTY","61","2020","Week 51","12/20/20 - 12/26/20","1823","164","0.0988547317661241","Point(48.054913, -121.766412)","POINT (-121.766412 48.054913)","2020-12-20T00:00:00.000"
"WALLA WALLA COUNTY","71","2020","Week 19","05/10/20 - 05/16/20","868","209","0.317147192716237","Point(46.254606, -118.480374)","POINT (-118.480374 46.254606)","2020-05-10T00:00:00.000"
"SAN JUAN COUNTY","55","2020","Week 10","03/08/20 - 03/14/20","17","9","1.125","Point(48.50719, -123.103769)","POINT (-123.103769 48.50719)","2020-03-08T00:00:00.000"
"MASON COUNTY","45","2020","Week 26","06/28/20 - 07/04/20","188","3","0.0162162162162163","Point(47.354126, -123.17385)","POINT (-123.17385 47.354126)","2020-06-28T00:00:00.000"
"PIERCE COUNTY","53","2020","Week 12","03/22/20 - 03/28/20","22145","7415","0.503394433129667","Point(47.051415, -122.153242)","POINT (-122.153242 47.051415)","2020-03-22T00:00:00.000"
"KLICKITAT COUNTY","39","2020","Week 14","04/05/20 - 04/11/20","173","-86","-0.332046332046332","Point(45.86951, -120.780118)","POINT (-120.780118 45.86951)","2020-04-05T00:00:00.000"
"SKAMANIA COUNTY","59","2020","Week 32","08/09/20 - 08/15/20","26","7","0.368421052631579","Point(46.024782, -121.953227)","POINT (-121.953227 46.024782)","2020-08-09T00:00:00.000"
"COWLITZ COUNTY","15","2020","Week 04","01/26/20 - 02/01/20","136","7","0.054263565891473","Point(46.185923, -122.658682)","POINT (-122.658682 46.185923)","2020-01-26T00:00:00.000"
"GARFIELD COUNTY","23","2020","Week 18","05/03/20 - 05/09/20","22","15","2.14285714285714","Point(46.429478, -117.536711)","POINT (-117.536711 46.429478)","2020-05-03T00:00:00.000"
"BENTON COUNTY","5","2020","Week 08","02/23/20 - 02/29/20","177","37","0.264285714285714","Point(46.22812, -119.516666)","POINT (-119.516666 46.22812)","2020-02-23T00:00:00.000"
"COWLITZ COUNTY","15","2020","Week 16","04/19/20 - 04/25/20","1457","558","0.620689655172414","Point(46.185923, -122.658682)","POINT (-122.658682 46.185923)","2020-04-19T00:00:00.000"
"CLARK COUNTY","11","2020","Week 36","09/06/20 - 09/12/20","891","-87","-0.088957055214724","Point(45.771674, -122.485903)","POINT (-122.485903 45.771674)","2020-09-06T00:00:00.000"
"FRANKLIN COUNTY","21","2020","Week 26","06/28/20 - 07/04/20","369","-84","-0.185430463576159","Point(46.53458, -118.906944)","POINT (-118.906944 46.53458)","2020-06-28T00:00:00.000"
"PIERCE COUNTY","53","2020","Week 15","04/12/20 - 04/18/20","11016","-8361","-0.431490942870413","Point(47.051415, -122.153242)","POINT (-122.153242 47.051415)","2020-04-12T00:00:00.000"
"ISLAND COUNTY","29","2020","Week 43","10/25/20 - 10/31/34","94","-26","-0.216666666666667","Point(48.158554, -122.670649)","POINT (-122.670649 48.158554)","2020-10-25T00:00:00.000"
"CLALLAM COUNTY","9","2020","Week 17","04/26/20 - 05/02/20","980","-345","-0.260377358490566","Point(48.110903, -123.88986)","POINT (-123.88986 48.110903)","2020-04-26T00:00:00.000"
"LINCOLN COUNTY","43","2020","Week 49","12/06/20 - 12/12/20","17","0","0","Point(47.582743, -118.417692)","POINT (-118.417692 47.582743)","2020-12-06T00:00:00.000"
"SKAMANIA COUNTY","59","2020","Week 06","02/09/20 - 02/15/20","11","3","0.375","Point(46.024782, -121.953227)","POINT (-121.953227 46.024782)","2020-02-09T00:00:00.000"
"LEWIS COUNTY","41","2020","Week 22","05/31/20 - 06/06/20","287","11","0.0398550724637681","Point(46.580071, -122.377444)","POINT (-122.377444 46.580071)","2020-05-31T00:00:00.000"
"WHITMAN COUNTY","75","2020","Week 23","06/07/20 - 06/13/20","74","-19","-0.204301075268817","Point(46.905944, -117.53539)","POINT (-117.53539 46.905944)","2020-06-07T00:00:00.000"
"KLICKITAT COUNTY","39","2020","Week 33","08/16/20 - 08/22/20","33","2","0.064516129032258","Point(45.86951, -120.780118)","POINT (-120.780118 45.86951)","2020-08-16T00:00:00.000"
"OKANOGAN COUNTY","47","2020","Week 50","12/13/20 - 12/19/20","124","-28","-0.184210526315789","Point(48.551386, -119.685877)","POINT (-119.685877 48.551386)","2020-12-13T00:00:00.000"
"GARFIELD COUNTY","23","2020","Week 15","04/12/20 - 04/18/20","10","-2","-0.166666666666667","Point(46.429478, -117.536711)","POINT (-117.536711 46.429478)","2020-04-12T00:00:00.000"
"WAHKIAKUM COUNTY","69","2020","Week 11","03/15/20 - 03/21/20","19","16","5.33333333333333","Point(46.294638, -123.424458)","POINT (-123.424458 46.294638)","2020-03-15T00:00:00.000"
"GRANT COUNTY","25","2020","Week 07","02/16/20 - 02/22/20","98","0","0","Point(47.213633, -119.467788)","POINT (-119.467788 47.213633)","2020-02-16T00:00:00.000"
"COLUMBIA COUNTY","13","2020","Week 01","01/05/20 - 01/11/20","5","2","0.666666666666667","Point(46.29285, -117.911634)","POINT (-117.911634 46.29285)","2020-01-05T00:00:00.000"
"GARFIELD COUNTY","23","2020","Week 40","10/04/20 - 10/10/20","7","7",,"Point(46.429478, -117.536711)","POINT (-117.536711 46.429478)","2020-10-04T00:00:00.000"
"YAKIMA COUNTY","77","2020","Week 13","03/29/20 - 04/04/20","4008","-187","-0.0445768772348033","Point(46.456558, -120.740145)","POINT (-120.740145 46.456558)","2020-03-29T00:00:00.000"
"GRAYS HARBOR COUNTY","27","2020","Week 24","06/14/20 - 06/20/20","327","41","0.143356643356643","Point(47.113999, -123.826655)","POINT (-123.826655 47.113999)","2020-06-14T00:00:00.000"
"WALLA WALLA COUNTY","71","2020","Week 44","11/01/20 - 11/07/20","160","83","1.07792207792208","Point(46.254606, -118.480374)","POINT (-118.480374 46.254606)","2020-11-01T00:00:00.000"
"GRAYS HARBOR COUNTY","27","2020","Week 08","02/23/20 - 02/29/20","106","39","0.582089552238806","Point(47.113999, -123.826655)","POINT (-123.826655 47.113999)","2020-02-23T00:00:00.000"
"SKAGIT COUNTY","57","2020","Week 21","05/24/20 - 05/30/20","590","-163","-0.216467463479416","Point(48.493292, -121.81577)","POINT (-121.81577 48.493292)","2020-05-24T00:00:00.000"
"SAN JUAN COUNTY","55","2020","Week 31","08/02/20 - 08/08/20","36","-10","-0.217391304347826","Point(48.50719, -123.103769)","POINT (-123.103769 48.50719)","2020-08-02T00:00:00.000"
"GRANT COUNTY","25","2020","Week 29","07/19/20 - 07/25/20","313","-40","-0.113314447592068","Point(47.213633, -119.467788)","POINT (-119.467788 47.213633)","2020-07-19T00:00:00.000"
"LINCOLN COUNTY","43","2020","Week 44","11/01/20 - 11/07/20","22","2","0.1","Point(47.582743, -118.417692)","POINT (-118.417692 47.582743)","2020-11-01T00:00:00.000"
"CLALLAM COUNTY","9","2020","Week 36","09/06/20 - 09/12/20","151","6","0.0413793103448277","Point(48.110903, -123.88986)","POINT (-123.88986 48.110903)","2020-09-06T00:00:00.000"
"KITSAP COUNTY","35","2020","Week 26","06/28/20 - 07/04/20","697","-160","-0.186697782963827","Point(47.639687, -122.649636)","POINT (-122.649636 47.639687)","2020-06-28T00:00:00.000"
"JEFFERSON COUNTY","31","2020","Week 46","11/15/20 - 11/21/20","112","52","0.866666666666667","Point(47.805346, -123.527136)","POINT (-123.527136 47.805346)","2020-11-15T00:00:00.000"
"SAN JUAN COUNTY","55","2020","Week 04","01/26/20 - 02/01/20","7","-2","-0.222222222222222","Point(48.50719, -123.103769)","POINT (-123.103769 48.50719)","2020-01-26T00:00:00.000"
"WALLA WALLA COUNTY","71","2020","Week 30","07/26/20 - 08/01/20","133","-23","-0.147435897435897","Point(46.254606, -118.480374)","POINT (-118.480374 46.254606)","2020-07-26T00:00:00.000"
"COWLITZ COUNTY","15","2020","Week 05","02/02/20 - 02/08/20","149","13","0.0955882352941178","Point(46.185923, -122.658682)","POINT (-122.658682 46.185923)","2020-02-02T00:00:00.000"
"SKAGIT COUNTY","57","2020","Week 19","05/10/20 - 05/16/20","1902","373","0.243950294310006","Point(48.493292, -121.81577)","POINT (-121.81577 48.493292)","2020-05-10T00:00:00.000"
"GARFIELD COUNTY","23","2020","Week 39","09/27/20 - 10/03/20","0","-4","-1","Point(46.429478, -117.536711)","POINT (-117.536711 46.429478)","2020-09-27T00:00:00.000"
"KITSAP COUNTY","35","2020","Week 05","02/02/20 - 02/08/20","166","-4","-0.0235294117647059","Point(47.639687, -122.649636)","POINT (-122.649636 47.639687)","2020-02-02T00:00:00.000"
"SNOHOMISH COUNTY","61","2020","Week 25","06/21/20 - 06/27/20","3911","453","0.131000578368999","Point(48.054913, -121.766412)","POINT (-121.766412 48.054913)","2020-06-21T00:00:00.000"
"PIERCE COUNTY","53","2020","Week 28","07/12/20 - 07/18/20","3781","-1241","-0.247112704101951","Point(47.051415, -122.153242)","POINT (-122.153242 47.051415)","2020-07-12T00:00:00.000"
"STEVENS COUNTY","65","2020","Week 02","01/12/20 - 01/18/20","77","-2","-0.0253164556962026","Point(48.388727, -117.854454)","POINT (-117.854454 48.388727)","2020-01-12T00:00:00.000"
"ADAMS COUNTY","1","2020","Week 40","10/04/20 - 10/10/20","34","6","0.214285714285714","Point(47.011238, -118.512861)","POINT (-118.512861 47.011238)","2020-10-04T00:00:00.000"
"ADAMS COUNTY","1","2020","Week 46","11/15/20 - 11/21/20","113","55","0.948275862068966","Point(47.011238, -118.512861)","POINT (-118.512861 47.011238)","2020-11-15T00:00:00.000"
"CLARK COUNTY","11","2020","Week 28","07/12/20 - 07/18/20","1293","-618","-0.323390894819466","Point(45.771674, -122.485903)","POINT (-122.485903 45.771674)","2020-07-12T00:00:00.000"
"ADAMS COUNTY","1","2020","Week 52","12/27/20 - 01/02/21","152","47","0.447619047619048","Point(47.011238, -118.512861)","POINT (-118.512861 47.011238)","2020-12-27T00:00:00.000"
"FERRY COUNTY","19","2020","Week 22","05/31/20 - 06/06/20","13","2","0.181818181818182","Point(48.473256, -118.533589)","POINT (-118.533589 48.473256)","2020-05-31T00:00:00.000"
"WHATCOM COUNTY","73","2020","Week 33","08/16/20 - 08/22/20","562","-17","-0.0293609671848014","Point(48.842653, -121.836432)","POINT (-121.836432 48.842653)","2020-08-16T00:00:00.000"
"FERRY COUNTY","19","2020","Week 38","09/20/20 - 09/26/20","9","1","0.125","Point(48.473256, -118.533589)","POINT (-118.533589 48.473256)","2020-09-20T00:00:00.000"
"CHELAN COUNTY","7","2020","Week 35","08/30/20 - 09/05/20","210","14","0.0714285714285714","Point(47.860974, -120.619041)","POINT (-120.619041 47.860974)","2020-08-30T00:00:00.000"
"PACIFIC COUNTY","49","2020","Week 06","02/09/20 - 02/15/20","27","5","0.227272727272727","Point(46.556587, -123.782419)","POINT (-123.782419 46.556587)","2020-02-09T00:00:00.000"
"DOUGLAS COUNTY","17","2020","Week 19","05/10/20 - 05/16/20","629","232","0.584382871536524","Point(47.741763, -119.694622)","POINT (-119.694622 47.741763)","2020-05-10T00:00:00.000"
"COLUMBIA COUNTY","13","2020","Week 02","01/12/20 - 01/18/20","4","-1","-0.2","Point(46.29285, -117.911634)","POINT (-117.911634 46.29285)","2020-01-12T00:00:00.000"
"ADAMS COUNTY","1","2020","Week 02","01/12/20 - 01/18/20","33","11","0.5","Point(47.011238, -118.512861)","POINT (-118.512861 47.011238)","2020-01-12T00:00:00.000"
"FRANKLIN COUNTY","21","2020","Week 50","12/13/20 - 12/19/20","290","2","0.00694444444444442","Point(46.53458, -118.906944)","POINT (-118.906944 46.53458)","2020-12-13T00:00:00.000"
"SKAGIT COUNTY","57","2020","Week 13","03/29/20 - 04/04/20","3230","-195","-0.0569343065693431","Point(48.493292, -121.81577)","POINT (-121.81577 48.493292)","2020-03-29T00:00:00.000"
"THURSTON COUNTY","67","2020","Week 13","03/29/20 - 04/04/20","6095","-709","-0.104203409758965","Point(46.935822, -122.830152)","POINT (-122.830152 46.935822)","2020-03-29T00:00:00.000"
"KITTITAS COUNTY","37","2020","Week 24","06/14/20 - 06/20/20","181","41","0.292857142857143","Point(47.124444, -120.676714)","POINT (-120.676714 47.124444)","2020-06-14T00:00:00.000"
"FERRY COUNTY","19","2020","Week 09","03/01/20 - 03/07/20","7","5","2.5","Point(48.473256, -118.533589)","POINT (-118.533589 48.473256)","2020-03-01T00:00:00.000"
"GRAYS HARBOR COUNTY","27","2020","Week 40","10/04/20 - 10/10/20","254","59","0.302564102564103","Point(47.113999, -123.826655)","POINT (-123.826655 47.113999)","2020-10-04T00:00:00.000"
"ASOTIN COUNTY","3","2020","Week 43","10/25/20 - 10/31/21","24","3","0.142857142857143","Point(46.181861, -117.227781)","POINT (-117.227781 46.181861)","2020-10-25T00:00:00.000"
"MASON COUNTY","45","2020","Week 05","02/02/20 - 02/08/20","71","15","0.267857142857143","Point(47.354126, -123.17385)","POINT (-123.17385 47.354126)","2020-02-02T00:00:00.000"
"SNOHOMISH COUNTY","61","2020","Week 22","05/31/20 - 06/06/20","3493","-87","-0.0243016759776536","Point(48.054913, -121.766412)","POINT (-121.766412 48.054913)","2020-05-31T00:00:00.000"
"WAHKIAKUM COUNTY","69","2020","Week 08","02/23/20 - 02/29/20","6","-2","-0.25","Point(46.294638, -123.424458)","POINT (-123.424458 46.294638)","2020-02-23T00:00:00.000"
"KITTITAS COUNTY","37","2020","Week 42","10/18/20 - 10/24/20","82","13","0.188405797101449","Point(47.124444, -120.676714)","POINT (-120.676714 47.124444)","2020-10-18T00:00:00.000"
"BENTON COUNTY","5","2020","Week 27","07/05/20 - 07/11/20","934","251","0.367496339677892","Point(46.22812, -119.516666)","POINT (-119.516666 46.22812)","2020-07-05T00:00:00.000"
"ISLAND COUNTY","29","2020","Week 48","11/29/20 - 12/05/20","205","48","0.305732484076433","Point(48.158554, -122.670649)","POINT (-122.670649 48.158554)","2020-11-29T00:00:00.000"
"BENTON COUNTY","5","2020","Week 21","05/24/20 - 05/30/20","799","-209","-0.20734126984127","Point(46.22812, -119.516666)","POINT (-119.516666 46.22812)","2020-05-24T00:00:00.000"
"KING COUNTY","33","2020","Week 39","09/27/20 - 10/03/20","4113","-414","-0.0914512922465208","Point(47.490599, -121.833996)","POINT (-121.833996 47.490599)","2020-09-27T00:00:00.000"
"SAN JUAN COUNTY","55","2020","Week 23","06/07/20 - 06/13/20","37","-10","-0.212765957446808","Point(48.50719, -123.103769)","POINT (-123.103769 48.50719)","2020-06-07T00:00:00.000"
"WHATCOM COUNTY","73","2020","Week 38","09/20/20 - 09/26/20","482","-42","-0.0801526717557252","Point(48.842653, -121.836432)","POINT (-121.836432 48.842653)","2020-09-20T00:00:00.000"
"LINCOLN COUNTY","43","2020","Week 33","08/16/20 - 08/22/20","7","-9","-0.5625","Point(47.582743, -118.417692)","POINT (-118.417692 47.582743)","2020-08-16T00:00:00.000"
"GRAYS HARBOR COUNTY","27","2020","Week 03","01/19/20 - 01/25/20","111","-7","-0.059322033898305","Point(47.113999, -123.826655)","POINT (-123.826655 47.113999)","2020-01-19T00:00:00.000"
"SNOHOMISH COUNTY","61","2020","Week 27","07/05/20 - 07/11/20","4614","1352","0.414469650521153","Point(48.054913, -121.766412)","POINT (-121.766412 48.054913)","2020-07-05T00:00:00.000"
"WHATCOM COUNTY","73","2020","Week 12","03/22/20 - 03/28/20","6268","1840","0.41553748870822","Point(48.842653, -121.836432)","POINT (-121.836432 48.842653)","2020-03-22T00:00:00.000"
"BENTON COUNTY","5","2020","Week 16","04/19/20 - 04/25/20","2425","891","0.580834419817471","Point(46.22812, -119.516666)","POINT (-119.516666 46.22812)","2020-04-19T00:00:00.000"
"WHITMAN COUNTY","75","2020","Week 50","12/13/20 - 12/19/20","64","7","0.12280701754386","Point(46.905944, -117.53539)","POINT (-117.53539 46.905944)","2020-12-13T00:00:00.000"
"LEWIS COUNTY","41","2020","Week 35","08/30/20 - 09/05/20","209","36","0.208092485549133","Point(46.580071, -122.377444)","POINT (-122.377444 46.580071)","2020-08-30T00:00:00.000"
"SKAGIT COUNTY","57","2020","Week 34","08/23/20 - 08/29/20","270","-19","-0.0657439446366782","Point(48.493292, -121.81577)","POINT (-121.81577 48.493292)","2020-08-23T00:00:00.000"
"CHELAN COUNTY","7","2020","Week 19","05/10/20 - 05/16/20","1333","378","0.395811518324607","Point(47.860974, -120.619041)","POINT (-120.619041 47.860974)","2020-05-10T00:00:00.000"
"FRANKLIN COUNTY","21","2020","Week 04","01/26/20 - 02/01/20","106","-40","-0.273972602739726","Point(46.53458, -118.906944)","POINT (-118.906944 46.53458)","2020-01-26T00:00:00.000"
"MASON COUNTY","45","2020","Week 47","11/22/20 - 11/28/20","152","-76","-0.333333333333333","Point(47.354126, -123.17385)","POINT (-123.17385 47.354126)","2020-11-22T00:00:00.000"
"CHELAN COUNTY","7","2020","Week 45","11/08/20 - 11/14/20","257","-94","-0.267806267806268","Point(47.860974, -120.619041)","POINT (-120.619041 47.860974)","2020-11-08T00:00:00.000"
"JEFFERSON COUNTY","31","2020","Week 25","06/21/20 - 06/27/20","101","8","0.086021505376344","Point(47.805346, -123.527136)","POINT (-123.527136 47.805346)","2020-06-21T00:00:00.000"
"ASOTIN COUNTY","3","2020","Week 13","03/29/20 - 04/04/20","196","20","0.113636363636364","Point(46.181861, -117.227781)","POINT (-117.227781 46.181861)","2020-03-29T00:00:00.000"
"ADAMS COUNTY","1","2020","Week 15","04/12/20 - 04/18/20","170","-40","-0.19047619047619","Point(47.011238, -118.512861)","POINT (-118.512861 47.011238)","2020-04-12T00:00:00.000"
"ISLAND COUNTY","29","2020","Week 06","02/09/20 - 02/15/20","48","-4","-0.0769230769230769","Point(48.158554, -122.670649)","POINT (-122.670649 48.158554)","2020-02-09T00:00:00.000"
"KLICKITAT COUNTY","39","2020","Week 11","03/15/20 - 03/21/20","141","134","19.1428571428571","Point(45.86951, -120.780118)","POINT (-120.780118 45.86951)","2020-03-15T00:00:00.000"
"KLICKITAT COUNTY","39","2020","Week 27","07/05/20 - 07/11/20","72","25","0.531914893617021","Point(45.86951, -120.780118)","POINT (-120.780118 45.86951)","2020-07-05T00:00:00.000"
"WHATCOM COUNTY","73","2020","Week 17","04/26/20 - 05/02/20","3170","-1173","-0.270089799677642","Point(48.842653, -121.836432)","POINT (-121.836432 48.842653)","2020-04-26T00:00:00.000"
"KITTITAS COUNTY","37","2020","Week 16","04/19/20 - 04/25/20","700","330","0.891891891891892","Point(47.124444, -120.676714)","POINT (-120.676714 47.124444)","2020-04-19T00:00:00.000"
"WALLA WALLA COUNTY","71","2020","Week 45","11/08/20 - 11/14/20","120","-40","-0.25","Point(46.254606, -118.480374)","POINT (-118.480374 46.254606)","2020-11-08T00:00:00.000"
"FERRY COUNTY","19","2020","Week 12","03/22/20 - 03/28/20","55","35","1.75","Point(48.473256, -118.533589)","POINT (-118.533589 48.473256)","2020-03-22T00:00:00.000"
"SKAGIT COUNTY","57","2020","Week 03","01/19/20 - 01/25/20","259","-9","-0.0335820895522388","Point(48.493292, -121.81577)","POINT (-121.81577 48.493292)","2020-01-19T00:00:00.000"
"ADAMS COUNTY","1","2020","Week 33","08/16/20 - 08/22/20","52","15","0.405405405405405","Point(47.011238, -118.512861)","POINT (-118.512861 47.011238)","2020-08-16T00:00:00.000"
"LEWIS COUNTY","41","2020","Week 25","06/21/20 - 06/27/20","269","-21","-0.0724137931034483","Point(46.580071, -122.377444)","POINT (-122.377444 46.580071)","2020-06-21T00:00:00.000"
"OKANOGAN COUNTY","47","2020","Week 13","03/29/20 - 04/04/20","662","138","0.263358778625954","Point(48.551386, -119.685877)","POINT (-119.685877 48.551386)","2020-03-29T00:00:00.000"
"PEND OREILLE COUNTY","51","2020","Week 01","01/05/20 - 01/11/20","10","0","0","Point(48.543825, -117.232191)","POINT (-117.232191 48.543825)","2020-01-05T00:00:00.000"
"CLARK COUNTY","11","2020","Week 52","12/27/20 - 01/02/21","1466","523","0.554612937433722","Point(45.771674, -122.485903)","POINT (-122.485903 45.771674)","2020-12-27T00:00:00.000"
"GRANT COUNTY","25","2020","Week 08","02/23/20 - 02/29/20","182","84","0.857142857142857","Point(47.213633, -119.467788)","POINT (-119.467788 47.213633)","2020-02-23T00:00:00.000"
"JEFFERSON COUNTY","31","2020","Week 30","07/26/20 - 08/01/20","79","-25","-0.240384615384615","Point(47.805346, -123.527136)","POINT (-123.527136 47.805346)","2020-07-26T00:00:00.000"
"WALLA WALLA COUNTY","71","2020","Week 22","05/31/20 - 06/06/20","142","-25","-0.149700598802395","Point(46.254606, -118.480374)","POINT (-118.480374 46.254606)","2020-05-31T00:00:00.000"
"LEWIS COUNTY","41","2020","Week 41","10/11/20 - 10/17/20","185","-80","-0.30188679245283","Point(46.580071, -122.377444)","POINT (-122.377444 46.580071)","2020-10-11T00:00:00.000"
"CHELAN COUNTY","7","2020","Week 49","12/06/20 - 12/12/20","266","-82","-0.235632183908046","Point(47.860974, -120.619041)","POINT (-120.619041 47.860974)","2020-12-06T00:00:00.000"
"GRAYS HARBOR COUNTY","27","2020","Week 46","11/15/20 - 11/21/20","374","173","0.860696517412935","Point(47.113999, -123.826655)","POINT (-123.826655 47.113999)","2020-11-15T00:00:00.000"
"SPOKANE COUNTY","63","2020","Week 12","03/22/20 - 03/28/20","12102","3336","0.380561259411362","Point(47.620375, -117.403371)","POINT (-117.403371 47.620375)","2020-03-22T00:00:00.000"
"GARFIELD COUNTY","23","2020","Week 23","06/07/20 - 06/13/20","4","2","1","Point(46.429478, -117.536711)","POINT (-117.536711 46.429478)","2020-06-07T00:00:00.000"
"SKAGIT COUNTY","57","2020","Week 43","10/25/20 - 10/31/48","228","-35","-0.133079847908745","Point(48.493292, -121.81577)","POINT (-121.81577 48.493292)","2020-10-25T00:00:00.000"
"LINCOLN COUNTY","43","2020","Week 20","05/17/20 - 05/23/20","22","-126","5.72727272727273","Point(47.582743, -118.417692)","POINT (-118.417692 47.582743)","2020-05-17T00:00:00.000"
"LEWIS COUNTY","41","2020","Week 30","07/26/20 - 08/01/20","243","-4","-0.0161943319838057","Point(46.580071, -122.377444)","POINT (-122.377444 46.580071)","2020-07-26T00:00:00.000"
"GARFIELD COUNTY","23","2020","Week 41","10/11/20 - 10/17/20","3","-4","-0.571428571428571","Point(46.429478, -117.536711)","POINT (-117.536711 46.429478)","2020-10-11T00:00:00.000"
"SPOKANE COUNTY","63","2020","Week 36","09/06/20 - 09/12/20","1036","-40","-0.0371747211895911","Point(47.620375, -117.403371)","POINT (-117.403371 47.620375)","2020-09-06T00:00:00.000"
"CLALLAM COUNTY","9","2020","Week 39","09/27/20 - 10/03/20","111","6","0.0571428571428572","Point(48.110903, -123.88986)","POINT (-123.88986 48.110903)","2020-09-27T00:00:00.000"
"LINCOLN COUNTY","43","2020","Week 02","01/12/20 - 01/18/20","15","3","0.25","Point(47.582743, -118.417692)","POINT (-118.417692 47.582743)","2020-01-12T00:00:00.000"
"YAKIMA COUNTY","77","2020","Week 07","02/16/20 - 02/22/20","354","17","0.0504451038575668","Point(46.456558, -120.740145)","POINT (-120.740145 46.456558)","2020-02-16T00:00:00.000"
"GRANT COUNTY","25","2020","Week 13","03/29/20 - 04/04/20","1512","-65","-0.0412175015852885","Point(47.213633, -119.467788)","POINT (-119.467788 47.213633)","2020-03-29T00:00:00.000"
"SKAMANIA COUNTY","59","2020","Week 37","09/13/20 - 09/19/20","34","2","0.0625","Point(46.024782, -121.953227)","POINT (-121.953227 46.024782)","2020-09-13T00:00:00.000"
"JEFFERSON COUNTY","31","2020","Week 09","03/01/20 - 03/07/20","18","5","0.384615384615385","Point(47.805346, -123.527136)","POINT (-123.527136 47.805346)","2020-03-01T00:00:00.000"
"WALLA WALLA COUNTY","71","2020","Week 46","11/15/20 - 11/21/20","295","175","1.45833333333333","Point(46.254606, -118.480374)","POINT (-118.480374 46.254606)","2020-11-15T00:00:00.000"
"ISLAND COUNTY","29","2020","Week 35","08/30/20 - 09/05/20","124","6","0.0508474576271187","Point(48.158554, -122.670649)","POINT (-122.670649 48.158554)","2020-08-30T00:00:00.000"
"KITTITAS COUNTY","37","2020","Week 19","05/10/20 - 05/16/20","896","282","0.45928338762215","Point(47.124444, -120.676714)","POINT (-120.676714 47.124444)","2020-05-10T00:00:00.000"
"COWLITZ COUNTY","15","2020","Week 47","11/22/20 - 11/28/20","326","-121","-0.270693512304251","Point(46.185923, -122.658682)","POINT (-122.658682 46.185923)","2020-11-22T00:00:00.000"
"GRANT COUNTY","25","2020","Week 37","09/13/20 - 09/19/20","224","46","0.258426966292135","Point(47.213633, -119.467788)","POINT (-119.467788 47.213633)","2020-09-13T00:00:00.000"
"THURSTON COUNTY","67","2020","Week 16","04/19/20 - 04/25/20","5085","2203","0.76439972241499","Point(46.935822, -122.830152)","POINT (-122.830152 46.935822)","2020-04-19T00:00:00.000"
