"county","value","date","year"
"Adams","1924.98","2010-12-31T00:00:00.000","2010"
"Asotin","636.21","2010-12-31T00:00:00.000","2010"
"Benton","1700.38","2010-12-31T00:00:00.000","2010"
"Chelan","2920.53","2010-12-31T00:00:00.000","2010"
"Clallam","1738.33","2010-12-31T00:00:00.000","2010"
"Clark","629","2010-12-31T00:00:00.000","2010"
"Columbia","868.63","2010-12-31T00:00:00.000","2010"
"Cowlitz","1140.13","2010-12-31T00:00:00.000","2010"
"Douglas","1819.26","2010-12-31T00:00:00.000","2010"
"Ferry","2203.16","2010-12-31T00:00:00.000","2010"
"Franklin","1242.17","2010-12-31T00:00:00.000","2010"
"Garfield","710.69","2010-12-31T00:00:00.000","2010"
"Grant","2679.51","2010-12-31T00:00:00.000","2010"
"Grays Harbor","1902.03","2010-12-31T00:00:00.000","2010"
"Island","208.45","2010-12-31T00:00:00.000","2010"
"Jefferson","1803.70","2010-12-31T00:00:00.000","2010"
"King","2115.57","2010-12-31T00:00:00.000","2010"
"Kitsap","394.94","2010-12-31T00:00:00.000","2010"
"Kittitas","2297.27","2010-12-31T00:00:00.000","2010"
"Klickitat","1871.31","2010-12-31T00:00:00.000","2010"
"Lewis","2402.80","2010-12-31T00:00:00.000","2010"
"Lincoln","2310.49","2010-12-31T00:00:00.000","2010"
"Mason","959.42","2010-12-31T00:00:00.000","2010"
"Okanogan","5267.98","2010-12-31T00:00:00.000","2010"
"Pacific","932.66","2010-12-31T00:00:00.000","2010"
"Pend Oreille","1399.99","2010-12-31T00:00:00.000","2010"
"Pierce","1669.51","2010-12-31T00:00:00.000","2010"
"San Juan","173.92","2010-12-31T00:00:00.000","2010"
"Skagit","1731.20","2010-12-31T00:00:00.000","2010"
"Skamania","1655.68","2010-12-31T00:00:00.000","2010"
"Snohomish","2087.27","2010-12-31T00:00:00.000","2010"
"Spokane","1763.79","2010-12-31T00:00:00.000","2010"
"Stevens","2477.77","2010-12-31T00:00:00.000","2010"
"Thurston","721.96","2010-12-31T00:00:00.000","2010"
"Wahkiakum","263.38","2010-12-31T00:00:00.000","2010"
"Walla Walla","1270.13","2010-12-31T00:00:00.000","2010"
"Whatcom","2106.86","2010-12-31T00:00:00.000","2010"
"Whitman","2159.09","2010-12-31T00:00:00.000","2010"
"Yakima","4295.40","2010-12-31T00:00:00.000","2010"
