"public_transparency_solution","time_period","number_of_transactions","site","year","month","years_prior_current_year","include_in_ytd"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2018-01-31T00:00:00.000","0","GIS Remote Piloted Aerial Surveillance (RPAS)","2018","1","4","Yes"
"Open Pierce County Number of Page Views","2018-01-31T00:00:00.000","0","Open Performance/Data","2018","1","4","Yes"
"Public Nuisance Number of Requests","2018-01-31T00:00:00.000","301","Public Nuisance Reporting Portal","2018","1","4","Yes"
"Public Records Portal Number of Page Views","2018-01-31T00:00:00.000","1977","Public Records Portal","2018","1","4","Yes"
"PublicGIS Number of Page Views","2018-01-31T00:00:00.000","11496","PublicGIS Number of Page Views","2018","1","4","Yes"
"GIS Open Data Number of Page Views","2018-01-31T00:00:00.000","12410","GIS Open Data","2018","1","4","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2018-02-28T00:00:00.000","0","GIS Remote Piloted Aerial Surveillance (RPAS)","2018","2","4","Yes"
"Open Pierce County Number of Page Views","2018-02-28T00:00:00.000","0","Open Performance/Data","2018","2","4","Yes"
"Public Nuisance Number of Requests","2018-02-28T00:00:00.000","301","Public Nuisance Reporting Portal","2018","2","4","Yes"
"Public Records Portal Number of Page Views","2018-02-28T00:00:00.000","4294","Public Records Portal","2018","2","4","Yes"
"GIS Open Data Number of Page Views","2018-02-28T00:00:00.000","8704","GIS Open Data","2018","2","4","Yes"
"PublicGIS Number of Page Views","2018-02-28T00:00:00.000","22795","PublicGIS Number of Page Views","2018","2","4","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2018-03-31T00:00:00.000","0","GIS Remote Piloted Aerial Surveillance (RPAS)","2018","3","4","Yes"
"Public Nuisance Number of Requests","2018-03-31T00:00:00.000","302","Public Nuisance Reporting Portal","2018","3","4","Yes"
"Open Pierce County Number of Page Views","2018-03-31T00:00:00.000","3071","Open Performance/Data","2018","3","4","Yes"
"Public Records Portal Number of Page Views","2018-03-31T00:00:00.000","5910","Public Records Portal","2018","3","4","Yes"
"GIS Open Data Number of Page Views","2018-03-31T00:00:00.000","13475","GIS Open Data","2018","3","4","Yes"
"PublicGIS Number of Page Views","2018-03-31T00:00:00.000","44625","PublicGIS Number of Page Views","2018","3","4","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2018-04-30T00:00:00.000","0","GIS Remote Piloted Aerial Surveillance (RPAS)","2018","4","4","Yes"
"Public Nuisance Number of Requests","2018-04-30T00:00:00.000","372","Public Nuisance Reporting Portal","2018","4","4","Yes"
"Open Pierce County Number of Page Views","2018-04-30T00:00:00.000","3226","Open Performance/Data","2018","4","4","Yes"
"Public Records Portal Number of Page Views","2018-04-30T00:00:00.000","6064","Public Records Portal","2018","4","4","Yes"
"GIS Open Data Number of Page Views","2018-04-30T00:00:00.000","10743","GIS Open Data","2018","4","4","Yes"
"PublicGIS Number of Page Views","2018-04-30T00:00:00.000","42511","PublicGIS Number of Page Views","2018","4","4","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2018-05-31T00:00:00.000","0","GIS Remote Piloted Aerial Surveillance (RPAS)","2018","5","4","Yes"
"Public Nuisance Number of Requests","2018-05-31T00:00:00.000","372","Public Nuisance Reporting Portal","2018","5","4","Yes"
"Public Records Portal Number of Page Views","2018-05-31T00:00:00.000","5214","Public Records Portal","2018","5","4","Yes"
"GIS Open Data Number of Page Views","2018-05-31T00:00:00.000","9265","GIS Open Data","2018","5","4","Yes"
"Open Pierce County Number of Page Views","2018-05-31T00:00:00.000","15177","Open Performance/Data","2018","5","4","Yes"
"PublicGIS Number of Page Views","2018-05-31T00:00:00.000","44050","PublicGIS Number of Page Views","2018","5","4","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2018-06-30T00:00:00.000","0","GIS Remote Piloted Aerial Surveillance (RPAS)","2018","6","4","Yes"
"Public Nuisance Number of Requests","2018-06-30T00:00:00.000","373","Public Nuisance Reporting Portal","2018","6","4","Yes"
"Public Records Portal Number of Page Views","2018-06-30T00:00:00.000","5455","Public Records Portal","2018","6","4","Yes"
"GIS Open Data Number of Page Views","2018-06-30T00:00:00.000","8228","GIS Open Data","2018","6","4","Yes"
"Open Pierce County Number of Page Views","2018-06-30T00:00:00.000","11251","Open Performance/Data","2018","6","4","Yes"
"PublicGIS Number of Page Views","2018-06-30T00:00:00.000","41830","PublicGIS Number of Page Views","2018","6","4","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2018-07-31T00:00:00.000","0","GIS Remote Piloted Aerial Surveillance (RPAS)","2018","7","4","Yes"
"Public Nuisance Number of Requests","2018-07-31T00:00:00.000","357","Public Nuisance Reporting Portal","2018","7","4","Yes"
"Open Pierce County Number of Page Views","2018-07-31T00:00:00.000","2258","Open Performance/Data","2018","7","4","Yes"
"Public Records Portal Number of Page Views","2018-07-31T00:00:00.000","4196","Public Records Portal","2018","7","4","Yes"
"GIS Open Data Number of Page Views","2018-07-31T00:00:00.000","9599","GIS Open Data","2018","7","4","Yes"
"PublicGIS Number of Page Views","2018-07-31T00:00:00.000","41066","PublicGIS Number of Page Views","2018","7","4","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2018-08-31T00:00:00.000","0","GIS Remote Piloted Aerial Surveillance (RPAS)","2018","8","4","Yes"
"Public Nuisance Number of Requests","2018-08-31T00:00:00.000","357","Public Nuisance Reporting Portal","2018","8","4","Yes"
"Public Records Portal Number of Page Views","2018-08-31T00:00:00.000","3099","Public Records Portal","2018","8","4","Yes"
"Open Pierce County Number of Page Views","2018-08-31T00:00:00.000","4917","Open Performance/Data","2018","8","4","Yes"
"GIS Open Data Number of Page Views","2018-08-31T00:00:00.000","7594","GIS Open Data","2018","8","4","Yes"
"PublicGIS Number of Page Views","2018-08-31T00:00:00.000","40715","PublicGIS Number of Page Views","2018","8","4","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2018-09-30T00:00:00.000","0","GIS Remote Piloted Aerial Surveillance (RPAS)","2018","9","4","No"
"Public Nuisance Number of Requests","2018-09-30T00:00:00.000","357","Public Nuisance Reporting Portal","2018","9","4","No"
"Public Records Portal Number of Page Views","2018-09-30T00:00:00.000","1994","Public Records Portal","2018","9","4","No"
"Open Pierce County Number of Page Views","2018-09-30T00:00:00.000","2293","Open Performance/Data","2018","9","4","No"
"GIS Open Data Number of Page Views","2018-09-30T00:00:00.000","6799","GIS Open Data","2018","9","4","No"
"PublicGIS Number of Page Views","2018-09-30T00:00:00.000","34397","PublicGIS Number of Page Views","2018","9","4","No"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2018-10-31T00:00:00.000","69","GIS Remote Piloted Aerial Surveillance (RPAS)","2018","10","4","No"
"Public Nuisance Number of Requests","2018-10-31T00:00:00.000","275","Public Nuisance Reporting Portal","2018","10","4","No"
"Public Records Portal Number of Page Views","2018-10-31T00:00:00.000","1827","Public Records Portal","2018","10","4","No"
"GIS Open Data Number of Page Views","2018-10-31T00:00:00.000","7168","GIS Open Data","2018","10","4","No"
"Open Pierce County Number of Page Views","2018-10-31T00:00:00.000","8536","Open Performance/Data","2018","10","4","No"
"PublicGIS Number of Page Views","2018-10-31T00:00:00.000","42464","PublicGIS Number of Page Views","2018","10","4","No"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2018-11-30T00:00:00.000","64","GIS Remote Piloted Aerial Surveillance (RPAS)","2018","11","4","No"
"Public Nuisance Number of Requests","2018-11-30T00:00:00.000","245","Public Nuisance Reporting Portal","2018","11","4","No"
"Public Records Portal Number of Page Views","2018-11-30T00:00:00.000","1530","Public Records Portal","2018","11","4","No"
"GIS Open Data Number of Page Views","2018-11-30T00:00:00.000","7010","GIS Open Data","2018","11","4","No"
"Open Pierce County Number of Page Views","2018-11-30T00:00:00.000","12344","Open Performance/Data","2018","11","4","No"
"PublicGIS Number of Page Views","2018-11-30T00:00:00.000","34661","PublicGIS Number of Page Views","2018","11","4","No"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2018-12-31T00:00:00.000","31","GIS Remote Piloted Aerial Surveillance (RPAS)","2018","12","4","No"
"Public Nuisance Number of Requests","2018-12-31T00:00:00.000","244","Public Nuisance Reporting Portal","2018","12","4","No"
"Public Records Portal Number of Page Views","2018-12-31T00:00:00.000","1565","Public Records Portal","2018","12","4","No"
"GIS Open Data Number of Page Views","2018-12-31T00:00:00.000","6472","GIS Open Data","2018","12","4","No"
"Open Pierce County Number of Page Views","2018-12-31T00:00:00.000","11779","Open Performance/Data","2018","12","4","No"
"PublicGIS Number of Page Views","2018-12-31T00:00:00.000","29390","PublicGIS Number of Page Views","2018","12","4","No"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2019-01-31T00:00:00.000","8","GIS Remote Piloted Aerial Surveillance (RPAS)","2019","1","3","Yes"
"Public Nuisance Number of Requests","2019-01-31T00:00:00.000","293","Public Nuisance Reporting Portal","2019","1","3","Yes"
"Public Records Portal Number of Page Views","2019-01-31T00:00:00.000","2384","Public Records Portal","2019","1","3","Yes"
"GIS Open Data Number of Page Views","2019-01-31T00:00:00.000","10434","GIS Open Data","2019","1","3","Yes"
"Open Pierce County Number of Page Views","2019-01-31T00:00:00.000","15516","Open Performance/Data","2019","1","3","Yes"
"PublicGIS Number of Page Views","2019-01-31T00:00:00.000","39819","PublicGIS Number of Page Views","2019","1","3","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2019-02-28T00:00:00.000","9","GIS Remote Piloted Aerial Surveillance (RPAS)","2019","2","3","Yes"
"Public Nuisance Number of Requests","2019-02-28T00:00:00.000","201","Public Nuisance Reporting Portal","2019","2","3","Yes"
"Public Records Portal Number of Page Views","2019-02-28T00:00:00.000","1900","Public Records Portal","2019","2","3","Yes"
"Open Pierce County Number of Page Views","2019-02-28T00:00:00.000","5866","Open Performance/Data","2019","2","3","Yes"
"GIS Open Data Number of Page Views","2019-02-28T00:00:00.000","8233","GIS Open Data","2019","2","3","Yes"
"PublicGIS Number of Page Views","2019-02-28T00:00:00.000","31999","PublicGIS Number of Page Views","2019","2","3","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2019-03-31T00:00:00.000","35","GIS Remote Piloted Aerial Surveillance (RPAS)","2019","3","3","Yes"
"Public Nuisance Number of Requests","2019-03-31T00:00:00.000","335","Public Nuisance Reporting Portal","2019","3","3","Yes"
"Public Records Portal Number of Page Views","2019-03-31T00:00:00.000","2184","Public Records Portal","2019","3","3","Yes"
"Open Pierce County Number of Page Views","2019-03-31T00:00:00.000","8392","Open Performance/Data","2019","3","3","Yes"
"GIS Open Data Number of Page Views","2019-03-31T00:00:00.000","9404","GIS Open Data","2019","3","3","Yes"
"PublicGIS Number of Page Views","2019-03-31T00:00:00.000","42400","PublicGIS Number of Page Views","2019","3","3","Yes"
