"date","year","month","monthly_reporting"
"2018-01-31T00:00:00.000","2018","January","7"
"2018-02-28T00:00:00.000","2018","February","4"
"2018-03-31T00:00:00.000","2018","March","12"
"2018-04-30T00:00:00.000","2018","April","44"
"2018-05-31T00:00:00.000","2018","May","26"
"2018-06-30T00:00:00.000","2018","June","8"
"2018-07-31T00:00:00.000","2018","July","4"
"2018-08-31T00:00:00.000","2018","August","4"
"2018-09-30T00:00:00.000","2018","September","56"
"2018-10-31T00:00:00.000","2018","October","9"
"2018-11-30T00:00:00.000","2018","November","8"
"2018-12-31T00:00:00.000","2018","December","25"
"2019-04-01T00:00:00.000","2019","April","89"
"2019-06-01T00:00:00.000","2019","June","10"
"2019-07-31T00:00:00.000","2019","July","12"
"2019-08-31T00:00:00.000","2019","August","18"
"2019-09-30T00:00:00.000","2019","September","41"
"2019-12-31T00:00:00.000","2019","December","73"
"2020-03-31T00:00:00.000","2020","March","25"
"2021-05-31T00:00:00.000","2021","May","43"
"2021-09-30T00:00:00.000","2021","September","40"
