"performance_indicator","fiscal_year","actual","target","proximity","status"
"Hurricane forecast intensity error","2008-09-30T00:00:00.000","14","14","1","Met"
"Hurricane forecast intensity error","2009-09-30T00:00:00.000","18","13","1.38","Exceeded"
"Hurricane forecast intensity error","2010-09-30T00:00:00.000","16","13","1.23","Exceeded"
"Hurricane forecast intensity error","2011-09-30T00:00:00.000","14","13","1.08","Exceeded"
"Hurricane forecast intensity error","2012-09-30T00:00:00.000","12","15","0.8","Not Met"
"Hurricane forecast intensity error","2013-09-30T00:00:00.000","10.5","12","0.88","Not Met"
"Hurricane forecast intensity error","2014-09-30T00:00:00.000","10","12","0.83","Not Met"
"Hurricane forecast intensity error","2015-09-30T00:00:00.000","11","12","0.92","Met"
"Hurricane forecast intensity error","2016-09-30T00:00:00.000","10","12","0.83","Not Met"
"Hurricane forecast intensity error","2017-09-30T00:00:00.000","13","12","1.08","Exceeded"
"Hurricane forecast intensity error","2018-09-30T00:00:00.000","10","12","0.83","Not Met"
"Hurricane forecast intensity error","2019-09-30T00:00:00.000","10","12","0.83","Not Met"
"Hurricane forecast intensity error","2020-09-30T00:00:00.000","11.6","12","0.97","Met"
"Hurricane forecast intensity error","2021-09-30T00:00:00.000","9.4","11","0.85","Not Met"
"Hurricane forecast intensity error","2022-09-30T00:00:00.000",,"10",,
