"indicator","fiscal_year","actual","target","proximity","status"
"Number of pilot states providing data to NTIA to populate Congressionally-mandated broadband map","2019-09-30T00:00:00.000","8","8","1","Met"
"Number of pilot states providing data to NTIA to populate Congressionally-mandated broadband map","2020-09-30T00:00:00.000","14","8","1.75","Exceeded"
"Number of pilot states providing data to NTIA to populate Congressionally-mandated broadband map","2021-09-30T00:00:00.000","37","36","1.03","Exceeded"
"Number of pilot states providing data to NTIA to populate Congressionally-mandated broadband map","2022-09-30T00:00:00.000",,"50",,
"Number of pilot states providing data to NTIA to populate Congressionally-mandated broadband map","2023-09-30T00:00:00.000",,"56",,
