"indicator","fiscal_year","actual","target","status"
"Trademark first action compliance rate (percent)","2008-09-30T00:00:00.000","0.958","0.955","Exceeded"
"Trademark first action compliance rate (percent)","2009-09-30T00:00:00.000","0.964","0.955","Exceeded"
"Trademark first action compliance rate (percent)","2010-09-30T00:00:00.000","0.966","0.955","Exceeded"
"Trademark first action compliance rate (percent)","2011-09-30T00:00:00.000","0.965","0.955","Exceeded"
"Trademark first action compliance rate (percent)","2012-09-30T00:00:00.000","0.962","0.955","Exceeded"
"Trademark first action compliance rate (percent)","2013-09-30T00:00:00.000","0.963","0.955","Exceeded"
"Trademark first action compliance rate (percent)","2014-09-30T00:00:00.000","0.958","0.955","Exceeded"
"Trademark first action compliance rate (percent)","2015-09-30T00:00:00.000","0.967","0.955","Exceeded"
"Trademark first action compliance rate (percent)","2016-09-30T00:00:00.000","0.971","0.955","Exceeded"
"Trademark first action compliance rate (percent)","2017-09-30T00:00:00.000","0.973","0.955","Exceeded"
"Trademark first action compliance rate (percent)","2018-09-30T00:00:00.000","0.969","0.955","Exceeded"
"Trademark first action compliance rate (percent)","2019-09-30T00:00:00.000","0.964","0.955","Exceeded"
"Trademark first action compliance rate (percent)","2020-09-30T00:00:00.000","0.957","0.955","Exceeded"
"Trademark first action compliance rate (percent)","2021-09-30T00:00:00.000","0.963","0.955","Exceeded"
"Trademark first action compliance rate (percent)","2022-09-30T00:00:00.000",,"0.955",
"Trademark first action compliance rate (percent)","2023-09-30T00:00:00.000",,"0.955",
