"performance_indicator","fiscal_year","actual","target","proximity","status"
"Annual number of aquaculture research projects completed that address key production challenges","2019-09-30T00:00:00.000","57",,,
"Annual number of aquaculture research projects completed that address key production challenges","2020-09-30T00:00:00.000","53","57","0.93","Met"
"Annual number of aquaculture research projects completed that address key production challenges","2021-09-30T00:00:00.000","62","61","1.02","Exceeded"
"Annual number of aquaculture research projects completed that address key production challenges","2022-09-30T00:00:00.000",,"91",,
"Annual number of aquaculture research projects completed that address key production challenges","2023-09-30T00:00:00.000",,"106",,
